Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
SEM Section 01,8194,18,18,No,0.0,2021-07-10 11:39:09.853907
Lecture Section 01,7322,20,30,No,33.33333333333333,2021-07-10 11:39:09.853943
Lecture Section 01,7324,52,60,No,13.333333333333334,2021-07-10 11:39:09.853958
Lecture Section 01,6987,24,25,No,4.0,2021-07-10 11:39:09.853971
Lecture Section 01,6893,21,32,No,34.375,2021-07-10 11:39:09.853983
Lecture Section 01,6879,39,49,No,20.408163265306122,2021-07-10 11:39:09.853997
SEM Section 01,7035,10,15,No,33.33333333333333,2021-07-10 11:39:09.854011
SEM Section 01,7394,18,18,No,0.0,2021-07-10 11:39:09.854023
SEM Section 01,8120,0,18,No,100.0,2021-07-10 11:39:09.854039
Lecture Section 01,7659,5,45,No,88.88888888888889,2021-07-10 11:39:09.854052
SEM Section 01,6666,5,13,No,61.53846153846154,2021-07-10 11:39:09.854151
SEM Section 01,7376,0,18,No,100.0,2021-07-10 11:39:09.854191
SEM Section 01,6462,14,18,No,22.22222222222222,2021-07-10 11:39:09.854236
SEM Section 01,6457,14,18,No,22.22222222222222,2021-07-10 11:39:09.854255
Lecture Section 01,6467,17,30,No,43.333333333333336,2021-07-10 11:39:09.854308
Lecture Section 01,6965,35,40,No,12.5,2021-07-10 11:39:09.854327
Lecture Section 01,6441,26,35,No,25.71428571428571,2021-07-10 11:39:09.854340
Lecture Section 001,7331,25,100,No,75.0,2021-07-10 11:39:09.854352
Discussion Section 01D,7332,0,19,No,100.0,2021-07-10 11:39:09.854366
Discussion Section 02D,7333,0,18,No,100.0,2021-07-10 11:39:09.854378
Discussion Section 03D,7334,0,19,No,100.0,2021-07-10 11:39:09.854389
Discussion Section 04D,7335,0,19,No,100.0,2021-07-10 11:39:09.854401
SEM Section 01,7388,12,18,No,33.33333333333333,2021-07-10 11:39:09.854412
Lecture Section 01,7330,15,18,No,16.666666666666664,2021-07-10 11:39:09.854423
SEM Section 01,10611,18,18,No,0.0,2021-07-10 11:39:09.854435
Lecture Section 01,7318,41,50,No,18.0,2021-07-10 11:39:09.854447
SEM Section 01,7378,3,15,No,80.0,2021-07-10 11:39:09.854458
SEM Section 01,7385,8,18,No,55.55555555555556,2021-07-10 11:39:09.854470
