Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
Laboratory Section 01L,8163,57,60,No,5.0,2021-07-10 11:39:36.833648
Lecture Section 01,8160,20,20,No,0.0,2021-07-10 11:39:36.833671
Lecture Section 01,8161,20,20,No,0.0,2021-07-10 11:39:36.833680
SEM Section 01,8162,18,18,No,0.0,2021-07-10 11:39:36.833688
SEM Section 01,8164,12,12,No,0.0,2021-07-10 11:39:36.833696
Laboratory Section 01L,8163,57,60,No,5.0,2021-07-10 11:47:24.803045
Lecture Section 01,8160,20,20,No,0.0,2021-07-10 11:47:24.803064
Lecture Section 01,8161,20,20,No,0.0,2021-07-10 11:47:24.803073
SEM Section 01,8162,18,18,No,0.0,2021-07-10 11:47:24.803081
SEM Section 01,8164,12,12,No,0.0,2021-07-10 11:47:24.803089
Laboratory Section 01L,8163,57,60,No,5.0,2021-07-10 11:55:45.358995
Lecture Section 01,8160,20,20,No,0.0,2021-07-10 11:55:45.359015
Lecture Section 01,8161,20,20,No,0.0,2021-07-10 11:55:45.359023
SEM Section 01,8162,18,18,No,0.0,2021-07-10 11:55:45.359032
SEM Section 01,8164,12,12,No,0.0,2021-07-10 11:55:45.359039
