Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
Lecture Section 01,8239,224,300,No,25.333333333333336,2021-07-10 11:40:13.352051
IND Section 01,2420,1,1,No,0.0,2021-07-10 11:40:13.352071
IND Section 02,2421,3,3,No,0.0,2021-07-10 11:40:13.352079
IND Section 03,2422,3,3,No,0.0,2021-07-10 11:40:13.352087
IND Section 04,2423,3,3,No,0.0,2021-07-10 11:40:13.352095
IND Section 05,2424,3,3,No,0.0,2021-07-10 11:40:13.352103
IND Section 06,2425,2,3,No,33.33333333333333,2021-07-10 11:40:13.352110
IND Section 07,2426,3,3,No,0.0,2021-07-10 11:40:13.352118
IND Section 08,2427,3,3,No,0.0,2021-07-10 11:40:13.352125
IND Section 09,2428,3,3,No,0.0,2021-07-10 11:40:13.352132
IND Section 11,2429,3,3,No,0.0,2021-07-10 11:40:13.352140
IND Section 12,2430,3,3,No,0.0,2021-07-10 11:40:13.352148
IND Section 13,2431,3,3,No,0.0,2021-07-10 11:40:13.352155
IND Section 14,2432,3,3,No,0.0,2021-07-10 11:40:13.352162
IND Section 15,2433,3,3,No,0.0,2021-07-10 11:40:13.352169
IND Section 16,2434,3,3,No,0.0,2021-07-10 11:40:13.352176
IND Section 17,2435,3,3,No,0.0,2021-07-10 11:40:13.352183
IND Section 18,2436,3,3,No,0.0,2021-07-10 11:40:13.352190
IND Section 19,2437,3,3,No,0.0,2021-07-10 11:40:13.352198
IND Section 20,2438,3,3,No,0.0,2021-07-10 11:40:13.352205
IND Section 21,2439,3,3,No,0.0,2021-07-10 11:40:13.352212
IND Section 22,2440,3,3,No,0.0,2021-07-10 11:40:13.352220
IND Section 23,2441,3,3,No,0.0,2021-07-10 11:40:13.352227
IND Section 24,2442,3,3,No,0.0,2021-07-10 11:40:13.352234
Lecture Section 01,8239,224,300,No,25.333333333333336,2021-07-10 11:48:00.316725
IND Section 01,2420,1,1,No,0.0,2021-07-10 11:48:00.316746
IND Section 02,2421,3,3,No,0.0,2021-07-10 11:48:00.316755
IND Section 03,2422,3,3,No,0.0,2021-07-10 11:48:00.316762
IND Section 04,2423,3,3,No,0.0,2021-07-10 11:48:00.316769
IND Section 05,2424,3,3,No,0.0,2021-07-10 11:48:00.316776
IND Section 06,2425,2,3,No,33.33333333333333,2021-07-10 11:48:00.316784
IND Section 07,2426,3,3,No,0.0,2021-07-10 11:48:00.316791
IND Section 08,2427,3,3,No,0.0,2021-07-10 11:48:00.316799
IND Section 09,2428,3,3,No,0.0,2021-07-10 11:48:00.316806
IND Section 11,2429,3,3,No,0.0,2021-07-10 11:48:00.316814
IND Section 12,2430,3,3,No,0.0,2021-07-10 11:48:00.316821
IND Section 13,2431,3,3,No,0.0,2021-07-10 11:48:00.316828
IND Section 14,2432,3,3,No,0.0,2021-07-10 11:48:00.316835
IND Section 15,2433,3,3,No,0.0,2021-07-10 11:48:00.316842
IND Section 16,2434,3,3,No,0.0,2021-07-10 11:48:00.316850
IND Section 17,2435,3,3,No,0.0,2021-07-10 11:48:00.316857
IND Section 18,2436,3,3,No,0.0,2021-07-10 11:48:00.316863
IND Section 19,2437,3,3,No,0.0,2021-07-10 11:48:00.316871
IND Section 20,2438,3,3,No,0.0,2021-07-10 11:48:00.316878
IND Section 21,2439,3,3,No,0.0,2021-07-10 11:48:00.316885
IND Section 22,2440,3,3,No,0.0,2021-07-10 11:48:00.316892
IND Section 23,2441,3,3,No,0.0,2021-07-10 11:48:00.316899
IND Section 24,2442,3,3,No,0.0,2021-07-10 11:48:00.316905
Lecture Section 01,8239,224,300,No,25.333333333333336,2021-07-10 11:56:20.626947
IND Section 01,2420,1,1,No,0.0,2021-07-10 11:56:20.626969
IND Section 02,2421,3,3,No,0.0,2021-07-10 11:56:20.626977
IND Section 03,2422,3,3,No,0.0,2021-07-10 11:56:20.626984
IND Section 04,2423,3,3,No,0.0,2021-07-10 11:56:20.626991
IND Section 05,2424,3,3,No,0.0,2021-07-10 11:56:20.627000
IND Section 06,2425,2,3,No,33.33333333333333,2021-07-10 11:56:20.627008
IND Section 07,2426,3,3,No,0.0,2021-07-10 11:56:20.627017
IND Section 08,2427,3,3,No,0.0,2021-07-10 11:56:20.627025
IND Section 09,2428,3,3,No,0.0,2021-07-10 11:56:20.627033
IND Section 11,2429,3,3,No,0.0,2021-07-10 11:56:20.627044
IND Section 12,2430,3,3,No,0.0,2021-07-10 11:56:20.627051
IND Section 13,2431,3,3,No,0.0,2021-07-10 11:56:20.627059
IND Section 14,2432,3,3,No,0.0,2021-07-10 11:56:20.627068
IND Section 15,2433,3,3,No,0.0,2021-07-10 11:56:20.627076
IND Section 16,2434,3,3,No,0.0,2021-07-10 11:56:20.627084
IND Section 17,2435,3,3,No,0.0,2021-07-10 11:56:20.627091
IND Section 18,2436,3,3,No,0.0,2021-07-10 11:56:20.627102
IND Section 19,2437,3,3,No,0.0,2021-07-10 11:56:20.627110
IND Section 20,2438,3,3,No,0.0,2021-07-10 11:56:20.627121
IND Section 21,2439,3,3,No,0.0,2021-07-10 11:56:20.627129
IND Section 22,2440,3,3,No,0.0,2021-07-10 11:56:20.627136
IND Section 23,2441,3,3,No,0.0,2021-07-10 11:56:20.627144
IND Section 24,2442,3,3,No,0.0,2021-07-10 11:56:20.627151
