Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
SEM Section 01,5873,15,15,No,0.0,2021-07-10 11:41:23.638962
SEM Section 02,5874,12,12,No,0.0,2021-07-10 11:41:23.638981
SEM Section 01,7792,0,18,No,100.0,2021-07-10 11:41:23.638993
Lecture Section 01,5870,30,50,No,40.0,2021-07-10 11:41:23.639005
SEM Section 01,5976,14,18,No,22.22222222222222,2021-07-10 11:41:23.639015
Lecture Section 01,9689,170,190,No,10.526315789473683,2021-07-10 11:41:23.639023
Lecture Section 01,5875,7,15,No,53.333333333333336,2021-07-10 11:41:23.639031
Lecture Section 02,5876,10,15,No,33.33333333333333,2021-07-10 11:41:23.639039
SEM Section 01,5916,0,18,No,100.0,2021-07-10 11:41:23.639047
Lecture Section 001,5929,201,238,No,15.546218487394958,2021-07-10 11:41:23.639055
Laboratory Section 01L,5930,10,16,No,37.5,2021-07-10 11:41:23.639063
Laboratory Section 02L,5931,14,14,No,0.0,2021-07-10 11:41:23.639100
Laboratory Section 03L,5932,11,16,No,31.25,2021-07-10 11:41:23.639139
Laboratory Section 04L,5933,12,14,No,14.285714285714285,2021-07-10 11:41:23.639146
Laboratory Section 05L,5934,14,16,No,12.5,2021-07-10 11:41:23.639153
Laboratory Section 06L,5935,13,14,No,7.142857142857142,2021-07-10 11:41:23.639161
Laboratory Section 07L,5980,12,16,No,25.0,2021-07-10 11:41:23.639190
Laboratory Section 08L,5936,13,14,No,7.142857142857142,2021-07-10 11:41:23.639198
Laboratory Section 09L,5937,14,16,No,12.5,2021-07-10 11:41:23.639205
Laboratory Section 10L,5938,14,14,No,0.0,2021-07-10 11:41:23.639213
Laboratory Section 11L,5939,13,16,No,18.75,2021-07-10 11:41:23.639220
Laboratory Section 12L,5940,13,14,No,7.142857142857142,2021-07-10 11:41:23.639256
Laboratory Section 13L,5941,14,16,No,12.5,2021-07-10 11:41:23.639264
Laboratory Section 14L,5942,14,14,No,0.0,2021-07-10 11:41:23.639271
Laboratory Section 15L,5943,8,14,No,42.857142857142854,2021-07-10 11:41:23.639279
Laboratory Section 16L,5944,12,14,No,14.285714285714285,2021-07-10 11:41:23.639286
Laboratory Section 01L,5967,2,2,No,0.0,2021-07-10 11:41:23.639293
Laboratory Section 02L,5968,0,2,No,100.0,2021-07-10 11:41:23.639301
Laboratory Section 03L,5969,2,2,No,0.0,2021-07-10 11:41:23.639309
Laboratory Section 04L,5970,1,2,No,50.0,2021-07-10 11:41:23.639316
Laboratory Section 05L,5971,2,2,No,0.0,2021-07-10 11:41:23.639323
Laboratory Section 06L,5972,2,2,No,0.0,2021-07-10 11:41:23.639330
Laboratory Section 07L,5973,2,2,No,0.0,2021-07-10 11:41:23.639337
Laboratory Section 08L,5974,0,2,No,100.0,2021-07-10 11:41:23.639345
Laboratory Section 09L,5975,1,2,No,50.0,2021-07-10 11:41:23.639352
Laboratory Section 01,9542,9,10,No,10.0,2021-07-10 11:41:23.639361
Lecture Section 001,5877,203,240,No,15.416666666666668,2021-07-10 11:41:23.639396
Laboratory Section 01L,5878,6,8,No,25.0,2021-07-10 11:41:23.639403
Laboratory Section 02L,5879,8,8,No,0.0,2021-07-10 11:41:23.639411
Laboratory Section 03L,5880,11,16,No,31.25,2021-07-10 11:41:23.639418
Laboratory Section 04L,5881,15,16,No,6.25,2021-07-10 11:41:23.639425
Laboratory Section 05L,5882,10,16,No,37.5,2021-07-10 11:41:23.639432
Laboratory Section 06L,5883,14,16,No,12.5,2021-07-10 11:41:23.639439
Laboratory Section 07L,5884,7,8,No,12.5,2021-07-10 11:41:23.639446
Laboratory Section 08L,5885,7,8,No,12.5,2021-07-10 11:41:23.639454
Laboratory Section 09L,5886,12,16,No,25.0,2021-07-10 11:41:23.639461
Laboratory Section 10L,5887,16,16,No,0.0,2021-07-10 11:41:23.639468
Laboratory Section 11L,5888,8,8,No,0.0,2021-07-10 11:41:23.639475
Laboratory Section 12L,5889,7,8,No,12.5,2021-07-10 11:41:23.639511
Laboratory Section 13L,5890,15,16,No,6.25,2021-07-10 11:41:23.639518
Laboratory Section 14L,5891,15,16,No,6.25,2021-07-10 11:41:23.639525
Laboratory Section 15L,5892,14,16,No,12.5,2021-07-10 11:41:23.639532
Laboratory Section 16L,5893,14,16,No,12.5,2021-07-10 11:41:23.639539
