Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
Lecture Section 001,6267,2,32,No,93.75,2021-07-10 11:39:11.254627
Laboratory Section 01L,6268,0,16,No,100.0,2021-07-10 11:39:11.254665
Laboratory Section 02L,6269,2,16,No,87.5,2021-07-10 11:39:11.254678
Lecture Section 001,6216,42,45,No,6.666666666666667,2021-07-10 11:39:11.254691
Lecture Section 002,6217,42,45,No,6.666666666666667,2021-07-10 11:39:11.254705
Laboratory Section 01L,6218,19,20,No,5.0,2021-07-10 11:39:11.254719
Laboratory Section 02L,6219,18,20,No,10.0,2021-07-10 11:39:11.254732
Laboratory Section 03L,6220,19,20,No,5.0,2021-07-10 11:39:11.254745
Laboratory Section 04L,6221,19,20,No,5.0,2021-07-10 11:39:11.254759
Lecture Section 001,6201,14,36,No,61.111111111111114,2021-07-10 11:39:11.254772
Laboratory Section 01L,6202,14,36,No,61.111111111111114,2021-07-10 11:39:11.254788
Lecture Section 001,6157,20,50,No,60.0,2021-07-10 11:39:11.254802
Discussion Section 01D,6158,16,25,No,36.0,2021-07-10 11:39:11.254816
Discussion Section 02D,6159,4,25,No,84.0,2021-07-10 11:39:11.254829
Lecture Section 001,6245,10,10,No,0.0,2021-07-10 11:39:11.254842
Laboratory Section 01L,6246,10,10,No,0.0,2021-07-10 11:39:11.254862
Lecture Section 001,6170,13,20,No,35.0,2021-07-10 11:39:11.254876
Laboratory Section 01L,6171,13,20,No,35.0,2021-07-10 11:39:11.254888
Lecture Section 001,6181,3,15,No,80.0,2021-07-10 11:39:11.254908
Laboratory Section 01L,6182,3,15,No,80.0,2021-07-10 11:39:11.254921
Lecture Section 01,6175,18,25,No,28.000000000000004,2021-07-10 11:39:11.254937
Lecture Section 001,6203,0,24,No,100.0,2021-07-10 11:39:11.254952
Laboratory Section 01L,6204,0,24,No,100.0,2021-07-10 11:39:11.254966
IND Section 01,6196,1,1,No,0.0,2021-07-10 11:39:11.254981
IND Section 02,6197,1,1,No,0.0,2021-07-10 11:39:11.254995
IND Section 03,6198,1,1,No,0.0,2021-07-10 11:39:11.255008
IND Section 04,6199,1,1,No,0.0,2021-07-10 11:39:11.255020
IND Section 05,6200,1,1,No,0.0,2021-07-10 11:39:11.255032
Lecture Section 001,6222,7,15,No,53.333333333333336,2021-07-10 11:39:11.255048
Laboratory Section 01L,6223,7,15,No,53.333333333333336,2021-07-10 11:39:11.255062
Lecture Section 001,6263,5,16,No,68.75,2021-07-10 11:39:11.255075
Laboratory Section 01L,6264,5,16,No,68.75,2021-07-10 11:39:11.255089
Lecture Section 001,6265,11,24,No,54.166666666666664,2021-07-10 11:39:11.255103
Laboratory Section 01L,6266,11,24,No,54.166666666666664,2021-07-10 11:39:11.255116
