Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
IND Section 01,1478,18,18,No,0.0,2021-07-10 11:40:07.269089
IND Section 02,1482,18,18,No,0.0,2021-07-10 11:40:07.269111
IND Section 03,1483,18,18,No,0.0,2021-07-10 11:40:07.269119
IND Section 04,1484,18,18,No,0.0,2021-07-10 11:40:07.269127
IND Section 05,1485,18,18,No,0.0,2021-07-10 11:40:07.269135
IND Section 06,1486,18,18,No,0.0,2021-07-10 11:40:07.269143
IND Section 07,5319,18,18,No,0.0,2021-07-10 11:40:07.269151
IND Section 08,1487,18,18,No,0.0,2021-07-10 11:40:07.269159
IND Section 09,1488,18,18,No,0.0,2021-07-10 11:40:07.269167
IND Section 10,1489,18,18,No,0.0,2021-07-10 11:40:07.269174
IND Section 11,1490,18,18,No,0.0,2021-07-10 11:40:07.269182
IND Section 12,1600,18,18,No,0.0,2021-07-10 11:40:07.269190
IND Section 13,5318,18,18,No,0.0,2021-07-10 11:40:07.269198
IND Section 01,1492,18,18,No,0.0,2021-07-10 11:40:07.269206
IND Section 02,1496,18,18,No,0.0,2021-07-10 11:40:07.269213
IND Section 03,1497,18,18,No,0.0,2021-07-10 11:40:07.269221
IND Section 04,1498,18,18,No,0.0,2021-07-10 11:40:07.269228
IND Section 05,1499,18,18,No,0.0,2021-07-10 11:40:07.269235
IND Section 06,1500,18,18,No,0.0,2021-07-10 11:40:07.269243
IND Section 07,5321,18,18,No,0.0,2021-07-10 11:40:07.269251
IND Section 08,1501,18,18,No,0.0,2021-07-10 11:40:07.269258
IND Section 09,1502,18,18,No,0.0,2021-07-10 11:40:07.269266
IND Section 10,1503,18,18,No,0.0,2021-07-10 11:40:07.269273
IND Section 11,1504,18,18,No,0.0,2021-07-10 11:40:07.269280
IND Section 12,1505,18,18,No,0.0,2021-07-10 11:40:07.269288
IND Section 13,5320,18,18,No,0.0,2021-07-10 11:40:07.269295
TUT Section 01,1581,18,18,No,0.0,2021-07-10 11:40:07.269303
TUT Section 02,1585,18,18,No,0.0,2021-07-10 11:40:07.269310
TUT Section 03,1586,18,18,No,0.0,2021-07-10 11:40:07.269317
TUT Section 04,1587,18,18,No,0.0,2021-07-10 11:40:07.269324
TUT Section 05,1588,18,18,No,0.0,2021-07-10 11:40:07.269332
TUT Section 06,1589,18,18,No,0.0,2021-07-10 11:40:07.269339
TUT Section 07,5335,18,18,No,0.0,2021-07-10 11:40:07.269346
TUT Section 08,5334,18,18,No,0.0,2021-07-10 11:40:07.269354
TUT Section 09,5336,18,18,No,0.0,2021-07-10 11:40:07.269361
IND Section 01,1507,18,18,No,0.0,2021-07-10 11:40:07.269368
IND Section 02,1511,18,18,No,0.0,2021-07-10 11:40:07.269375
IND Section 03,1512,18,18,No,0.0,2021-07-10 11:40:07.269382
IND Section 04,1513,18,18,No,0.0,2021-07-10 11:40:07.269390
IND Section 05,1514,18,18,No,0.0,2021-07-10 11:40:07.269397
IND Section 06,1515,18,18,No,0.0,2021-07-10 11:40:07.269404
IND Section 07,5323,18,18,No,0.0,2021-07-10 11:40:07.269411
IND Section 08,1516,18,18,No,0.0,2021-07-10 11:40:07.269419
IND Section 09,1517,18,18,No,0.0,2021-07-10 11:40:07.269426
IND Section 10,1518,18,18,No,0.0,2021-07-10 11:40:07.269434
IND Section 11,1519,18,18,No,0.0,2021-07-10 11:40:07.269442
IND Section 12,1520,18,18,No,0.0,2021-07-10 11:40:07.269449
IND Section 13,5322,18,18,No,0.0,2021-07-10 11:40:07.269457
IND Section 01,1522,18,18,No,0.0,2021-07-10 11:40:07.269464
IND Section 02,1526,18,18,No,0.0,2021-07-10 11:40:07.269472
IND Section 03,1527,18,18,No,0.0,2021-07-10 11:40:07.269479
IND Section 04,1528,18,18,No,0.0,2021-07-10 11:40:07.269487
IND Section 05,1529,18,18,No,0.0,2021-07-10 11:40:07.269494
IND Section 06,1530,18,18,No,0.0,2021-07-10 11:40:07.269501
IND Section 07,5325,18,18,No,0.0,2021-07-10 11:40:07.269509
IND Section 08,1531,18,18,No,0.0,2021-07-10 11:40:07.269517
IND Section 09,1532,18,18,No,0.0,2021-07-10 11:40:07.269525
IND Section 10,1533,18,18,No,0.0,2021-07-10 11:40:07.269532
IND Section 11,1534,18,18,No,0.0,2021-07-10 11:40:07.269539
IND Section 12,1535,18,18,No,0.0,2021-07-10 11:40:07.269547
IND Section 13,5324,18,18,No,0.0,2021-07-10 11:40:07.269554
TUT Section 01,5338,18,18,No,0.0,2021-07-10 11:40:07.269561
TUT Section 02,5337,18,18,No,0.0,2021-07-10 11:40:07.269569
TUT Section 03,5343,18,18,No,0.0,2021-07-10 11:40:07.269576
TUT Section 04,5344,18,18,No,0.0,2021-07-10 11:40:07.269584
TUT Section 05,5345,18,18,No,0.0,2021-07-10 11:40:07.269592
TUT Section 06,5348,18,18,No,0.0,2021-07-10 11:40:07.269600
TUT Section 07,5347,18,18,No,0.0,2021-07-10 11:40:07.269607
TUT Section 08,5339,18,18,No,0.0,2021-07-10 11:40:07.269615
TUT Section 09,5340,18,18,No,0.0,2021-07-10 11:40:07.269622
TUT Section 10,5341,18,18,No,0.0,2021-07-10 11:40:07.269629
TUT Section 11,5342,18,18,No,0.0,2021-07-10 11:40:07.269637
TUT Section 12,5346,18,18,No,0.0,2021-07-10 11:40:07.269644
IND Section 01,1537,18,18,No,0.0,2021-07-10 11:40:07.269651
IND Section 02,1541,18,18,No,0.0,2021-07-10 11:40:07.269658
IND Section 03,1542,18,18,No,0.0,2021-07-10 11:40:07.269666
IND Section 04,1543,18,18,No,0.0,2021-07-10 11:40:07.269673
IND Section 05,1544,18,18,No,0.0,2021-07-10 11:40:07.269680
IND Section 06,1545,18,18,No,0.0,2021-07-10 11:40:07.269688
IND Section 07,5327,18,18,No,0.0,2021-07-10 11:40:07.269695
IND Section 08,5326,18,18,No,0.0,2021-07-10 11:40:07.269701
IND Section 09,1546,18,18,No,0.0,2021-07-10 11:40:07.269708
IND Section 01,1548,18,18,No,0.0,2021-07-10 11:40:07.269715
IND Section 02,1552,18,18,No,0.0,2021-07-10 11:40:07.269723
IND Section 03,1553,18,18,No,0.0,2021-07-10 11:40:07.269730
IND Section 04,1554,18,18,No,0.0,2021-07-10 11:40:07.269737
IND Section 05,1555,18,18,No,0.0,2021-07-10 11:40:07.269744
IND Section 06,1556,18,18,No,0.0,2021-07-10 11:40:07.269751
IND Section 07,5329,18,18,No,0.0,2021-07-10 11:40:07.269758
IND Section 08,5328,18,18,No,0.0,2021-07-10 11:40:07.269765
IND Section 09,1557,18,18,No,0.0,2021-07-10 11:40:07.269772
IND Section 01,1559,18,18,No,0.0,2021-07-10 11:40:07.269779
IND Section 02,1563,18,18,No,0.0,2021-07-10 11:40:07.269786
IND Section 03,1564,18,18,No,0.0,2021-07-10 11:40:07.269793
IND Section 04,1565,18,18,No,0.0,2021-07-10 11:40:07.269800
IND Section 05,1566,18,18,No,0.0,2021-07-10 11:40:07.269807
IND Section 06,1567,18,18,No,0.0,2021-07-10 11:40:07.269819
IND Section 07,5331,18,18,No,0.0,2021-07-10 11:40:07.269827
IND Section 08,5330,18,18,No,0.0,2021-07-10 11:40:07.269834
IND Section 09,1568,18,18,No,0.0,2021-07-10 11:40:07.269841
IND Section 01,1570,18,18,No,0.0,2021-07-10 11:40:07.269848
IND Section 02,1574,18,18,No,0.0,2021-07-10 11:40:07.269855
IND Section 03,1575,18,18,No,0.0,2021-07-10 11:40:07.269863
IND Section 04,1576,18,18,No,0.0,2021-07-10 11:40:07.269870
IND Section 05,1577,18,18,No,0.0,2021-07-10 11:40:07.269878
IND Section 06,1578,18,18,No,0.0,2021-07-10 11:40:07.269886
IND Section 07,5333,18,18,No,0.0,2021-07-10 11:40:07.269894
IND Section 08,5332,18,18,No,0.0,2021-07-10 11:40:07.269902
IND Section 09,1579,18,18,No,0.0,2021-07-10 11:40:07.269909
IND Section 01,1478,18,18,No,0.0,2021-07-10 11:47:55.773590
IND Section 02,1482,18,18,No,0.0,2021-07-10 11:47:55.773617
IND Section 03,1483,18,18,No,0.0,2021-07-10 11:47:55.773628
IND Section 04,1484,18,18,No,0.0,2021-07-10 11:47:55.773640
IND Section 05,1485,18,18,No,0.0,2021-07-10 11:47:55.773656
IND Section 06,1486,18,18,No,0.0,2021-07-10 11:47:55.773668
IND Section 07,5319,18,18,No,0.0,2021-07-10 11:47:55.773679
IND Section 08,1487,18,18,No,0.0,2021-07-10 11:47:55.773686
IND Section 09,1488,18,18,No,0.0,2021-07-10 11:47:55.773697
IND Section 10,1489,18,18,No,0.0,2021-07-10 11:47:55.773705
IND Section 11,1490,18,18,No,0.0,2021-07-10 11:47:55.773718
IND Section 12,1600,18,18,No,0.0,2021-07-10 11:47:55.773731
IND Section 13,5318,18,18,No,0.0,2021-07-10 11:47:55.773741
IND Section 01,1492,18,18,No,0.0,2021-07-10 11:47:55.773750
IND Section 02,1496,18,18,No,0.0,2021-07-10 11:47:55.773758
IND Section 03,1497,18,18,No,0.0,2021-07-10 11:47:55.773765
IND Section 04,1498,18,18,No,0.0,2021-07-10 11:47:55.773773
IND Section 05,1499,18,18,No,0.0,2021-07-10 11:47:55.773780
IND Section 06,1500,18,18,No,0.0,2021-07-10 11:47:55.773788
IND Section 07,5321,18,18,No,0.0,2021-07-10 11:47:55.773796
IND Section 08,1501,18,18,No,0.0,2021-07-10 11:47:55.773803
IND Section 09,1502,18,18,No,0.0,2021-07-10 11:47:55.773811
IND Section 10,1503,18,18,No,0.0,2021-07-10 11:47:55.773819
IND Section 11,1504,18,18,No,0.0,2021-07-10 11:47:55.773826
IND Section 12,1505,18,18,No,0.0,2021-07-10 11:47:55.773835
IND Section 13,5320,18,18,No,0.0,2021-07-10 11:47:55.773843
TUT Section 01,1581,18,18,No,0.0,2021-07-10 11:47:55.773850
TUT Section 02,1585,18,18,No,0.0,2021-07-10 11:47:55.773858
TUT Section 03,1586,18,18,No,0.0,2021-07-10 11:47:55.773865
TUT Section 04,1587,18,18,No,0.0,2021-07-10 11:47:55.773872
TUT Section 05,1588,18,18,No,0.0,2021-07-10 11:47:55.773880
TUT Section 06,1589,18,18,No,0.0,2021-07-10 11:47:55.773887
TUT Section 07,5335,18,18,No,0.0,2021-07-10 11:47:55.773894
TUT Section 08,5334,18,18,No,0.0,2021-07-10 11:47:55.773902
TUT Section 09,5336,18,18,No,0.0,2021-07-10 11:47:55.773909
IND Section 01,1507,18,18,No,0.0,2021-07-10 11:47:55.773917
IND Section 02,1511,18,18,No,0.0,2021-07-10 11:47:55.773926
IND Section 03,1512,18,18,No,0.0,2021-07-10 11:47:55.773938
IND Section 04,1513,18,18,No,0.0,2021-07-10 11:47:55.773952
IND Section 05,1514,18,18,No,0.0,2021-07-10 11:47:55.773961
IND Section 06,1515,18,18,No,0.0,2021-07-10 11:47:55.773968
IND Section 07,5323,18,18,No,0.0,2021-07-10 11:47:55.773980
IND Section 08,1516,18,18,No,0.0,2021-07-10 11:47:55.773988
IND Section 09,1517,18,18,No,0.0,2021-07-10 11:47:55.773997
IND Section 10,1518,18,18,No,0.0,2021-07-10 11:47:55.774005
IND Section 11,1519,18,18,No,0.0,2021-07-10 11:47:55.774012
IND Section 12,1520,18,18,No,0.0,2021-07-10 11:47:55.774020
IND Section 13,5322,18,18,No,0.0,2021-07-10 11:47:55.774028
IND Section 01,1522,18,18,No,0.0,2021-07-10 11:47:55.774035
IND Section 02,1526,18,18,No,0.0,2021-07-10 11:47:55.774042
IND Section 03,1527,18,18,No,0.0,2021-07-10 11:47:55.774050
IND Section 04,1528,18,18,No,0.0,2021-07-10 11:47:55.774059
IND Section 05,1529,18,18,No,0.0,2021-07-10 11:47:55.774066
IND Section 06,1530,18,18,No,0.0,2021-07-10 11:47:55.774073
IND Section 07,5325,18,18,No,0.0,2021-07-10 11:47:55.774081
IND Section 08,1531,18,18,No,0.0,2021-07-10 11:47:55.774092
IND Section 09,1532,18,18,No,0.0,2021-07-10 11:47:55.774103
IND Section 10,1533,18,18,No,0.0,2021-07-10 11:47:55.774113
IND Section 11,1534,18,18,No,0.0,2021-07-10 11:47:55.774121
IND Section 12,1535,18,18,No,0.0,2021-07-10 11:47:55.774129
IND Section 13,5324,18,18,No,0.0,2021-07-10 11:47:55.774137
TUT Section 01,5338,18,18,No,0.0,2021-07-10 11:47:55.774145
TUT Section 02,5337,18,18,No,0.0,2021-07-10 11:47:55.774152
TUT Section 03,5343,18,18,No,0.0,2021-07-10 11:47:55.774159
TUT Section 04,5344,18,18,No,0.0,2021-07-10 11:47:55.774168
TUT Section 05,5345,18,18,No,0.0,2021-07-10 11:47:55.774179
TUT Section 06,5348,18,18,No,0.0,2021-07-10 11:47:55.774195
TUT Section 07,5347,18,18,No,0.0,2021-07-10 11:47:55.774209
TUT Section 08,5339,18,18,No,0.0,2021-07-10 11:47:55.774222
TUT Section 09,5340,18,18,No,0.0,2021-07-10 11:47:55.774233
TUT Section 10,5341,18,18,No,0.0,2021-07-10 11:47:55.774246
TUT Section 11,5342,18,18,No,0.0,2021-07-10 11:47:55.774259
TUT Section 12,5346,18,18,No,0.0,2021-07-10 11:47:55.774276
IND Section 01,1537,18,18,No,0.0,2021-07-10 11:47:55.774289
IND Section 02,1541,18,18,No,0.0,2021-07-10 11:47:55.774301
IND Section 03,1542,18,18,No,0.0,2021-07-10 11:47:55.774315
IND Section 04,1543,18,18,No,0.0,2021-07-10 11:47:55.774323
IND Section 05,1544,18,18,No,0.0,2021-07-10 11:47:55.774330
IND Section 06,1545,18,18,No,0.0,2021-07-10 11:47:55.774338
IND Section 07,5327,18,18,No,0.0,2021-07-10 11:47:55.774346
IND Section 08,5326,18,18,No,0.0,2021-07-10 11:47:55.774353
IND Section 09,1546,18,18,No,0.0,2021-07-10 11:47:55.774361
IND Section 01,1548,18,18,No,0.0,2021-07-10 11:47:55.774368
IND Section 02,1552,18,18,No,0.0,2021-07-10 11:47:55.774376
IND Section 03,1553,18,18,No,0.0,2021-07-10 11:47:55.774383
IND Section 04,1554,18,18,No,0.0,2021-07-10 11:47:55.774391
IND Section 05,1555,18,18,No,0.0,2021-07-10 11:47:55.774398
IND Section 06,1556,18,18,No,0.0,2021-07-10 11:47:55.774406
IND Section 07,5329,18,18,No,0.0,2021-07-10 11:47:55.774420
IND Section 08,5328,18,18,No,0.0,2021-07-10 11:47:55.774428
IND Section 09,1557,18,18,No,0.0,2021-07-10 11:47:55.774435
IND Section 01,1559,18,18,No,0.0,2021-07-10 11:47:55.774443
IND Section 02,1563,18,18,No,0.0,2021-07-10 11:47:55.774451
IND Section 03,1564,18,18,No,0.0,2021-07-10 11:47:55.774458
IND Section 04,1565,18,18,No,0.0,2021-07-10 11:47:55.774466
IND Section 05,1566,18,18,No,0.0,2021-07-10 11:47:55.774473
IND Section 06,1567,18,18,No,0.0,2021-07-10 11:47:55.774481
IND Section 07,5331,18,18,No,0.0,2021-07-10 11:47:55.774489
IND Section 08,5330,18,18,No,0.0,2021-07-10 11:47:55.774496
IND Section 09,1568,18,18,No,0.0,2021-07-10 11:47:55.774503
IND Section 01,1570,18,18,No,0.0,2021-07-10 11:47:55.774510
IND Section 02,1574,18,18,No,0.0,2021-07-10 11:47:55.774518
IND Section 03,1575,18,18,No,0.0,2021-07-10 11:47:55.774525
IND Section 04,1576,18,18,No,0.0,2021-07-10 11:47:55.774546
IND Section 05,1577,18,18,No,0.0,2021-07-10 11:47:55.774555
IND Section 06,1578,18,18,No,0.0,2021-07-10 11:47:55.774562
IND Section 07,5333,18,18,No,0.0,2021-07-10 11:47:55.774570
IND Section 08,5332,18,18,No,0.0,2021-07-10 11:47:55.774577
IND Section 09,1579,18,18,No,0.0,2021-07-10 11:47:55.774584
IND Section 01,1478,18,18,No,0.0,2021-07-10 11:56:16.984081
IND Section 02,1482,18,18,No,0.0,2021-07-10 11:56:16.984102
IND Section 03,1483,18,18,No,0.0,2021-07-10 11:56:16.984110
IND Section 04,1484,18,18,No,0.0,2021-07-10 11:56:16.984118
IND Section 05,1485,18,18,No,0.0,2021-07-10 11:56:16.984125
IND Section 06,1486,18,18,No,0.0,2021-07-10 11:56:16.984133
IND Section 07,5319,18,18,No,0.0,2021-07-10 11:56:16.984140
IND Section 08,1487,18,18,No,0.0,2021-07-10 11:56:16.984147
IND Section 09,1488,18,18,No,0.0,2021-07-10 11:56:16.984154
IND Section 10,1489,18,18,No,0.0,2021-07-10 11:56:16.984161
IND Section 11,1490,18,18,No,0.0,2021-07-10 11:56:16.984168
IND Section 12,1600,18,18,No,0.0,2021-07-10 11:56:16.984175
IND Section 13,5318,18,18,No,0.0,2021-07-10 11:56:16.984183
IND Section 01,1492,18,18,No,0.0,2021-07-10 11:56:16.984190
IND Section 02,1496,18,18,No,0.0,2021-07-10 11:56:16.984197
IND Section 03,1497,18,18,No,0.0,2021-07-10 11:56:16.984204
IND Section 04,1498,18,18,No,0.0,2021-07-10 11:56:16.984211
IND Section 05,1499,18,18,No,0.0,2021-07-10 11:56:16.984218
IND Section 06,1500,18,18,No,0.0,2021-07-10 11:56:16.984226
IND Section 07,5321,18,18,No,0.0,2021-07-10 11:56:16.984233
IND Section 08,1501,18,18,No,0.0,2021-07-10 11:56:16.984240
IND Section 09,1502,18,18,No,0.0,2021-07-10 11:56:16.984247
IND Section 10,1503,18,18,No,0.0,2021-07-10 11:56:16.984254
IND Section 11,1504,18,18,No,0.0,2021-07-10 11:56:16.984262
IND Section 12,1505,18,18,No,0.0,2021-07-10 11:56:16.984269
IND Section 13,5320,18,18,No,0.0,2021-07-10 11:56:16.984277
TUT Section 01,1581,18,18,No,0.0,2021-07-10 11:56:16.984284
TUT Section 02,1585,18,18,No,0.0,2021-07-10 11:56:16.984292
TUT Section 03,1586,18,18,No,0.0,2021-07-10 11:56:16.984299
TUT Section 04,1587,18,18,No,0.0,2021-07-10 11:56:16.984306
TUT Section 05,1588,18,18,No,0.0,2021-07-10 11:56:16.984313
TUT Section 06,1589,18,18,No,0.0,2021-07-10 11:56:16.984320
TUT Section 07,5335,18,18,No,0.0,2021-07-10 11:56:16.984327
TUT Section 08,5334,18,18,No,0.0,2021-07-10 11:56:16.984335
TUT Section 09,5336,18,18,No,0.0,2021-07-10 11:56:16.984342
IND Section 01,1507,18,18,No,0.0,2021-07-10 11:56:16.984349
IND Section 02,1511,18,18,No,0.0,2021-07-10 11:56:16.984356
IND Section 03,1512,18,18,No,0.0,2021-07-10 11:56:16.984363
IND Section 04,1513,18,18,No,0.0,2021-07-10 11:56:16.984370
IND Section 05,1514,18,18,No,0.0,2021-07-10 11:56:16.984377
IND Section 06,1515,18,18,No,0.0,2021-07-10 11:56:16.984384
IND Section 07,5323,18,18,No,0.0,2021-07-10 11:56:16.984391
