Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
IND Section 01,4266,1,1,No,0.0,2021-07-10 11:41:10.373524
IND Section 02,4267,1,1,No,0.0,2021-07-10 11:41:10.373547
IND Section 03,4268,1,1,No,0.0,2021-07-10 11:41:10.373555
IND Section 04,4269,1,1,No,0.0,2021-07-10 11:41:10.373562
IND Section 05,4270,1,1,No,0.0,2021-07-10 11:41:10.373569
IND Section 06,4271,1,1,No,0.0,2021-07-10 11:41:10.373577
IND Section 07,4272,1,1,No,0.0,2021-07-10 11:41:10.373584
IND Section 08,4273,1,1,No,0.0,2021-07-10 11:41:10.373592
IND Section 09,4274,1,1,No,0.0,2021-07-10 11:41:10.373605
IND Section 10,4275,1,1,No,0.0,2021-07-10 11:41:10.373615
IND Section 11,4276,1,1,No,0.0,2021-07-10 11:41:10.373629
IND Section 12,4277,1,1,No,0.0,2021-07-10 11:41:10.373642
IND Section 13,4278,1,1,No,0.0,2021-07-10 11:41:10.373654
IND Section 14,4279,1,1,No,0.0,2021-07-10 11:41:10.373704
IND Section 15,4280,1,1,No,0.0,2021-07-10 11:41:10.373716
IND Section 16,4281,1,1,No,0.0,2021-07-10 11:41:10.373731
IND Section 17,4282,1,1,No,0.0,2021-07-10 11:41:10.373746
IND Section 18,4283,1,1,No,0.0,2021-07-10 11:41:10.373789
IND Section 19,4284,1,1,No,0.0,2021-07-10 11:41:10.373825
IND Section 20,4285,1,1,No,0.0,2021-07-10 11:41:10.373858
IND Section 21,4286,1,1,No,0.0,2021-07-10 11:41:10.373871
IND Section 22,4287,1,1,No,0.0,2021-07-10 11:41:10.373883
IND Section 23,4288,1,1,No,0.0,2021-07-10 11:41:10.373890
IND Section 24,4289,1,1,No,0.0,2021-07-10 11:41:10.373898
IND Section 25,4290,1,1,No,0.0,2021-07-10 11:41:10.373906
IND Section 26,4291,1,1,No,0.0,2021-07-10 11:41:10.373913
IND Section 27,4292,1,1,No,0.0,2021-07-10 11:41:10.373921
