Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
Lecture Section 01,5011,64,75,No,14.666666666666666,2021-07-10 11:40:47.257174
Lecture Section 001,5068,75,75,No,0.0,2021-07-10 11:40:47.257260
Discussion Section 10D,5069,75,75,No,0.0,2021-07-10 11:40:47.257270
Lecture Section 001,5070,248,250,No,0.8,2021-07-10 11:40:47.257279
Lecture Section 002,5071,250,250,No,0.0,2021-07-10 11:40:47.257287
Discussion Section 10D,5072,25,25,No,0.0,2021-07-10 11:40:47.257295
Discussion Section 11D,5073,25,25,No,0.0,2021-07-10 11:40:47.257303
Discussion Section 12D,5074,24,25,No,4.0,2021-07-10 11:40:47.257310
Discussion Section 13D,5075,25,25,No,0.0,2021-07-10 11:40:47.257318
Discussion Section 14D,5076,25,25,No,0.0,2021-07-10 11:40:47.257325
Discussion Section 15D,5077,25,25,No,0.0,2021-07-10 11:40:47.257334
Discussion Section 16D,5078,25,25,No,0.0,2021-07-10 11:40:47.257341
Discussion Section 17D,5079,25,25,No,0.0,2021-07-10 11:40:47.257350
Discussion Section 18D,5080,24,25,No,4.0,2021-07-10 11:40:47.257358
Discussion Section 19D,5081,25,25,No,0.0,2021-07-10 11:40:47.257365
Discussion Section 20D,5082,20,20,No,0.0,2021-07-10 11:40:47.257373
Discussion Section 21D,5083,20,20,No,0.0,2021-07-10 11:40:47.257380
Discussion Section 22D,5084,25,25,No,0.0,2021-07-10 11:40:47.257388
Discussion Section 23D,5085,25,25,No,0.0,2021-07-10 11:40:47.257395
Discussion Section 24D,5086,25,25,No,0.0,2021-07-10 11:40:47.257403
Discussion Section 25D,5087,25,25,No,0.0,2021-07-10 11:40:47.257410
Discussion Section 26D,5088,25,25,No,0.0,2021-07-10 11:40:47.257418
Discussion Section 27D,5089,25,25,No,0.0,2021-07-10 11:40:47.257425
Discussion Section 28D,5090,25,25,No,0.0,2021-07-10 11:40:47.257432
Discussion Section 29D,5091,25,25,No,0.0,2021-07-10 11:40:47.257441
Laboratory Section 111,5102,14,14,No,0.0,2021-07-10 11:40:47.257448
Laboratory Section 112,10236,14,14,No,0.0,2021-07-10 11:40:47.257455
Laboratory Section 121,5103,14,14,No,0.0,2021-07-10 11:40:47.257463
Laboratory Section 122,10237,14,14,No,0.0,2021-07-10 11:40:47.257471
Laboratory Section 131,5104,14,14,No,0.0,2021-07-10 11:40:47.257478
Laboratory Section 132,10238,14,14,No,0.0,2021-07-10 11:40:47.257486
Laboratory Section 211,5105,14,14,No,0.0,2021-07-10 11:40:47.257494
Laboratory Section 212,10239,14,14,No,0.0,2021-07-10 11:40:47.257502
Laboratory Section 221,5106,13,14,No,7.142857142857142,2021-07-10 11:40:47.257510
Laboratory Section 222,10240,14,14,No,0.0,2021-07-10 11:40:47.257518
Laboratory Section 311,5107,14,14,No,0.0,2021-07-10 11:40:47.257526
Laboratory Section 312,10241,14,14,No,0.0,2021-07-10 11:40:47.257534
Laboratory Section 321,5108,14,14,No,0.0,2021-07-10 11:40:47.257543
Laboratory Section 322,10242,14,14,No,0.0,2021-07-10 11:40:47.257551
Laboratory Section 331,5109,14,14,No,0.0,2021-07-10 11:40:47.257558
Laboratory Section 332,10243,14,14,No,0.0,2021-07-10 11:40:47.257566
Laboratory Section 341,5110,14,14,No,0.0,2021-07-10 11:40:47.257574
Laboratory Section 342,10244,14,14,No,0.0,2021-07-10 11:40:47.257582
Laboratory Section 411,5111,14,14,No,0.0,2021-07-10 11:40:47.257590
Laboratory Section 412,10245,14,14,No,0.0,2021-07-10 11:40:47.257598
Laboratory Section 421,5112,14,14,No,0.0,2021-07-10 11:40:47.257606
Laboratory Section 422,10246,14,14,No,0.0,2021-07-10 11:40:47.257613
Laboratory Section 431,5113,14,14,No,0.0,2021-07-10 11:40:47.257621
Laboratory Section 432,10247,14,14,No,0.0,2021-07-10 11:40:47.257629
Laboratory Section 611,5114,14,14,No,0.0,2021-07-10 11:40:47.257636
Laboratory Section 612,10248,14,14,No,0.0,2021-07-10 11:40:47.257644
Laboratory Section 621,5115,14,14,No,0.0,2021-07-10 11:40:47.257652
Laboratory Section 622,10249,14,14,No,0.0,2021-07-10 11:40:47.257660
Laboratory Section 631,5116,14,14,No,0.0,2021-07-10 11:40:47.257667
Laboratory Section 632,10250,14,14,No,0.0,2021-07-10 11:40:47.257674
Laboratory Section 641,5117,14,14,No,0.0,2021-07-10 11:40:47.257681
Laboratory Section 642,10251,14,14,No,0.0,2021-07-10 11:40:47.257688
Laboratory Section 711,5118,14,14,No,0.0,2021-07-10 11:40:47.257696
Laboratory Section 712,10252,14,14,No,0.0,2021-07-10 11:40:47.257704
Laboratory Section 721,5119,14,14,No,0.0,2021-07-10 11:40:47.257712
Laboratory Section 722,10253,14,14,No,0.0,2021-07-10 11:40:47.257720
Laboratory Section 731,5120,14,14,No,0.0,2021-07-10 11:40:47.257728
Laboratory Section 732,10254,14,14,No,0.0,2021-07-10 11:40:47.257735
Lecture Section 001,5097,100,100,No,0.0,2021-07-10 11:40:47.257745
Discussion Section 10D,5098,25,25,No,0.0,2021-07-10 11:40:47.257755
Discussion Section 11D,5099,25,25,No,0.0,2021-07-10 11:40:47.257763
Discussion Section 12D,5100,25,25,No,0.0,2021-07-10 11:40:47.257771
Discussion Section 13D,5101,25,25,No,0.0,2021-07-10 11:40:47.257779
Laboratory Section 111,5121,14,14,No,0.0,2021-07-10 11:40:47.257786
Laboratory Section 112,10255,14,14,No,0.0,2021-07-10 11:40:47.257794
Laboratory Section 311,5122,14,14,No,0.0,2021-07-10 11:40:47.257801
