Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
SEM Section 01,4326,7,18,No,61.111111111111114,2021-07-10 11:41:14.951977
IND Section 01,4328,1,1,No,0.0,2021-07-10 11:41:14.951998
IND Section 02,4329,1,1,No,0.0,2021-07-10 11:41:14.952006
IND Section 03,4330,1,1,No,0.0,2021-07-10 11:41:14.952013
SEM Section 01,4331,10,18,No,44.44444444444444,2021-07-10 11:41:14.952021
SEM Section 01,4326,7,18,No,61.111111111111114,2021-07-10 11:47:32.519207
IND Section 01,4328,1,1,No,0.0,2021-07-10 11:47:32.519226
IND Section 02,4329,1,1,No,0.0,2021-07-10 11:47:32.519235
IND Section 03,4330,1,1,No,0.0,2021-07-10 11:47:32.519242
SEM Section 01,4331,10,18,No,44.44444444444444,2021-07-10 11:47:32.519251
SEM Section 01,4326,7,18,No,61.111111111111114,2021-07-10 11:55:53.882072
IND Section 01,4328,1,1,No,0.0,2021-07-10 11:55:53.882093
IND Section 02,4329,1,1,No,0.0,2021-07-10 11:55:53.882102
IND Section 03,4330,1,1,No,0.0,2021-07-10 11:55:53.882110
SEM Section 01,4331,10,18,No,44.44444444444444,2021-07-10 11:55:53.882118
