Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
Lecture Section 01,9122,4,18,No,77.77777777777779,2021-07-10 11:39:11.477565
Lecture Section 01,9021,20,45,No,55.55555555555556,2021-07-10 11:39:11.477594
SEM Section 01,6674,0,15,No,100.0,2021-07-10 11:39:11.477604
SEM Section 01,9093,11,12,No,8.333333333333332,2021-07-10 11:39:11.477613
Lecture Section 01,9220,15,15,No,0.0,2021-07-10 11:39:11.477621
SEM Section 01,6872,16,18,No,11.11111111111111,2021-07-10 11:39:11.477629
Lecture Section 01,5707,10,18,No,44.44444444444444,2021-07-10 11:39:11.477637
Lecture Section 01,6575,0,14,No,100.0,2021-07-10 11:39:11.477646
Lecture Section 01,7678,33,40,No,17.5,2021-07-10 11:39:11.477654
Lecture Section 01,7611,0,45,No,100.0,2021-07-10 11:39:11.477662
Lecture Section 01,6387,0,35,No,100.0,2021-07-10 11:39:11.477671
SEM Section 01,8974,8,12,No,33.33333333333333,2021-07-10 11:39:11.477678
SEM Section 02,8975,0,12,No,100.0,2021-07-10 11:39:11.477686
SEM Section 01,9184,4,15,No,73.33333333333333,2021-07-10 11:39:11.477693
SEM Section 01,8901,0,16,No,100.0,2021-07-10 11:39:11.477700
SEM Section 01,9079,0,18,No,100.0,2021-07-10 11:39:11.477708
SEM Section 01,8889,13,16,No,18.75,2021-07-10 11:39:11.477715
SEM Section 01,7771,0,18,No,100.0,2021-07-10 11:39:11.477723
SEM Section 01,8979,4,15,No,73.33333333333333,2021-07-10 11:39:11.477730
SEM Section 01,6634,0,12,No,100.0,2021-07-10 11:39:11.477738
SEM Section 01,8981,1,9,No,88.88888888888889,2021-07-10 11:39:11.477747
SEM Section 01,9057,0,9,No,100.0,2021-07-10 11:39:11.477754
SEM Section 01,9062,0,10,No,100.0,2021-07-10 11:39:11.477762
SEM Section 01,9067,0,12,No,100.0,2021-07-10 11:39:11.477769
SEM Section 01,9174,0,12,No,100.0,2021-07-10 11:39:11.477777
IND Section 01,9209,3,3,No,0.0,2021-07-10 11:39:11.477784
IND Section 02,9210,3,3,No,0.0,2021-07-10 11:39:11.477791
IND Section 03,9211,3,3,No,0.0,2021-07-10 11:39:11.477798
IND Section 04,9212,3,3,No,0.0,2021-07-10 11:39:11.477805
IND Section 01,8985,2,3,No,33.33333333333333,2021-07-10 11:39:11.477812
IND Section 02,8986,2,3,No,33.33333333333333,2021-07-10 11:39:11.477819
IND Section 03,8987,3,3,No,0.0,2021-07-10 11:39:11.477826
IND Section 04,8988,3,3,No,0.0,2021-07-10 11:39:11.477833
IND Section 05,8989,3,3,No,0.0,2021-07-10 11:39:11.477840
