Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
SEM Section 01,5128,18,18,No,0.0,2021-07-10 11:39:38.910222
Lecture Section 01,5134,26,30,No,13.333333333333334,2021-07-10 11:39:38.910243
Lecture Section 01,5152,24,30,No,20.0,2021-07-10 11:39:38.910252
SEM Section 01,5147,0,18,No,100.0,2021-07-10 11:39:38.910261
Lecture Section 01,4446,22,35,No,37.142857142857146,2021-07-10 11:39:38.910269
Lecture Section 01,5129,24,40,No,40.0,2021-07-10 11:39:38.910277
Lecture Section 01,5131,27,30,No,10.0,2021-07-10 11:39:38.910285
Lecture Section 01,5166,25,38,No,34.21052631578947,2021-07-10 11:39:38.910292
SEM Section 01,5128,18,18,No,0.0,2021-07-10 11:47:27.027706
Lecture Section 01,5134,26,30,No,13.333333333333334,2021-07-10 11:47:27.027735
Lecture Section 01,5152,24,30,No,20.0,2021-07-10 11:47:27.027749
SEM Section 01,5147,0,18,No,100.0,2021-07-10 11:47:27.027764
Lecture Section 01,4446,22,35,No,37.142857142857146,2021-07-10 11:47:27.027785
Lecture Section 01,5129,24,40,No,40.0,2021-07-10 11:47:27.027798
Lecture Section 01,5131,27,30,No,10.0,2021-07-10 11:47:27.027811
Lecture Section 01,5166,25,38,No,34.21052631578947,2021-07-10 11:47:27.027823
SEM Section 01,5128,18,18,No,0.0,2021-07-10 11:55:47.183363
Lecture Section 01,5134,26,30,No,13.333333333333334,2021-07-10 11:55:47.183384
Lecture Section 01,5152,24,30,No,20.0,2021-07-10 11:55:47.183392
SEM Section 01,5147,0,18,No,100.0,2021-07-10 11:55:47.183401
Lecture Section 01,4446,22,35,No,37.142857142857146,2021-07-10 11:55:47.183408
Lecture Section 01,5129,24,40,No,40.0,2021-07-10 11:55:47.183416
Lecture Section 01,5131,27,30,No,10.0,2021-07-10 11:55:47.183423
Lecture Section 01,5166,25,38,No,34.21052631578947,2021-07-10 11:55:47.183430
