Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
Lecture Section 01,9224,0,10,No,100.0,2021-07-10 11:40:07.637482
IND Section 01,9877,1,1,No,0.0,2021-07-10 11:40:07.637505
IND Section 02,9878,1,1,No,0.0,2021-07-10 11:40:07.637514
IND Section 03,10083,1,1,No,0.0,2021-07-10 11:40:07.637522
IND Section 04,10084,1,1,No,0.0,2021-07-10 11:40:07.637529
IND Section 05,10085,1,1,No,0.0,2021-07-10 11:40:07.637537
IND Section 06,10086,1,1,No,0.0,2021-07-10 11:40:07.637544
IND Section 07,10087,1,1,No,0.0,2021-07-10 11:40:07.637551
IND Section 08,10088,1,1,No,0.0,2021-07-10 11:40:07.637559
IND Section 09,10089,1,1,No,0.0,2021-07-10 11:40:07.637567
IND Section 10,10090,1,1,No,0.0,2021-07-10 11:40:07.637585
IND Section 01,10091,1,1,No,0.0,2021-07-10 11:40:07.637594
IND Section 02,10092,1,1,No,0.0,2021-07-10 11:40:07.637602
IND Section 03,10094,1,1,No,0.0,2021-07-10 11:40:07.637609
IND Section 04,10095,1,1,No,0.0,2021-07-10 11:40:07.637616
IND Section 05,10096,1,1,No,0.0,2021-07-10 11:40:07.637623
IND Section 06,10097,1,1,No,0.0,2021-07-10 11:40:07.637631
IND Section 07,10098,1,1,No,0.0,2021-07-10 11:40:07.637638
IND Section 08,10099,1,1,No,0.0,2021-07-10 11:40:07.637646
IND Section 09,10100,1,1,No,0.0,2021-07-10 11:40:07.637653
IND Section 10,10101,1,1,No,0.0,2021-07-10 11:40:07.637660
Lecture Section 01,9224,0,10,No,100.0,2021-07-10 11:47:55.373468
IND Section 01,9877,1,1,No,0.0,2021-07-10 11:47:55.373492
IND Section 02,9878,1,1,No,0.0,2021-07-10 11:47:55.373500
IND Section 03,10083,1,1,No,0.0,2021-07-10 11:47:55.373507
IND Section 04,10084,1,1,No,0.0,2021-07-10 11:47:55.373515
IND Section 05,10085,1,1,No,0.0,2021-07-10 11:47:55.373522
IND Section 06,10086,1,1,No,0.0,2021-07-10 11:47:55.373529
IND Section 07,10087,1,1,No,0.0,2021-07-10 11:47:55.373536
IND Section 08,10088,1,1,No,0.0,2021-07-10 11:47:55.373543
IND Section 09,10089,1,1,No,0.0,2021-07-10 11:47:55.373550
IND Section 10,10090,1,1,No,0.0,2021-07-10 11:47:55.373558
IND Section 01,10091,1,1,No,0.0,2021-07-10 11:47:55.373565
IND Section 02,10092,1,1,No,0.0,2021-07-10 11:47:55.373572
IND Section 03,10094,1,1,No,0.0,2021-07-10 11:47:55.373579
IND Section 04,10095,1,1,No,0.0,2021-07-10 11:47:55.373586
IND Section 05,10096,1,1,No,0.0,2021-07-10 11:47:55.373593
IND Section 06,10097,1,1,No,0.0,2021-07-10 11:47:55.373600
IND Section 07,10098,1,1,No,0.0,2021-07-10 11:47:55.373606
IND Section 08,10099,1,1,No,0.0,2021-07-10 11:47:55.373614
IND Section 09,10100,1,1,No,0.0,2021-07-10 11:47:55.373620
IND Section 10,10101,1,1,No,0.0,2021-07-10 11:47:55.373627
Lecture Section 01,9224,0,10,No,100.0,2021-07-10 11:56:15.643265
IND Section 01,9877,1,1,No,0.0,2021-07-10 11:56:15.643284
IND Section 02,9878,1,1,No,0.0,2021-07-10 11:56:15.643292
IND Section 03,10083,1,1,No,0.0,2021-07-10 11:56:15.643300
IND Section 04,10084,1,1,No,0.0,2021-07-10 11:56:15.643307
IND Section 05,10085,1,1,No,0.0,2021-07-10 11:56:15.643314
IND Section 06,10086,1,1,No,0.0,2021-07-10 11:56:15.643321
IND Section 07,10087,1,1,No,0.0,2021-07-10 11:56:15.643329
IND Section 08,10088,1,1,No,0.0,2021-07-10 11:56:15.643336
IND Section 09,10089,1,1,No,0.0,2021-07-10 11:56:15.643344
IND Section 10,10090,1,1,No,0.0,2021-07-10 11:56:15.643351
IND Section 01,10091,1,1,No,0.0,2021-07-10 11:56:15.643359
IND Section 02,10092,1,1,No,0.0,2021-07-10 11:56:15.643366
IND Section 03,10094,1,1,No,0.0,2021-07-10 11:56:15.643373
IND Section 04,10095,1,1,No,0.0,2021-07-10 11:56:15.643380
IND Section 05,10096,1,1,No,0.0,2021-07-10 11:56:15.643386
IND Section 06,10097,1,1,No,0.0,2021-07-10 11:56:15.643393
IND Section 07,10098,1,1,No,0.0,2021-07-10 11:56:15.643400
IND Section 08,10099,1,1,No,0.0,2021-07-10 11:56:15.643408
IND Section 09,10100,1,1,No,0.0,2021-07-10 11:56:15.643415
IND Section 10,10101,1,1,No,0.0,2021-07-10 11:56:15.643422
