Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
Lecture Section 01,5297,14,20,No,30.0,2021-07-10 11:40:13.623451
STU Section 01,5289,12,20,No,40.0,2021-07-10 11:40:13.623471
MUS Section 01,6901,8,12,No,33.33333333333333,2021-07-10 11:40:13.623480
STU Section 01,5306,11,20,No,45.0,2021-07-10 11:40:13.623488
STU Section 01,5293,20,20,No,0.0,2021-07-10 11:40:13.623496
STU Section 01,5296,17,20,No,15.0,2021-07-10 11:40:13.623503
STU Section 01,5300,6,15,No,60.0,2021-07-10 11:40:13.623511
STU Section 01,5292,10,20,No,50.0,2021-07-10 11:40:13.623539
STU Section 01,5305,4,20,No,80.0,2021-07-10 11:40:13.623549
STU Section 01,5307,17,20,No,15.0,2021-07-10 11:40:13.623560
STU Section 01,5290,19,20,No,5.0,2021-07-10 11:40:13.623568
WRK Section 01,8886,6,16,No,62.5,2021-07-10 11:40:13.623575
STU Section 01,5294,14,20,No,30.0,2021-07-10 11:40:13.623582
TUT Section 01,10069,5,5,No,0.0,2021-07-10 11:40:13.623590
TUT Section 02,10070,5,5,No,0.0,2021-07-10 11:40:13.623597
TUT Section 03,10071,5,5,No,0.0,2021-07-10 11:40:13.623604
TUT Section 04,10072,5,5,No,0.0,2021-07-10 11:40:13.623611
TUT Section 05,10073,5,5,No,0.0,2021-07-10 11:40:13.623618
TUT Section 06,10074,5,5,No,0.0,2021-07-10 11:40:13.623625
TUT Section 07,10075,5,5,No,0.0,2021-07-10 11:40:13.623632
TUT Section 08,10076,5,5,No,0.0,2021-07-10 11:40:13.623639
TUT Section 09,10077,5,5,No,0.0,2021-07-10 11:40:13.623646
TUT Section 10,10078,5,5,No,0.0,2021-07-10 11:40:13.623653
STU Section 01,5291,16,20,No,20.0,2021-07-10 11:40:13.623661
STU Section 01,5295,11,20,No,45.0,2021-07-10 11:40:13.623668
SEM Section 01,5315,12,18,No,33.33333333333333,2021-07-10 11:40:13.623676
Lecture Section 01,5301,14,18,No,22.22222222222222,2021-07-10 11:40:13.623683
SEM Section 01,8893,0,16,No,100.0,2021-07-10 11:40:13.623691
STU Section 01,5299,20,20,No,0.0,2021-07-10 11:40:13.623699
Lecture Section 01,5297,14,20,No,30.0,2021-07-10 11:47:59.405339
STU Section 01,5289,12,20,No,40.0,2021-07-10 11:47:59.405368
MUS Section 01,6901,8,12,No,33.33333333333333,2021-07-10 11:47:59.405382
STU Section 01,5306,11,20,No,45.0,2021-07-10 11:47:59.405399
STU Section 01,5293,20,20,No,0.0,2021-07-10 11:47:59.405410
STU Section 01,5296,17,20,No,15.0,2021-07-10 11:47:59.405421
STU Section 01,5300,6,15,No,60.0,2021-07-10 11:47:59.405432
STU Section 01,5292,10,20,No,50.0,2021-07-10 11:47:59.405444
STU Section 01,5305,4,20,No,80.0,2021-07-10 11:47:59.405455
STU Section 01,5307,17,20,No,15.0,2021-07-10 11:47:59.405465
STU Section 01,5290,19,20,No,5.0,2021-07-10 11:47:59.405477
WRK Section 01,8886,6,16,No,62.5,2021-07-10 11:47:59.405488
STU Section 01,5294,14,20,No,30.0,2021-07-10 11:47:59.405499
TUT Section 01,10069,5,5,No,0.0,2021-07-10 11:47:59.405511
TUT Section 02,10070,5,5,No,0.0,2021-07-10 11:47:59.405523
TUT Section 03,10071,5,5,No,0.0,2021-07-10 11:47:59.405536
TUT Section 04,10072,5,5,No,0.0,2021-07-10 11:47:59.405547
TUT Section 05,10073,5,5,No,0.0,2021-07-10 11:47:59.405559
TUT Section 06,10074,5,5,No,0.0,2021-07-10 11:47:59.405571
TUT Section 07,10075,5,5,No,0.0,2021-07-10 11:47:59.405579
TUT Section 08,10076,5,5,No,0.0,2021-07-10 11:47:59.405587
TUT Section 09,10077,5,5,No,0.0,2021-07-10 11:47:59.405594
TUT Section 10,10078,5,5,No,0.0,2021-07-10 11:47:59.405601
STU Section 01,5291,16,20,No,20.0,2021-07-10 11:47:59.405609
STU Section 01,5295,11,20,No,45.0,2021-07-10 11:47:59.405617
SEM Section 01,5315,12,18,No,33.33333333333333,2021-07-10 11:47:59.405624
Lecture Section 01,5301,14,18,No,22.22222222222222,2021-07-10 11:47:59.405632
SEM Section 01,8893,0,16,No,100.0,2021-07-10 11:47:59.405641
STU Section 01,5299,20,20,No,0.0,2021-07-10 11:47:59.405648
Lecture Section 01,5297,14,20,No,30.0,2021-07-10 11:56:23.031191
STU Section 01,5289,12,20,No,40.0,2021-07-10 11:56:23.031222
MUS Section 01,6901,8,12,No,33.33333333333333,2021-07-10 11:56:23.031235
STU Section 01,5306,11,20,No,45.0,2021-07-10 11:56:23.031249
STU Section 01,5293,20,20,No,0.0,2021-07-10 11:56:23.031261
