Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
Lecture Section 01,6646,41,50,No,18.0,2021-07-10 11:39:11.132132
SEM Section 01,6638,0,12,No,100.0,2021-07-10 11:39:11.132159
SEM Section 01,8856,3,18,No,83.33333333333334,2021-07-10 11:39:11.132168
Lecture Section 01,9022,20,45,No,55.55555555555556,2021-07-10 11:39:11.132177
SEM Section 01,6650,5,15,No,66.66666666666666,2021-07-10 11:39:11.132184
SEM Section 01,9133,10,15,No,33.33333333333333,2021-07-10 11:39:11.132192
SEM Section 01,6656,0,13,No,100.0,2021-07-10 11:39:11.132200
SEM Section 01,6692,2,15,No,86.66666666666667,2021-07-10 11:39:11.132208
SEM Section 01,6677,11,13,No,15.384615384615385,2021-07-10 11:39:11.132215
SEM Section 01,6652,0,12,No,100.0,2021-07-10 11:39:11.132223
SEM Section 01,9095,11,12,No,8.333333333333332,2021-07-10 11:39:11.132231
SEM Section 01,6682,1,18,No,94.44444444444444,2021-07-10 11:39:11.132238
SEM Section 01,6661,10,15,No,33.33333333333333,2021-07-10 11:39:11.132246
SEM Section 01,4190,5,18,No,72.22222222222221,2021-07-10 11:39:11.132253
SEM Section 01,6641,7,15,No,53.333333333333336,2021-07-10 11:39:11.132261
SEM Section 01,6658,10,13,No,23.076923076923077,2021-07-10 11:39:11.132268
SEM Section 01,9030,9,10,No,10.0,2021-07-10 11:39:11.132275
Lecture Section 01,9452,21,25,No,16.0,2021-07-10 11:39:11.132283
Lecture Section 01,7609,0,45,No,100.0,2021-07-10 11:39:11.132291
SEM Section 01,6670,0,15,No,100.0,2021-07-10 11:39:11.132299
SEM Section 01,6679,7,13,No,46.15384615384615,2021-07-10 11:39:11.132306
SEM Section 01,9059,0,9,No,100.0,2021-07-10 11:39:11.132314
SEM Section 01,9068,0,12,No,100.0,2021-07-10 11:39:11.132321
Lecture Section 01,8199,34,45,No,24.444444444444443,2021-07-10 11:39:11.132329
SEM Section 01,7769,0,18,No,100.0,2021-07-10 11:39:11.132337
SEM Section 01,6665,5,13,No,61.53846153846154,2021-07-10 11:39:11.132344
SEM Section 01,8982,1,9,No,88.88888888888889,2021-07-10 11:39:11.132352
SEM Section 01,5775,3,12,No,75.0,2021-07-10 11:39:11.132359
SEM Section 01,9063,0,10,No,100.0,2021-07-10 11:39:11.132366
SEM Section 01,5773,6,12,No,50.0,2021-07-10 11:39:11.132374
SEM Section 01,6689,0,10,No,100.0,2021-07-10 11:39:11.132381
Lecture Section 01,5782,0,25,No,100.0,2021-07-10 11:39:11.132389
SEM Section 01,6649,13,15,No,13.333333333333334,2021-07-10 11:39:11.132396
Lecture Section 01,6646,41,50,No,18.0,2021-07-10 11:46:56.959058
SEM Section 01,6638,0,12,No,100.0,2021-07-10 11:46:56.959152
SEM Section 01,8856,3,18,No,83.33333333333334,2021-07-10 11:46:56.959169
Lecture Section 01,9022,20,45,No,55.55555555555556,2021-07-10 11:46:56.959185
SEM Section 01,6650,5,15,No,66.66666666666666,2021-07-10 11:46:56.959201
SEM Section 01,9133,10,15,No,33.33333333333333,2021-07-10 11:46:56.959215
SEM Section 01,6656,0,13,No,100.0,2021-07-10 11:46:56.959230
SEM Section 01,6692,2,15,No,86.66666666666667,2021-07-10 11:46:56.959246
SEM Section 01,6677,11,13,No,15.384615384615385,2021-07-10 11:46:56.959260
SEM Section 01,6652,0,12,No,100.0,2021-07-10 11:46:56.959276
SEM Section 01,9095,11,12,No,8.333333333333332,2021-07-10 11:46:56.959292
SEM Section 01,6682,1,18,No,94.44444444444444,2021-07-10 11:46:56.959306
SEM Section 01,6661,10,15,No,33.33333333333333,2021-07-10 11:46:56.959321
SEM Section 01,4190,5,18,No,72.22222222222221,2021-07-10 11:46:56.959336
SEM Section 01,6641,7,15,No,53.333333333333336,2021-07-10 11:46:56.959350
SEM Section 01,6658,10,13,No,23.076923076923077,2021-07-10 11:46:56.959369
SEM Section 01,9030,9,10,No,10.0,2021-07-10 11:46:56.959382
Lecture Section 01,9452,21,25,No,16.0,2021-07-10 11:46:56.959396
Lecture Section 01,7609,0,45,No,100.0,2021-07-10 11:46:56.959412
SEM Section 01,6670,0,15,No,100.0,2021-07-10 11:46:56.959426
SEM Section 01,6679,7,13,No,46.15384615384615,2021-07-10 11:46:56.959439
SEM Section 01,9059,0,9,No,100.0,2021-07-10 11:46:56.959454
SEM Section 01,9068,0,12,No,100.0,2021-07-10 11:46:56.959468
Lecture Section 01,8199,34,45,No,24.444444444444443,2021-07-10 11:46:56.959482
SEM Section 01,7769,0,18,No,100.0,2021-07-10 11:46:56.959497
SEM Section 01,6665,5,13,No,61.53846153846154,2021-07-10 11:46:56.959511
SEM Section 01,8982,1,9,No,88.88888888888889,2021-07-10 11:46:56.959525
SEM Section 01,5775,3,12,No,75.0,2021-07-10 11:46:56.959539
SEM Section 01,9063,0,10,No,100.0,2021-07-10 11:46:56.959554
SEM Section 01,5773,6,12,No,50.0,2021-07-10 11:46:56.959568
SEM Section 01,6689,0,10,No,100.0,2021-07-10 11:46:56.959582
Lecture Section 01,5782,0,25,No,100.0,2021-07-10 11:46:56.959597
SEM Section 01,6649,13,15,No,13.333333333333334,2021-07-10 11:46:56.959612
Lecture Section 01,6646,41,50,No,18.0,2021-07-10 11:55:19.706287
SEM Section 01,6638,0,12,No,100.0,2021-07-10 11:55:19.706327
SEM Section 01,8856,3,18,No,83.33333333333334,2021-07-10 11:55:19.706343
Lecture Section 01,9022,20,45,No,55.55555555555556,2021-07-10 11:55:19.706357
SEM Section 01,6650,5,15,No,66.66666666666666,2021-07-10 11:55:19.706370
SEM Section 01,9133,10,15,No,33.33333333333333,2021-07-10 11:55:19.706382
SEM Section 01,6656,0,13,No,100.0,2021-07-10 11:55:19.706395
SEM Section 01,6692,2,15,No,86.66666666666667,2021-07-10 11:55:19.706407
SEM Section 01,6677,11,13,No,15.384615384615385,2021-07-10 11:55:19.706420
SEM Section 01,6652,0,12,No,100.0,2021-07-10 11:55:19.706433
SEM Section 01,9095,11,12,No,8.333333333333332,2021-07-10 11:55:19.706447
SEM Section 01,6682,1,18,No,94.44444444444444,2021-07-10 11:55:19.706459
SEM Section 01,6661,10,15,No,33.33333333333333,2021-07-10 11:55:19.706471
SEM Section 01,4190,5,18,No,72.22222222222221,2021-07-10 11:55:19.706484
SEM Section 01,6641,7,15,No,53.333333333333336,2021-07-10 11:55:19.706496
SEM Section 01,6658,10,13,No,23.076923076923077,2021-07-10 11:55:19.706509
SEM Section 01,9030,9,10,No,10.0,2021-07-10 11:55:19.706521
Lecture Section 01,9452,21,25,No,16.0,2021-07-10 11:55:19.706534
Lecture Section 01,7609,0,45,No,100.0,2021-07-10 11:55:19.706547
SEM Section 01,6670,0,15,No,100.0,2021-07-10 11:55:19.706561
SEM Section 01,6679,7,13,No,46.15384615384615,2021-07-10 11:55:19.706573
SEM Section 01,9059,0,9,No,100.0,2021-07-10 11:55:19.706586
SEM Section 01,9068,0,12,No,100.0,2021-07-10 11:55:19.706599
Lecture Section 01,8199,34,45,No,24.444444444444443,2021-07-10 11:55:19.706611
SEM Section 01,7769,0,18,No,100.0,2021-07-10 11:55:19.706623
SEM Section 01,6665,5,13,No,61.53846153846154,2021-07-10 11:55:19.706634
SEM Section 01,8982,1,9,No,88.88888888888889,2021-07-10 11:55:19.706647
SEM Section 01,5775,3,12,No,75.0,2021-07-10 11:55:19.706659
SEM Section 01,9063,0,10,No,100.0,2021-07-10 11:55:19.706672
SEM Section 01,5773,6,12,No,50.0,2021-07-10 11:55:19.706684
SEM Section 01,6689,0,10,No,100.0,2021-07-10 11:55:19.706696
Lecture Section 01,5782,0,25,No,100.0,2021-07-10 11:55:19.706709
SEM Section 01,6649,13,15,No,13.333333333333334,2021-07-10 11:55:19.706721
