Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
Lecture Section 001,7081,34,40,No,15.0,2021-07-10 11:39:47.407946
Lecture Section 002,7082,38,40,No,5.0,2021-07-10 11:39:47.407965
Laboratory Section 01L,7122,9,10,No,10.0,2021-07-10 11:39:47.407975
Laboratory Section 02L,7123,7,10,No,30.0,2021-07-10 11:39:47.407983
Laboratory Section 03L,7124,10,10,No,0.0,2021-07-10 11:39:47.407991
Laboratory Section 04L,7125,9,10,No,10.0,2021-07-10 11:39:47.408000
Laboratory Section 05L,7126,9,10,No,10.0,2021-07-10 11:39:47.408007
Laboratory Section 06L,7127,9,10,No,10.0,2021-07-10 11:39:47.408015
Laboratory Section 07L,7128,10,10,No,0.0,2021-07-10 11:39:47.408022
Lecture Section 001,7088,48,70,No,31.428571428571427,2021-07-10 11:39:47.408030
Laboratory Section 01L,7083,2,10,No,80.0,2021-07-10 11:39:47.408038
Laboratory Section 02L,7084,6,10,No,40.0,2021-07-10 11:39:47.408046
Laboratory Section 03L,7085,9,10,No,10.0,2021-07-10 11:39:47.408053
Laboratory Section 04L,7086,6,10,No,40.0,2021-07-10 11:39:47.408060
Laboratory Section 05L,7087,5,10,No,50.0,2021-07-10 11:39:47.408067
Lecture Section 001,7089,123,150,No,18.0,2021-07-10 11:39:47.408076
Discussion Section 01D,7090,13,25,No,48.0,2021-07-10 11:39:47.408083
Discussion Section 02D,7091,19,25,No,24.0,2021-07-10 11:39:47.408091
Discussion Section 03D,7092,21,25,No,16.0,2021-07-10 11:39:47.408099
Discussion Section 04D,7093,24,25,No,4.0,2021-07-10 11:39:47.408107
Discussion Section 05D,7094,22,25,No,12.0,2021-07-10 11:39:47.408114
Discussion Section 06D,7095,24,25,No,4.0,2021-07-10 11:39:47.408121
Lecture Section 001,7107,26,40,No,35.0,2021-07-10 11:39:47.408129
Lecture Section 002,7108,15,40,No,62.5,2021-07-10 11:39:47.408136
Discussion Section 01D,7109,26,40,No,35.0,2021-07-10 11:39:47.408143
Discussion Section 02D,7110,15,40,No,62.5,2021-07-10 11:39:47.408150
Laboratory Section 01L,7103,8,16,No,50.0,2021-07-10 11:39:47.408158
Laboratory Section 02L,7104,2,16,No,87.5,2021-07-10 11:39:47.408165
Laboratory Section 03L,7105,8,16,No,50.0,2021-07-10 11:39:47.408173
Laboratory Section 04L,7106,12,16,No,25.0,2021-07-10 11:39:47.408180
Lecture Section 001,7111,45,50,No,10.0,2021-07-10 11:39:47.408188
Lecture Section 002,7112,42,50,No,16.0,2021-07-10 11:39:47.408195
Laboratory Section 01L,7113,8,10,No,20.0,2021-07-10 11:39:47.408202
Laboratory Section 02L,7114,10,10,No,0.0,2021-07-10 11:39:47.408209
Laboratory Section 03L,7115,9,10,No,10.0,2021-07-10 11:39:47.408217
Laboratory Section 04L,7116,10,10,No,0.0,2021-07-10 11:39:47.408223
Laboratory Section 05L,7117,9,10,No,10.0,2021-07-10 11:39:47.408231
Laboratory Section 06L,7118,9,10,No,10.0,2021-07-10 11:39:47.408238
Laboratory Section 07L,7119,5,10,No,50.0,2021-07-10 11:39:47.408245
Laboratory Section 08L,7120,8,10,No,20.0,2021-07-10 11:39:47.408252
Laboratory Section 09L,7121,10,10,No,0.0,2021-07-10 11:39:47.408259
Lecture Section 001,7129,9,12,No,25.0,2021-07-10 11:39:47.408266
Laboratory Section 01L,7130,9,12,No,25.0,2021-07-10 11:39:47.408274
Lecture Section 001,7049,15,20,No,25.0,2021-07-10 11:39:47.408282
Laboratory Section 01L,7050,6,8,No,25.0,2021-07-10 11:39:47.408289
Laboratory Section 02L,7051,5,8,No,37.5,2021-07-10 11:39:47.408296
Lecture Section 001,7484,3,12,No,75.0,2021-07-10 11:39:47.408304
Laboratory Section 01L,7485,3,12,No,75.0,2021-07-10 11:39:47.408311
Lecture Section 001,7037,24,60,No,60.0,2021-07-10 11:39:47.408319
Laboratory Section 01L,7038,2,10,No,80.0,2021-07-10 11:39:47.408327
Laboratory Section 02L,7039,7,10,No,30.0,2021-07-10 11:39:47.408334
Laboratory Section 03L,7040,0,10,No,100.0,2021-07-10 11:39:47.408342
Laboratory Section 04L,7041,0,10,No,100.0,2021-07-10 11:39:47.408350
Laboratory Section 05L,7042,6,10,No,40.0,2021-07-10 11:39:47.408357
Laboratory Section 06L,9720,9,10,No,10.0,2021-07-10 11:39:47.408364
Lecture Section 001,5194,98,150,No,34.66666666666667,2021-07-10 11:39:47.408371
Discussion Section 01D,5195,98,150,No,34.66666666666667,2021-07-10 11:39:47.408379
Lecture Section 01,5220,3,40,No,92.5,2021-07-10 11:39:47.408386
Lecture Section 001,7161,23,24,No,4.166666666666666,2021-07-10 11:39:47.408393
Discussion Section 01D,7162,23,24,No,4.166666666666666,2021-07-10 11:39:47.408401
Lecture Section 001,5490,22,60,No,63.33333333333333,2021-07-10 11:39:47.408408
Laboratory Section 01L,5491,2,15,No,86.66666666666667,2021-07-10 11:39:47.408415
Laboratory Section 02L,5492,11,15,No,26.666666666666668,2021-07-10 11:39:47.408422
Laboratory Section 03L,5493,1,15,No,93.33333333333333,2021-07-10 11:39:47.408429
Laboratory Section 04L,5494,8,15,No,46.666666666666664,2021-07-10 11:39:47.408436
IND Section 01,10626,1,1,No,0.0,2021-07-10 11:39:47.408444
Lecture Section 01,7160,11,24,No,54.166666666666664,2021-07-10 11:39:47.408452
Lecture Section 01,7080,0,16,No,100.0,2021-07-10 11:39:47.408460
Lecture Section 01,7142,13,45,No,71.11111111111111,2021-07-10 11:39:47.408467
Lecture Section 01,7150,16,60,No,73.33333333333333,2021-07-10 11:39:47.408475
IND Section 01,10610,0,1,No,100.0,2021-07-10 11:39:47.408481
Lecture Section 01,7052,19,20,No,5.0,2021-07-10 11:39:47.408489
Lecture Section 08,5482,0,20,No,100.0,2021-07-10 11:39:47.408496
Lecture Section 001,7081,34,40,No,15.0,2021-07-10 11:47:31.560934
Lecture Section 002,7082,38,40,No,5.0,2021-07-10 11:47:31.560956
Laboratory Section 01L,7122,9,10,No,10.0,2021-07-10 11:47:31.560965
Laboratory Section 02L,7123,7,10,No,30.0,2021-07-10 11:47:31.560974
Laboratory Section 03L,7124,10,10,No,0.0,2021-07-10 11:47:31.560982
Laboratory Section 04L,7125,9,10,No,10.0,2021-07-10 11:47:31.560990
Laboratory Section 05L,7126,9,10,No,10.0,2021-07-10 11:47:31.560998
Laboratory Section 06L,7127,9,10,No,10.0,2021-07-10 11:47:31.561006
Laboratory Section 07L,7128,10,10,No,0.0,2021-07-10 11:47:31.561014
Lecture Section 001,7088,48,70,No,31.428571428571427,2021-07-10 11:47:31.561021
Laboratory Section 01L,7083,2,10,No,80.0,2021-07-10 11:47:31.561052
Laboratory Section 02L,7084,6,10,No,40.0,2021-07-10 11:47:31.561061
Laboratory Section 03L,7085,9,10,No,10.0,2021-07-10 11:47:31.561069
Laboratory Section 04L,7086,6,10,No,40.0,2021-07-10 11:47:31.561076
Laboratory Section 05L,7087,5,10,No,50.0,2021-07-10 11:47:31.561083
Lecture Section 001,7089,123,150,No,18.0,2021-07-10 11:47:31.561091
Discussion Section 01D,7090,13,25,No,48.0,2021-07-10 11:47:31.561100
Discussion Section 02D,7091,19,25,No,24.0,2021-07-10 11:47:31.561107
Discussion Section 03D,7092,21,25,No,16.0,2021-07-10 11:47:31.561115
Discussion Section 04D,7093,24,25,No,4.0,2021-07-10 11:47:31.561122
Discussion Section 05D,7094,22,25,No,12.0,2021-07-10 11:47:31.561130
Discussion Section 06D,7095,24,25,No,4.0,2021-07-10 11:47:31.561138
Lecture Section 001,7107,26,40,No,35.0,2021-07-10 11:47:31.561146
Lecture Section 002,7108,15,40,No,62.5,2021-07-10 11:47:31.561170
Discussion Section 01D,7109,26,40,No,35.0,2021-07-10 11:47:31.561204
Discussion Section 02D,7110,15,40,No,62.5,2021-07-10 11:47:31.561218
Laboratory Section 01L,7103,8,16,No,50.0,2021-07-10 11:47:31.561230
Laboratory Section 02L,7104,2,16,No,87.5,2021-07-10 11:47:31.561242
Laboratory Section 03L,7105,8,16,No,50.0,2021-07-10 11:47:31.561255
Laboratory Section 04L,7106,12,16,No,25.0,2021-07-10 11:47:31.561267
Lecture Section 001,7111,45,50,No,10.0,2021-07-10 11:47:31.561280
Lecture Section 002,7112,42,50,No,16.0,2021-07-10 11:47:31.561293
Laboratory Section 01L,7113,8,10,No,20.0,2021-07-10 11:47:31.561305
Laboratory Section 02L,7114,10,10,No,0.0,2021-07-10 11:47:31.561318
Laboratory Section 03L,7115,9,10,No,10.0,2021-07-10 11:47:31.561332
Laboratory Section 04L,7116,10,10,No,0.0,2021-07-10 11:47:31.561358
Laboratory Section 05L,7117,9,10,No,10.0,2021-07-10 11:47:31.561369
Laboratory Section 06L,7118,9,10,No,10.0,2021-07-10 11:47:31.561376
Laboratory Section 07L,7119,5,10,No,50.0,2021-07-10 11:47:31.561384
Laboratory Section 08L,7120,8,10,No,20.0,2021-07-10 11:47:31.561392
Laboratory Section 09L,7121,10,10,No,0.0,2021-07-10 11:47:31.561399
Lecture Section 001,7129,9,12,No,25.0,2021-07-10 11:47:31.561406
Laboratory Section 01L,7130,9,12,No,25.0,2021-07-10 11:47:31.561413
Lecture Section 001,7049,15,20,No,25.0,2021-07-10 11:47:31.561421
Laboratory Section 01L,7050,6,8,No,25.0,2021-07-10 11:47:31.561428
Laboratory Section 02L,7051,5,8,No,37.5,2021-07-10 11:47:31.561436
Lecture Section 001,7484,3,12,No,75.0,2021-07-10 11:47:31.561443
Laboratory Section 01L,7485,3,12,No,75.0,2021-07-10 11:47:31.561450
