Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
Lecture Section 001,6113,341,350,No,2.571428571428571,2021-07-10 11:40:55.162846
Discussion Section 01D,6114,68,70,No,2.857142857142857,2021-07-10 11:40:55.162876
Discussion Section 02D,6115,70,70,No,0.0,2021-07-10 11:40:55.162891
Discussion Section 03D,6116,66,70,No,5.714285714285714,2021-07-10 11:40:55.162903
Discussion Section 04D,6117,68,70,No,2.857142857142857,2021-07-10 11:40:55.162916
Discussion Section 05D,6118,69,70,No,1.4285714285714286,2021-07-10 11:40:55.162929
Lecture Section 001,6130,135,150,No,10.0,2021-07-10 11:40:55.162942
Discussion Section 01D,6131,28,30,No,6.666666666666667,2021-07-10 11:40:55.162955
Discussion Section 02D,6132,26,30,No,13.333333333333334,2021-07-10 11:40:55.162968
Discussion Section 03D,6133,27,30,No,10.0,2021-07-10 11:40:55.162981
Discussion Section 04D,6134,26,30,No,13.333333333333334,2021-07-10 11:40:55.162994
Discussion Section 05D,6135,28,30,No,6.666666666666667,2021-07-10 11:40:55.163005
SEM Section 01,7296,0,18,No,100.0,2021-07-10 11:40:55.163019
Lecture Section 01,6448,128,150,No,14.666666666666666,2021-07-10 11:40:55.163032
Lecture Section 01,6009,117,150,No,22.0,2021-07-10 11:40:55.163044
SEM Section 01,6010,0,18,No,100.0,2021-07-10 11:40:55.163056
SEM Section 02,6011,0,18,No,100.0,2021-07-10 11:40:55.163069
Lecture Section 001,6036,229,250,No,8.4,2021-07-10 11:40:55.163081
Discussion Section 01D,6037,39,50,No,22.0,2021-07-10 11:40:55.163097
Discussion Section 02D,6038,49,50,No,2.0,2021-07-10 11:40:55.163132
Discussion Section 03D,6039,49,50,No,2.0,2021-07-10 11:40:55.163203
Discussion Section 04D,6040,46,50,No,8.0,2021-07-10 11:40:55.163218
Discussion Section 05D,6041,46,50,No,8.0,2021-07-10 11:40:55.163231
Lecture Section 001,6138,26,75,No,65.33333333333333,2021-07-10 11:40:55.163254
Discussion Section 01D,6139,0,37,No,100.0,2021-07-10 11:40:55.163268
Discussion Section 02D,6140,26,38,No,31.57894736842105,2021-07-10 11:40:55.163281
Lecture Section 001,6042,134,150,No,10.666666666666668,2021-07-10 11:40:55.163292
Discussion Section 01D,6043,27,30,No,10.0,2021-07-10 11:40:55.163304
Discussion Section 02D,6044,28,30,No,6.666666666666667,2021-07-10 11:40:55.163314
Discussion Section 03D,6045,29,30,No,3.3333333333333335,2021-07-10 11:40:55.163335
Discussion Section 04D,6046,28,30,No,6.666666666666667,2021-07-10 11:40:55.163346
Discussion Section 05D,6047,22,30,No,26.666666666666668,2021-07-10 11:40:55.163409
Lecture Section 001,6048,83,150,No,44.666666666666664,2021-07-10 11:40:55.163427
Discussion Section 01D,6049,0,30,No,100.0,2021-07-10 11:40:55.163453
Discussion Section 02D,6050,20,30,No,33.33333333333333,2021-07-10 11:40:55.163464
Discussion Section 03D,6051,16,30,No,46.666666666666664,2021-07-10 11:40:55.163475
Discussion Section 04D,6052,19,30,No,36.666666666666664,2021-07-10 11:40:55.163486
Discussion Section 05D,6053,28,30,No,6.666666666666667,2021-07-10 11:40:55.163525
Lecture Section 01,8068,10,25,No,60.0,2021-07-10 11:40:55.163539
SEM Section 01,8892,0,16,No,100.0,2021-07-10 11:40:55.163552
Lecture Section 01,10079,46,156,No,70.51282051282051,2021-07-10 11:40:55.163564
SEM Section 01,6123,0,15,No,100.0,2021-07-10 11:40:55.163576
Lecture Section 01,6126,233,240,No,2.9166666666666665,2021-07-10 11:40:55.163589
Lecture Section 01,4204,0,30,No,100.0,2021-07-10 11:40:55.163602
Lecture Section 01,7973,0,20,No,100.0,2021-07-10 11:40:55.163615
Lecture Section 01,8193,37,40,No,7.5,2021-07-10 11:40:55.163627
Lecture Section 01,6101,0,30,No,100.0,2021-07-10 11:40:55.163639
Lecture Section 01,6012,0,30,No,100.0,2021-07-10 11:40:55.163652
SEM Section 01,6128,0,18,No,100.0,2021-07-10 11:40:55.163664
Lecture Section 01,7966,0,50,No,100.0,2021-07-10 11:40:55.163686
Lecture Section 02,7967,0,42,No,100.0,2021-07-10 11:40:55.163701
Lecture Section 01,8676,10,25,No,60.0,2021-07-10 11:40:55.163729
Lecture Section 01,8942,0,35,No,100.0,2021-07-10 11:40:55.163756
Lecture Section 02,8943,1,35,No,97.14285714285714,2021-07-10 11:40:55.163775
Lecture Section 01,6033,9,40,No,77.5,2021-07-10 11:40:55.163790
SEM Section 01,6109,0,14,No,100.0,2021-07-10 11:40:55.163800
Lecture Section 01,6015,5,20,No,75.0,2021-07-10 11:40:55.163810
Lecture Section 01,6478,46,50,No,8.0,2021-07-10 11:40:55.163820
Lecture Section 01,6108,17,18,No,5.555555555555555,2021-07-10 11:40:55.163849
Lecture Section 01,6092,80,125,No,36.0,2021-07-10 11:40:55.163868
Lecture Section 01,6017,0,25,No,100.0,2021-07-10 11:40:55.163880
Lecture Section 01,6104,0,30,No,100.0,2021-07-10 11:40:55.163888
SEM Section 01,6121,0,15,No,100.0,2021-07-10 11:40:55.163896
Lecture Section 01,6141,0,30,No,100.0,2021-07-10 11:40:55.163910
Lecture Section 01,8915,0,30,No,100.0,2021-07-10 11:40:55.163964
Lecture Section 01,6408,5,18,No,72.22222222222221,2021-07-10 11:40:55.163980
IND Section 01,6020,1,1,No,0.0,2021-07-10 11:40:55.163990
IND Section 01,6022,0,1,No,100.0,2021-07-10 11:40:55.163998
IND Section 02,10459,1,1,No,0.0,2021-07-10 11:40:55.164005
IND Section 01,6019,1,1,No,0.0,2021-07-10 11:40:55.164012
IND Section 02,10460,1,1,No,0.0,2021-07-10 11:40:55.164019
IND Section 03,10461,1,1,No,0.0,2021-07-10 11:40:55.164026
IND Section 04,10462,1,1,No,0.0,2021-07-10 11:40:55.164033
IND Section 01,6021,0,1,No,100.0,2021-07-10 11:40:55.164040
IND Section 02,10463,1,1,No,0.0,2021-07-10 11:40:55.164047
IND Section 03,10464,1,1,No,0.0,2021-07-10 11:40:55.164054
IND Section 04,10465,1,1,No,0.0,2021-07-10 11:40:55.164061
IND Section 05,10466,1,1,No,0.0,2021-07-10 11:40:55.164068
Lecture Section 001,6143,0,14,No,100.0,2021-07-10 11:40:55.164076
Discussion Section 01D,6144,0,14,No,100.0,2021-07-10 11:40:55.164084
Lecture Section 01,8013,0,20,No,100.0,2021-07-10 11:40:55.164091
Lecture Section 01,6007,11,15,No,26.666666666666668,2021-07-10 11:40:55.164099
Lecture Section 01,6018,4,20,No,80.0,2021-07-10 11:40:55.164107
Lecture Section 01,6014,0,15,No,100.0,2021-07-10 11:40:55.164114
IND Section 01,6066,1,1,No,0.0,2021-07-10 11:40:55.164121
IND Section 02,10467,1,1,No,0.0,2021-07-10 11:40:55.164128
IND Section 03,10468,1,1,No,0.0,2021-07-10 11:40:55.164135
IND Section 04,10469,1,1,No,0.0,2021-07-10 11:40:55.164142
IND Section 05,10470,1,1,No,0.0,2021-07-10 11:40:55.164149
IND Section 01,6127,0,1,No,100.0,2021-07-10 11:40:55.164157
IND Section 02,10471,1,1,No,0.0,2021-07-10 11:40:55.164164
IND Section 03,10472,1,1,No,0.0,2021-07-10 11:40:55.164171
SEM Section 01,6024,0,12,No,100.0,2021-07-10 11:40:55.164178
SEM Section 02,6025,10,12,No,16.666666666666664,2021-07-10 11:40:55.164186
SEM Section 03,6026,9,12,No,25.0,2021-07-10 11:40:55.164194
Lecture Section 001,6113,341,350,No,2.571428571428571,2021-07-10 11:48:42.343793
Discussion Section 01D,6114,68,70,No,2.857142857142857,2021-07-10 11:48:42.343813
Discussion Section 02D,6115,70,70,No,0.0,2021-07-10 11:48:42.343822
Discussion Section 03D,6116,66,70,No,5.714285714285714,2021-07-10 11:48:42.343830
Discussion Section 04D,6117,68,70,No,2.857142857142857,2021-07-10 11:48:42.343838
Discussion Section 05D,6118,69,70,No,1.4285714285714286,2021-07-10 11:48:42.343846
Lecture Section 001,6130,135,150,No,10.0,2021-07-10 11:48:42.343854
Discussion Section 01D,6131,28,30,No,6.666666666666667,2021-07-10 11:48:42.343862
Discussion Section 02D,6132,26,30,No,13.333333333333334,2021-07-10 11:48:42.343869
Discussion Section 03D,6133,27,30,No,10.0,2021-07-10 11:48:42.343877
Discussion Section 04D,6134,26,30,No,13.333333333333334,2021-07-10 11:48:42.343885
Discussion Section 05D,6135,28,30,No,6.666666666666667,2021-07-10 11:48:42.343892
SEM Section 01,7296,0,18,No,100.0,2021-07-10 11:48:42.343902
Lecture Section 01,6448,128,150,No,14.666666666666666,2021-07-10 11:48:42.343910
Lecture Section 01,6009,117,150,No,22.0,2021-07-10 11:48:42.343917
