Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
Lecture Section 03,10348,167,185,No,9.72972972972973,2021-07-10 11:40:16.707985
Lecture Section 01,9688,170,190,No,10.526315789473683,2021-07-10 11:40:16.708070
Lecture Section 01,9691,32,49,No,34.69387755102041,2021-07-10 11:40:16.708087
Lecture Section 01,9693,22,30,No,26.666666666666668,2021-07-10 11:40:16.708101
SEM Section 01,9696,0,15,No,100.0,2021-07-10 11:40:16.708116
Lecture Section 01,9699,161,175,No,8.0,2021-07-10 11:40:16.708130
Laboratory Section 01,9517,6,12,No,50.0,2021-07-10 11:40:16.708146
Laboratory Section 01,9522,6,10,No,40.0,2021-07-10 11:40:16.708161
IND Section 01,10349,1,1,No,0.0,2021-07-10 11:40:16.708177
IND Section 02,10350,1,1,No,0.0,2021-07-10 11:40:16.708291
IND Section 03,10351,1,1,No,0.0,2021-07-10 11:40:16.708337
IND Section 04,10352,1,1,No,0.0,2021-07-10 11:40:16.708362
IND Section 05,10353,1,1,No,0.0,2021-07-10 11:40:16.708376
IND Section 01,10354,1,1,No,0.0,2021-07-10 11:40:16.708387
IND Section 02,10355,1,1,No,0.0,2021-07-10 11:40:16.708400
IND Section 03,10356,1,1,No,0.0,2021-07-10 11:40:16.708412
IND Section 04,10357,1,1,No,0.0,2021-07-10 11:40:16.708424
IND Section 05,10358,1,1,No,0.0,2021-07-10 11:40:16.708437
IND Section 01,10359,1,1,No,0.0,2021-07-10 11:40:16.708451
IND Section 02,10360,1,1,No,0.0,2021-07-10 11:40:16.708464
IND Section 03,10361,1,1,No,0.0,2021-07-10 11:40:16.708478
IND Section 04,10362,1,1,No,0.0,2021-07-10 11:40:16.708493
Lecture Section 03,10348,167,185,No,9.72972972972973,2021-07-10 11:48:00.615014
Lecture Section 01,9688,170,190,No,10.526315789473683,2021-07-10 11:48:00.615034
Lecture Section 01,9691,32,49,No,34.69387755102041,2021-07-10 11:48:00.615043
Lecture Section 01,9693,22,30,No,26.666666666666668,2021-07-10 11:48:00.615051
SEM Section 01,9696,0,15,No,100.0,2021-07-10 11:48:00.615059
Lecture Section 01,9699,161,175,No,8.0,2021-07-10 11:48:00.615067
Laboratory Section 01,9517,6,12,No,50.0,2021-07-10 11:48:00.615077
Laboratory Section 01,9522,6,10,No,40.0,2021-07-10 11:48:00.615086
IND Section 01,10349,1,1,No,0.0,2021-07-10 11:48:00.615094
IND Section 02,10350,1,1,No,0.0,2021-07-10 11:48:00.615101
IND Section 03,10351,1,1,No,0.0,2021-07-10 11:48:00.615109
IND Section 04,10352,1,1,No,0.0,2021-07-10 11:48:00.615116
IND Section 05,10353,1,1,No,0.0,2021-07-10 11:48:00.615123
IND Section 01,10354,1,1,No,0.0,2021-07-10 11:48:00.615130
IND Section 02,10355,1,1,No,0.0,2021-07-10 11:48:00.615138
IND Section 03,10356,1,1,No,0.0,2021-07-10 11:48:00.615145
IND Section 04,10357,1,1,No,0.0,2021-07-10 11:48:00.615152
IND Section 05,10358,1,1,No,0.0,2021-07-10 11:48:00.615159
IND Section 01,10359,1,1,No,0.0,2021-07-10 11:48:00.615167
IND Section 02,10360,1,1,No,0.0,2021-07-10 11:48:00.615174
IND Section 03,10361,1,1,No,0.0,2021-07-10 11:48:00.615181
IND Section 04,10362,1,1,No,0.0,2021-07-10 11:48:00.615188
Lecture Section 03,10348,167,185,No,9.72972972972973,2021-07-10 11:56:24.804400
Lecture Section 01,9688,170,190,No,10.526315789473683,2021-07-10 11:56:24.804426
Lecture Section 01,9691,32,49,No,34.69387755102041,2021-07-10 11:56:24.804436
Lecture Section 01,9693,22,30,No,26.666666666666668,2021-07-10 11:56:24.804445
SEM Section 01,9696,0,15,No,100.0,2021-07-10 11:56:24.804455
Lecture Section 01,9699,161,175,No,8.0,2021-07-10 11:56:24.804465
Laboratory Section 01,9517,6,12,No,50.0,2021-07-10 11:56:24.804475
Laboratory Section 01,9522,6,10,No,40.0,2021-07-10 11:56:24.804486
IND Section 01,10349,1,1,No,0.0,2021-07-10 11:56:24.804495
IND Section 02,10350,1,1,No,0.0,2021-07-10 11:56:24.804504
IND Section 03,10351,1,1,No,0.0,2021-07-10 11:56:24.804514
IND Section 04,10352,1,1,No,0.0,2021-07-10 11:56:24.804522
IND Section 05,10353,1,1,No,0.0,2021-07-10 11:56:24.804531
IND Section 01,10354,1,1,No,0.0,2021-07-10 11:56:24.804539
IND Section 02,10355,1,1,No,0.0,2021-07-10 11:56:24.804546
IND Section 03,10356,1,1,No,0.0,2021-07-10 11:56:24.804554
IND Section 04,10357,1,1,No,0.0,2021-07-10 11:56:24.804563
IND Section 05,10358,1,1,No,0.0,2021-07-10 11:56:24.804577
IND Section 01,10359,1,1,No,0.0,2021-07-10 11:56:24.804585
IND Section 02,10360,1,1,No,0.0,2021-07-10 11:56:24.804593
IND Section 03,10361,1,1,No,0.0,2021-07-10 11:56:24.804601
IND Section 04,10362,1,1,No,0.0,2021-07-10 11:56:24.804609
