Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
SEM Section 01,6916,18,18,No,0.0,2021-07-10 11:39:13.666860
SEM Section 02,8704,15,15,No,0.0,2021-07-10 11:39:13.666888
Lecture Section 01,6917,28,30,No,6.666666666666667,2021-07-10 11:39:13.666897
Lecture Section 02,6918,26,30,No,13.333333333333334,2021-07-10 11:39:13.666906
SEM Section 01,6942,1,18,No,94.44444444444444,2021-07-10 11:39:13.666916
SEM Section 01,6952,0,18,No,100.0,2021-07-10 11:39:13.666924
SEM Section 01,10528,10,18,No,44.44444444444444,2021-07-10 11:39:13.666932
Lecture Section 01,7313,19,30,No,36.666666666666664,2021-07-10 11:39:13.666940
SEM Section 01,6685,1,18,No,94.44444444444444,2021-07-10 11:39:13.666948
SEM Section 01,6664,10,15,No,33.33333333333333,2021-07-10 11:39:13.666956
Lecture Section 01,6920,0,30,No,100.0,2021-07-10 11:39:13.666965
Lecture Section 02,6921,14,30,No,53.333333333333336,2021-07-10 11:39:13.666972
SEM Section 01,6928,4,18,No,77.77777777777779,2021-07-10 11:39:13.666980
SEM Section 01,6640,7,15,No,53.333333333333336,2021-07-10 11:39:13.666987
SEM Section 01,4672,15,15,No,0.0,2021-07-10 11:39:13.666995
SEM Section 01,6950,12,18,No,33.33333333333333,2021-07-10 11:39:13.667002
SEM Section 01,6946,13,18,No,27.77777777777778,2021-07-10 11:39:13.667009
SEM Section 01,6948,10,12,No,16.666666666666664,2021-07-10 11:39:13.667016
TUT Section 01,6930,18,18,No,0.0,2021-07-10 11:39:13.667024
TUT Section 02,6931,10,10,No,0.0,2021-07-10 11:39:13.667032
TUT Section 03,6932,10,10,No,0.0,2021-07-10 11:39:13.667040
TUT Section 04,6933,10,10,No,0.0,2021-07-10 11:39:13.667048
TUT Section 05,6934,10,10,No,0.0,2021-07-10 11:39:13.667055
SEM Section 01,6944,14,18,No,22.22222222222222,2021-07-10 11:39:13.667062
TUT Section 01,1976,10,10,No,0.0,2021-07-10 11:39:13.667070
TUT Section 02,1977,10,10,No,0.0,2021-07-10 11:39:13.667077
TUT Section 03,1978,10,10,No,0.0,2021-07-10 11:39:13.667085
TUT Section 04,1979,10,10,No,0.0,2021-07-10 11:39:13.667093
TUT Section 05,1980,10,10,No,0.0,2021-07-10 11:39:13.667100
IND Section 01,1968,3,3,No,0.0,2021-07-10 11:39:13.667108
IND Section 02,1969,3,3,No,0.0,2021-07-10 11:39:13.667116
IND Section 03,1970,3,3,No,0.0,2021-07-10 11:39:13.667123
IND Section 04,1971,3,3,No,0.0,2021-07-10 11:39:13.667130
IND Section 05,1972,3,3,No,0.0,2021-07-10 11:39:13.667138
IND Section 06,1973,3,3,No,0.0,2021-07-10 11:39:13.667145
IND Section 07,1974,3,3,No,0.0,2021-07-10 11:39:13.667153
IND Section 08,1975,3,3,No,0.0,2021-07-10 11:39:13.667160
IND Section 01,1759,3,3,No,0.0,2021-07-10 11:39:13.667167
IND Section 02,1760,3,3,No,0.0,2021-07-10 11:39:13.667174
IND Section 03,1761,3,3,No,0.0,2021-07-10 11:39:13.667182
IND Section 04,1762,2,3,No,33.33333333333333,2021-07-10 11:39:13.667189
IND Section 05,1763,3,3,No,0.0,2021-07-10 11:39:13.667196
IND Section 06,1764,3,3,No,0.0,2021-07-10 11:39:13.667203
IND Section 07,1765,3,3,No,0.0,2021-07-10 11:39:13.667210
IND Section 08,1766,3,3,No,0.0,2021-07-10 11:39:13.667218
SEM Section 01,6935,18,18,No,0.0,2021-07-10 11:39:13.667225
SEM Section 01,6919,14,18,No,22.22222222222222,2021-07-10 11:39:13.667233
PRA Section 01,9644,18,18,No,0.0,2021-07-10 11:39:13.667240
SEM Section 01,6924,9,18,No,50.0,2021-07-10 11:39:13.667247
Lecture Section 01,6939,18,18,No,0.0,2021-07-10 11:39:13.667255
PRA Section 01,9645,18,18,No,0.0,2021-07-10 11:39:13.667262
SEM Section 01,6916,18,18,No,0.0,2021-07-10 11:46:59.566234
SEM Section 02,8704,15,15,No,0.0,2021-07-10 11:46:59.566260
Lecture Section 01,6917,28,30,No,6.666666666666667,2021-07-10 11:46:59.566269
Lecture Section 02,6918,26,30,No,13.333333333333334,2021-07-10 11:46:59.566278
SEM Section 01,6942,1,18,No,94.44444444444444,2021-07-10 11:46:59.566287
SEM Section 01,6952,0,18,No,100.0,2021-07-10 11:46:59.566296
SEM Section 01,10528,10,18,No,44.44444444444444,2021-07-10 11:46:59.566304
Lecture Section 01,7313,19,30,No,36.666666666666664,2021-07-10 11:46:59.566313
SEM Section 01,6685,1,18,No,94.44444444444444,2021-07-10 11:46:59.566321
SEM Section 01,6664,10,15,No,33.33333333333333,2021-07-10 11:46:59.566329
Lecture Section 01,6920,0,30,No,100.0,2021-07-10 11:46:59.566338
Lecture Section 02,6921,14,30,No,53.333333333333336,2021-07-10 11:46:59.566346
SEM Section 01,6928,4,18,No,77.77777777777779,2021-07-10 11:46:59.566354
SEM Section 01,6640,7,15,No,53.333333333333336,2021-07-10 11:46:59.566362
SEM Section 01,4672,15,15,No,0.0,2021-07-10 11:46:59.566370
SEM Section 01,6950,12,18,No,33.33333333333333,2021-07-10 11:46:59.566378
SEM Section 01,6946,13,18,No,27.77777777777778,2021-07-10 11:46:59.566386
SEM Section 01,6948,10,12,No,16.666666666666664,2021-07-10 11:46:59.566394
TUT Section 01,6930,18,18,No,0.0,2021-07-10 11:46:59.566402
TUT Section 02,6931,10,10,No,0.0,2021-07-10 11:46:59.566410
TUT Section 03,6932,10,10,No,0.0,2021-07-10 11:46:59.566418
TUT Section 04,6933,10,10,No,0.0,2021-07-10 11:46:59.566426
TUT Section 05,6934,10,10,No,0.0,2021-07-10 11:46:59.566434
SEM Section 01,6944,14,18,No,22.22222222222222,2021-07-10 11:46:59.566442
TUT Section 01,1976,10,10,No,0.0,2021-07-10 11:46:59.566450
TUT Section 02,1977,10,10,No,0.0,2021-07-10 11:46:59.566458
TUT Section 03,1978,10,10,No,0.0,2021-07-10 11:46:59.566465
TUT Section 04,1979,10,10,No,0.0,2021-07-10 11:46:59.566473
TUT Section 05,1980,10,10,No,0.0,2021-07-10 11:46:59.566480
IND Section 01,1968,3,3,No,0.0,2021-07-10 11:46:59.566488
IND Section 02,1969,3,3,No,0.0,2021-07-10 11:46:59.566496
IND Section 03,1970,3,3,No,0.0,2021-07-10 11:46:59.566504
IND Section 04,1971,3,3,No,0.0,2021-07-10 11:46:59.566512
IND Section 05,1972,3,3,No,0.0,2021-07-10 11:46:59.566519
IND Section 06,1973,3,3,No,0.0,2021-07-10 11:46:59.566527
IND Section 07,1974,3,3,No,0.0,2021-07-10 11:46:59.566534
IND Section 08,1975,3,3,No,0.0,2021-07-10 11:46:59.566542
IND Section 01,1759,3,3,No,0.0,2021-07-10 11:46:59.566549
IND Section 02,1760,3,3,No,0.0,2021-07-10 11:46:59.566557
IND Section 03,1761,3,3,No,0.0,2021-07-10 11:46:59.566565
IND Section 04,1762,2,3,No,33.33333333333333,2021-07-10 11:46:59.566573
IND Section 05,1763,3,3,No,0.0,2021-07-10 11:46:59.566581
IND Section 06,1764,3,3,No,0.0,2021-07-10 11:46:59.566589
IND Section 07,1765,3,3,No,0.0,2021-07-10 11:46:59.566596
IND Section 08,1766,3,3,No,0.0,2021-07-10 11:46:59.566604
SEM Section 01,6935,18,18,No,0.0,2021-07-10 11:46:59.566612
SEM Section 01,6919,14,18,No,22.22222222222222,2021-07-10 11:46:59.566620
PRA Section 01,9644,18,18,No,0.0,2021-07-10 11:46:59.566628
SEM Section 01,6924,9,18,No,50.0,2021-07-10 11:46:59.566636
Lecture Section 01,6939,18,18,No,0.0,2021-07-10 11:46:59.566644
PRA Section 01,9645,18,18,No,0.0,2021-07-10 11:46:59.566660
SEM Section 01,6916,18,18,No,0.0,2021-07-10 11:55:22.486779
SEM Section 02,8704,15,15,No,0.0,2021-07-10 11:55:22.486808
Lecture Section 01,6917,28,30,No,6.666666666666667,2021-07-10 11:55:22.486818
Lecture Section 02,6918,26,30,No,13.333333333333334,2021-07-10 11:55:22.486827
SEM Section 01,6942,1,18,No,94.44444444444444,2021-07-10 11:55:22.486835
SEM Section 01,6952,0,18,No,100.0,2021-07-10 11:55:22.486845
SEM Section 01,10528,10,18,No,44.44444444444444,2021-07-10 11:55:22.486853
Lecture Section 01,7313,19,30,No,36.666666666666664,2021-07-10 11:55:22.486860
SEM Section 01,6685,1,18,No,94.44444444444444,2021-07-10 11:55:22.486869
SEM Section 01,6664,10,15,No,33.33333333333333,2021-07-10 11:55:22.486876
Lecture Section 01,6920,0,30,No,100.0,2021-07-10 11:55:22.486886
Lecture Section 02,6921,14,30,No,53.333333333333336,2021-07-10 11:55:22.486894
SEM Section 01,6928,4,18,No,77.77777777777779,2021-07-10 11:55:22.486906
SEM Section 01,6640,7,15,No,53.333333333333336,2021-07-10 11:55:22.486914
SEM Section 01,4672,15,15,No,0.0,2021-07-10 11:55:22.486923
SEM Section 01,6950,12,18,No,33.33333333333333,2021-07-10 11:55:22.486930
SEM Section 01,6946,13,18,No,27.77777777777778,2021-07-10 11:55:22.486938
SEM Section 01,6948,10,12,No,16.666666666666664,2021-07-10 11:55:22.486946
TUT Section 01,6930,18,18,No,0.0,2021-07-10 11:55:22.486954
TUT Section 02,6931,10,10,No,0.0,2021-07-10 11:55:22.486962
TUT Section 03,6932,10,10,No,0.0,2021-07-10 11:55:22.486969
TUT Section 04,6933,10,10,No,0.0,2021-07-10 11:55:22.486977
TUT Section 05,6934,10,10,No,0.0,2021-07-10 11:55:22.486985
SEM Section 01,6944,14,18,No,22.22222222222222,2021-07-10 11:55:22.486993
TUT Section 01,1976,10,10,No,0.0,2021-07-10 11:55:22.487001
TUT Section 02,1977,10,10,No,0.0,2021-07-10 11:55:22.487008
