Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
IND Section 01,5981,18,18,No,0.0,2021-07-10 11:39:41.502986
TUT Section 01,2367,16,18,No,11.11111111111111,2021-07-10 11:39:41.503015
TUT Section 02,2368,18,18,No,0.0,2021-07-10 11:39:41.503029
TUT Section 03,5991,18,18,No,0.0,2021-07-10 11:39:41.503041
TUT Section 04,5992,18,18,No,0.0,2021-07-10 11:39:41.503052
TUT Section 05,5993,18,18,No,0.0,2021-07-10 11:39:41.503063
TUT Section 06,5994,18,18,No,0.0,2021-07-10 11:39:41.503076
TUT Section 07,5995,15,15,No,0.0,2021-07-10 11:39:41.503089
TUT Section 08,5996,17,18,No,5.555555555555555,2021-07-10 11:39:41.503101
TUT Section 09,5997,18,18,No,0.0,2021-07-10 11:39:41.503143
TUT Section 10,5998,17,18,No,5.555555555555555,2021-07-10 11:39:41.503164
IND Section 01,5981,18,18,No,0.0,2021-07-10 11:47:27.661776
TUT Section 01,2367,16,18,No,11.11111111111111,2021-07-10 11:47:27.661796
TUT Section 02,2368,18,18,No,0.0,2021-07-10 11:47:27.661805
TUT Section 03,5991,18,18,No,0.0,2021-07-10 11:47:27.661813
TUT Section 04,5992,18,18,No,0.0,2021-07-10 11:47:27.661820
TUT Section 05,5993,18,18,No,0.0,2021-07-10 11:47:27.661828
TUT Section 06,5994,18,18,No,0.0,2021-07-10 11:47:27.661836
TUT Section 07,5995,15,15,No,0.0,2021-07-10 11:47:27.661844
TUT Section 08,5996,17,18,No,5.555555555555555,2021-07-10 11:47:27.661852
TUT Section 09,5997,18,18,No,0.0,2021-07-10 11:47:27.661859
TUT Section 10,5998,17,18,No,5.555555555555555,2021-07-10 11:47:27.661868
IND Section 01,5981,18,18,No,0.0,2021-07-10 11:55:50.591382
TUT Section 01,2367,16,18,No,11.11111111111111,2021-07-10 11:55:50.591405
TUT Section 02,2368,18,18,No,0.0,2021-07-10 11:55:50.591414
TUT Section 03,5991,18,18,No,0.0,2021-07-10 11:55:50.591423
TUT Section 04,5992,18,18,No,0.0,2021-07-10 11:55:50.591430
TUT Section 05,5993,18,18,No,0.0,2021-07-10 11:55:50.591438
TUT Section 06,5994,18,18,No,0.0,2021-07-10 11:55:50.591446
TUT Section 07,5995,15,15,No,0.0,2021-07-10 11:55:50.591454
TUT Section 08,5996,17,18,No,5.555555555555555,2021-07-10 11:55:50.591462
TUT Section 09,5997,18,18,No,0.0,2021-07-10 11:55:50.591470
TUT Section 10,5998,17,18,No,5.555555555555555,2021-07-10 11:55:50.591478
