Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
SEM Section 01,5381,0,18,No,100.0,2021-07-10 11:40:09.628816
SEM Section 02,5382,0,18,No,100.0,2021-07-10 11:40:09.628838
Lecture Section 01,7740,161,175,No,8.0,2021-07-10 11:40:09.628866
IND Section 01,5374,15,15,No,0.0,2021-07-10 11:40:09.628875
IND Section 02,5375,14,15,No,6.666666666666667,2021-07-10 11:40:09.628882
IND Section 04,5377,15,15,No,0.0,2021-07-10 11:40:09.628889
IND Section 01,5378,19,32,No,40.625,2021-07-10 11:40:09.628897
TUT Section 01,5383,11,15,No,26.666666666666668,2021-07-10 11:40:09.628905
TUT Section 02,5384,15,15,No,0.0,2021-07-10 11:40:09.628913
TUT Section 03,5385,15,15,No,0.0,2021-07-10 11:40:09.628920
TUT Section 04,5386,14,15,No,6.666666666666667,2021-07-10 11:40:09.628928
TUT Section 05,5387,11,12,No,8.333333333333332,2021-07-10 11:40:09.628935
TUT Section 06,5388,15,15,No,0.0,2021-07-10 11:40:09.628943
TUT Section 07,5389,15,15,No,0.0,2021-07-10 11:40:09.628950
TUT Section 08,5390,15,15,No,0.0,2021-07-10 11:40:09.628957
TUT Section 09,5391,15,15,No,0.0,2021-07-10 11:40:09.628964
TUT Section 10,10080,10,10,No,0.0,2021-07-10 11:40:09.628971
SEM Section 01,5381,0,18,No,100.0,2021-07-10 11:47:55.601533
SEM Section 02,5382,0,18,No,100.0,2021-07-10 11:47:55.601552
Lecture Section 01,7740,161,175,No,8.0,2021-07-10 11:47:55.601561
IND Section 01,5374,15,15,No,0.0,2021-07-10 11:47:55.601570
IND Section 02,5375,14,15,No,6.666666666666667,2021-07-10 11:47:55.601577
IND Section 04,5377,15,15,No,0.0,2021-07-10 11:47:55.601585
IND Section 01,5378,19,32,No,40.625,2021-07-10 11:47:55.601593
TUT Section 01,5383,11,15,No,26.666666666666668,2021-07-10 11:47:55.601600
TUT Section 02,5384,15,15,No,0.0,2021-07-10 11:47:55.601608
TUT Section 03,5385,15,15,No,0.0,2021-07-10 11:47:55.601615
TUT Section 04,5386,14,15,No,6.666666666666667,2021-07-10 11:47:55.601623
TUT Section 05,5387,11,12,No,8.333333333333332,2021-07-10 11:47:55.601631
TUT Section 06,5388,15,15,No,0.0,2021-07-10 11:47:55.601639
TUT Section 07,5389,15,15,No,0.0,2021-07-10 11:47:55.601646
TUT Section 08,5390,15,15,No,0.0,2021-07-10 11:47:55.601653
TUT Section 09,5391,15,15,No,0.0,2021-07-10 11:47:55.601660
TUT Section 10,10080,10,10,No,0.0,2021-07-10 11:47:55.601668
SEM Section 01,5381,0,18,No,100.0,2021-07-10 11:56:18.466382
SEM Section 02,5382,0,18,No,100.0,2021-07-10 11:56:18.466401
Lecture Section 01,7740,161,175,No,8.0,2021-07-10 11:56:18.466410
IND Section 01,5374,15,15,No,0.0,2021-07-10 11:56:18.466418
IND Section 02,5375,14,15,No,6.666666666666667,2021-07-10 11:56:18.466426
IND Section 04,5377,15,15,No,0.0,2021-07-10 11:56:18.466433
IND Section 01,5378,19,32,No,40.625,2021-07-10 11:56:18.466441
TUT Section 01,5383,11,15,No,26.666666666666668,2021-07-10 11:56:18.466448
TUT Section 02,5384,15,15,No,0.0,2021-07-10 11:56:18.466455
TUT Section 03,5385,15,15,No,0.0,2021-07-10 11:56:18.466462
TUT Section 04,5386,14,15,No,6.666666666666667,2021-07-10 11:56:18.466470
TUT Section 05,5387,11,12,No,8.333333333333332,2021-07-10 11:56:18.466477
TUT Section 06,5388,15,15,No,0.0,2021-07-10 11:56:18.466486
TUT Section 07,5389,15,15,No,0.0,2021-07-10 11:56:18.466493
TUT Section 08,5390,15,15,No,0.0,2021-07-10 11:56:18.466500
TUT Section 09,5391,15,15,No,0.0,2021-07-10 11:56:18.466508
TUT Section 10,10080,10,10,No,0.0,2021-07-10 11:56:18.466515
