Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
SEM Section 01,7691,18,18,No,0.0,2021-07-10 11:42:36.701518
Lecture Section 01,7728,95,100,No,5.0,2021-07-10 11:42:36.701540
SEM Section 01,7791,0,18,No,100.0,2021-07-10 11:42:36.701549
Lecture Section 01,5871,30,50,No,40.0,2021-07-10 11:42:36.701558
SEM Section 01,5977,14,18,No,22.22222222222222,2021-07-10 11:42:36.701566
SEM Section 01,7283,0,18,No,100.0,2021-07-10 11:42:36.701574
Lecture Section 01,7692,80,90,No,11.11111111111111,2021-07-10 11:42:36.701582
Lecture Section 001,7741,29,40,No,27.500000000000004,2021-07-10 11:42:36.701589
Discussion Section 01D,7742,15,20,No,25.0,2021-07-10 11:42:36.701597
Discussion Section 02D,7743,14,20,No,30.0,2021-07-10 11:42:36.701604
Lecture Section 01,9694,22,30,No,26.666666666666668,2021-07-10 11:42:36.701612
SEM Section 01,9697,0,15,No,100.0,2021-07-10 11:42:36.701620
SEM Section 01,9607,12,12,No,0.0,2021-07-10 11:42:36.701627
Lecture Section 01,7738,161,175,No,8.0,2021-07-10 11:42:36.701635
Lecture Section 01,7796,2,25,No,92.0,2021-07-10 11:42:36.701643
Laboratory Section 01,9515,6,12,No,50.0,2021-07-10 11:42:36.701653
Lecture Section 01,5946,2,24,No,91.66666666666666,2021-07-10 11:42:36.701660
Lecture Section 01,7974,0,20,No,100.0,2021-07-10 11:42:36.701667
Lecture Section 01,9536,1,4,No,75.0,2021-07-10 11:42:36.701676
Lecture Section 01,9539,6,10,No,40.0,2021-07-10 11:42:36.701683
SEM Section 01,6896,15,18,No,16.666666666666664,2021-07-10 11:42:36.701691
Lecture Section 01,9559,13,15,No,13.333333333333334,2021-07-10 11:42:36.701699
SEM Section 01,7770,0,18,No,100.0,2021-07-10 11:42:36.701706
Lecture Section 01,9555,15,15,No,0.0,2021-07-10 11:42:36.701714
SEM Section 001,5927,0,12,No,100.0,2021-07-10 11:42:36.701722
Laboratory Section 01L,5928,0,12,No,100.0,2021-07-10 11:42:36.701730
Lecture Section 01,8677,10,25,No,60.0,2021-07-10 11:42:36.701737
Laboratory Section 01,9534,6,8,No,25.0,2021-07-10 11:42:36.701746
Laboratory Section 02,10481,1,2,No,50.0,2021-07-10 11:42:36.701754
Lecture Section 01,9512,5,15,No,66.66666666666666,2021-07-10 11:42:36.701762
Laboratory Section 01,9520,6,10,No,40.0,2021-07-10 11:42:36.701771
