Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
Lecture Section 03,10347,167,185,No,9.72972972972973,2021-07-10 11:43:07.636702
Lecture Section 01,9690,170,190,No,10.526315789473683,2021-07-10 11:43:07.636723
Lecture Section 01,9692,32,49,No,34.69387755102041,2021-07-10 11:43:07.636731
Lecture Section 01,9695,22,30,No,26.666666666666668,2021-07-10 11:43:07.636739
SEM Section 01,9698,0,15,No,100.0,2021-07-10 11:43:07.636748
Lecture Section 01,7739,161,175,No,8.0,2021-07-10 11:43:07.636757
Laboratory Section 01,9516,6,12,No,50.0,2021-07-10 11:43:07.636766
Laboratory Section 01,9521,6,10,No,40.0,2021-07-10 11:43:07.636774
IND Section 01,2886,1,1,No,0.0,2021-07-10 11:43:07.636782
IND Section 02,2887,1,1,No,0.0,2021-07-10 11:43:07.636789
IND Section 03,2888,1,1,No,0.0,2021-07-10 11:43:07.636797
IND Section 04,2889,1,1,No,0.0,2021-07-10 11:43:07.636804
IND Section 05,2890,3,3,No,0.0,2021-07-10 11:43:07.636811
IND Section 06,2891,5,5,No,0.0,2021-07-10 11:43:07.636818
IND Section 07,2892,5,5,No,0.0,2021-07-10 11:43:07.636825
IND Section 08,2893,5,5,No,0.0,2021-07-10 11:43:07.636832
IND Section 01,2869,4,4,No,0.0,2021-07-10 11:43:07.636839
IND Section 02,2870,4,4,No,0.0,2021-07-10 11:43:07.636846
IND Section 03,2871,4,4,No,0.0,2021-07-10 11:43:07.636854
IND Section 04,2872,5,5,No,0.0,2021-07-10 11:43:07.636860
IND Section 05,2873,10,10,No,0.0,2021-07-10 11:43:07.636868
IND Section 06,2874,1,1,No,0.0,2021-07-10 11:43:07.636874
IND Section 08,2875,10,10,No,0.0,2021-07-10 11:43:07.636882
IND Section 09,2876,10,10,No,0.0,2021-07-10 11:43:07.636889
IND Section 11,2877,10,10,No,0.0,2021-07-10 11:43:07.636896
IND Section 12,2878,10,10,No,0.0,2021-07-10 11:43:07.636903
IND Section 13,2879,4,4,No,0.0,2021-07-10 11:43:07.636911
IND Section 14,2880,1,1,No,0.0,2021-07-10 11:43:07.636918
IND Section 16,2881,1,1,No,0.0,2021-07-10 11:43:07.636925
IND Section 17,2882,1,1,No,0.0,2021-07-10 11:43:07.636932
IND Section 18,2883,1,1,No,0.0,2021-07-10 11:43:07.636939
IND Section 19,2884,1,1,No,0.0,2021-07-10 11:43:07.636946
IND Section 20,2885,1,1,No,0.0,2021-07-10 11:43:07.636953
IND Section 01,2894,1,1,No,0.0,2021-07-10 11:43:07.636959
IND Section 02,2895,1,1,No,0.0,2021-07-10 11:43:07.636966
IND Section 03,2896,1,1,No,0.0,2021-07-10 11:43:07.636973
IND Section 04,2897,1,1,No,0.0,2021-07-10 11:43:07.636980
IND Section 09,2898,2,2,No,0.0,2021-07-10 11:43:07.636987
Lecture Section 03,10347,167,185,No,9.72972972972973,2021-07-10 11:50:36.644690
Lecture Section 01,9690,170,190,No,10.526315789473683,2021-07-10 11:50:36.644710
Lecture Section 01,9692,32,49,No,34.69387755102041,2021-07-10 11:50:36.644719
Lecture Section 01,9695,22,30,No,26.666666666666668,2021-07-10 11:50:36.644727
SEM Section 01,9698,0,15,No,100.0,2021-07-10 11:50:36.644736
Lecture Section 01,7739,161,175,No,8.0,2021-07-10 11:50:36.644744
Laboratory Section 01,9516,6,12,No,50.0,2021-07-10 11:50:36.644754
Laboratory Section 01,9521,6,10,No,40.0,2021-07-10 11:50:36.644762
IND Section 01,2886,1,1,No,0.0,2021-07-10 11:50:36.644770
IND Section 02,2887,1,1,No,0.0,2021-07-10 11:50:36.644777
IND Section 03,2888,1,1,No,0.0,2021-07-10 11:50:36.644785
IND Section 04,2889,1,1,No,0.0,2021-07-10 11:50:36.644792
IND Section 05,2890,3,3,No,0.0,2021-07-10 11:50:36.644799
IND Section 06,2891,5,5,No,0.0,2021-07-10 11:50:36.644806
IND Section 07,2892,5,5,No,0.0,2021-07-10 11:50:36.644813
IND Section 08,2893,5,5,No,0.0,2021-07-10 11:50:36.644820
IND Section 01,2869,4,4,No,0.0,2021-07-10 11:50:36.644827
IND Section 02,2870,4,4,No,0.0,2021-07-10 11:50:36.644834
IND Section 03,2871,4,4,No,0.0,2021-07-10 11:50:36.644842
IND Section 04,2872,5,5,No,0.0,2021-07-10 11:50:36.644849
IND Section 05,2873,10,10,No,0.0,2021-07-10 11:50:36.644856
IND Section 06,2874,1,1,No,0.0,2021-07-10 11:50:36.644864
IND Section 08,2875,10,10,No,0.0,2021-07-10 11:50:36.644871
IND Section 09,2876,10,10,No,0.0,2021-07-10 11:50:36.644878
IND Section 11,2877,10,10,No,0.0,2021-07-10 11:50:36.644886
IND Section 12,2878,10,10,No,0.0,2021-07-10 11:50:36.644893
IND Section 13,2879,4,4,No,0.0,2021-07-10 11:50:36.644900
IND Section 14,2880,1,1,No,0.0,2021-07-10 11:50:36.644907
IND Section 16,2881,1,1,No,0.0,2021-07-10 11:50:36.644914
IND Section 17,2882,1,1,No,0.0,2021-07-10 11:50:36.644921
IND Section 18,2883,1,1,No,0.0,2021-07-10 11:50:36.644928
IND Section 19,2884,1,1,No,0.0,2021-07-10 11:50:36.644935
IND Section 20,2885,1,1,No,0.0,2021-07-10 11:50:36.644942
IND Section 01,2894,1,1,No,0.0,2021-07-10 11:50:36.644949
IND Section 02,2895,1,1,No,0.0,2021-07-10 11:50:36.644956
IND Section 03,2896,1,1,No,0.0,2021-07-10 11:50:36.644963
IND Section 04,2897,1,1,No,0.0,2021-07-10 11:50:36.644970
IND Section 09,2898,2,2,No,0.0,2021-07-10 11:50:36.644977
Lecture Section 03,10347,167,185,No,9.72972972972973,2021-07-10 11:58:07.574847
Lecture Section 01,9690,170,190,No,10.526315789473683,2021-07-10 11:58:07.574877
Lecture Section 01,9692,32,49,No,34.69387755102041,2021-07-10 11:58:07.574892
