Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
SEM Section 01,7600,18,18,No,0.0,2021-07-10 11:41:11.740767
SEM Section 02,7297,18,18,No,0.0,2021-07-10 11:41:11.740801
SEM Section 03,7298,18,18,No,0.0,2021-07-10 11:41:11.740816
SEM Section 04,7299,18,18,No,0.0,2021-07-10 11:41:11.740829
SEM Section 05,7300,18,18,No,0.0,2021-07-10 11:41:11.740845
SEM Section 06,6949,18,18,No,0.0,2021-07-10 11:41:11.740860
SEM Section 07,4877,15,15,No,0.0,2021-07-10 11:41:11.740874
SEM Section 08,8196,18,18,No,0.0,2021-07-10 11:41:11.740887
SEM Section 09,8205,14,14,No,0.0,2021-07-10 11:41:11.740902
SEM Section 10,8706,15,15,No,0.0,2021-07-10 11:41:11.740916
SEM Section 11,10068,12,12,No,0.0,2021-07-10 11:41:11.740931
SEM Section 12,10341,18,18,No,0.0,2021-07-10 11:41:11.740943
Lecture Section 01,7306,32,40,No,20.0,2021-07-10 11:41:11.740957
SEM Section 01,7284,0,18,No,100.0,2021-07-10 11:41:11.740971
SEM Section 01,7293,0,18,No,100.0,2021-07-10 11:41:11.740984
SEM Section 01,5149,0,18,No,100.0,2021-07-10 11:41:11.741015
WRK Section 01,7308,180,180,No,0.0,2021-07-10 11:41:11.741037
WRK Section 02,9860,179,180,No,0.5555555555555556,2021-07-10 11:41:11.741052
SEM Section 01,7288,0,18,No,100.0,2021-07-10 11:41:11.741082
SEM Section 01,8785,0,18,No,100.0,2021-07-10 11:41:11.741099
Lecture Section 01,7317,19,30,No,36.666666666666664,2021-07-10 11:41:11.741114
WRK Section 01,7301,6,16,No,62.5,2021-07-10 11:41:11.741128
WRK Section 02,7302,16,18,No,11.11111111111111,2021-07-10 11:41:11.741142
WRK Section 03,7303,18,18,No,0.0,2021-07-10 11:41:11.741155
WRK Section 04,7304,18,18,No,0.0,2021-07-10 11:41:11.741171
WRK Section 05,7305,20,20,No,0.0,2021-07-10 11:41:11.741182
Lecture Section 01,7309,38,99,No,61.61616161616161,2021-07-10 11:41:11.741197
Lecture Section 01,5781,0,25,No,100.0,2021-07-10 11:41:11.741211
Lecture Section 01,4979,0,30,No,100.0,2021-07-10 11:41:11.741226
Lecture Section 01,4464,0,15,No,100.0,2021-07-10 11:41:11.741241
Lecture Section 01,7972,0,20,No,100.0,2021-07-10 11:41:11.741256
Lecture Section 02,5451,0,16,No,100.0,2021-07-10 11:41:11.741275
SEM Section 01,7291,12,16,No,25.0,2021-07-10 11:41:11.741292
Lecture Section 01,5851,35,40,No,12.5,2021-07-10 11:41:11.741307
