Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
Lecture Section 01,4250,28,50,No,44.0,2021-07-10 11:41:42.784524
Lecture Section 001,4251,77,84,No,8.333333333333332,2021-07-10 11:41:42.784545
Discussion Section 01D,4252,12,14,No,14.285714285714285,2021-07-10 11:41:42.784554
Discussion Section 02D,4253,13,14,No,7.142857142857142,2021-07-10 11:41:42.784562
Discussion Section 03D,4254,13,14,No,7.142857142857142,2021-07-10 11:41:42.784570
Discussion Section 04D,4255,14,14,No,0.0,2021-07-10 11:41:42.784578
Discussion Section 05D,4256,13,14,No,7.142857142857142,2021-07-10 11:41:42.784585
Discussion Section 06D,4257,12,14,No,14.285714285714285,2021-07-10 11:41:42.784593
SEM Section 01,4258,2,18,No,88.88888888888889,2021-07-10 11:41:42.784601
Lecture Section 001,4212,27,28,No,3.571428571428571,2021-07-10 11:41:42.784609
Laboratory Section 01L,4213,14,14,Yes,0.0,2021-07-10 11:41:42.784617
Laboratory Section 02L,4214,13,14,Yes,7.142857142857142,2021-07-10 11:41:42.784625
Lecture Section 01,4210,10,20,No,50.0,2021-07-10 11:41:42.784633
Lecture Section 01,4260,17,20,No,15.0,2021-07-10 11:41:42.784640
Lecture Section 001,4207,12,28,No,57.14285714285714,2021-07-10 11:41:42.784648
Laboratory Section 01L,4208,6,14,Yes,57.14285714285714,2021-07-10 11:41:42.784656
Laboratory Section 02L,4209,6,14,Yes,57.14285714285714,2021-07-10 11:41:42.784664
Laboratory Section 01L,4211,5,10,Yes,50.0,2021-07-10 11:41:42.784671
SEM Section 01,4215,12,16,No,25.0,2021-07-10 11:41:42.784680
IND Section 01,4244,1,1,No,0.0,2021-07-10 11:41:42.784688
IND Section 02,4245,1,1,No,0.0,2021-07-10 11:41:42.784695
IND Section 03,4246,1,1,No,0.0,2021-07-10 11:41:42.784702
IND Section 04,4247,1,1,No,0.0,2021-07-10 11:41:42.784711
IND Section 05,4248,1,1,No,0.0,2021-07-10 11:41:42.784720
IND Section 01,4216,1,1,No,0.0,2021-07-10 11:41:42.784728
IND Section 02,4217,1,1,No,0.0,2021-07-10 11:41:42.784737
IND Section 03,4218,1,1,No,0.0,2021-07-10 11:41:42.784745
IND Section 04,4219,1,1,No,0.0,2021-07-10 11:41:42.784753
IND Section 05,4220,1,1,No,0.0,2021-07-10 11:41:42.784763
IND Section 06,4221,1,1,No,0.0,2021-07-10 11:41:42.784774
IND Section 07,4222,1,1,No,0.0,2021-07-10 11:41:42.784787
IND Section 08,4223,1,1,No,0.0,2021-07-10 11:41:42.784797
IND Section 09,4224,1,1,No,0.0,2021-07-10 11:41:42.784805
IND Section 10,4225,1,1,No,0.0,2021-07-10 11:41:42.784813
IND Section 11,4226,1,1,No,0.0,2021-07-10 11:41:42.784820
IND Section 12,4227,1,1,No,0.0,2021-07-10 11:41:42.784828
IND Section 13,4228,1,1,No,0.0,2021-07-10 11:41:42.784835
IND Section 14,4229,1,1,No,0.0,2021-07-10 11:41:42.784842
IND Section 15,4230,1,1,No,0.0,2021-07-10 11:41:42.784850
SEM Section 01,4249,10,14,No,28.57142857142857,2021-07-10 11:41:42.784858
Lecture Section 01,4250,28,50,No,44.0,2021-07-10 11:49:26.918625
Lecture Section 001,4251,77,84,No,8.333333333333332,2021-07-10 11:49:26.918649
Discussion Section 01D,4252,12,14,No,14.285714285714285,2021-07-10 11:49:26.918657
Discussion Section 02D,4253,13,14,No,7.142857142857142,2021-07-10 11:49:26.918664
Discussion Section 03D,4254,13,14,No,7.142857142857142,2021-07-10 11:49:26.918672
Discussion Section 04D,4255,14,14,No,0.0,2021-07-10 11:49:26.918680
Discussion Section 05D,4256,13,14,No,7.142857142857142,2021-07-10 11:49:26.918688
Discussion Section 06D,4257,12,14,No,14.285714285714285,2021-07-10 11:49:26.918695
SEM Section 01,4258,2,18,No,88.88888888888889,2021-07-10 11:49:26.918704
Lecture Section 001,4212,27,28,No,3.571428571428571,2021-07-10 11:49:26.918711
Laboratory Section 01L,4213,14,14,Yes,0.0,2021-07-10 11:49:26.918721
Laboratory Section 02L,4214,13,14,Yes,7.142857142857142,2021-07-10 11:49:26.918729
Lecture Section 01,4210,10,20,No,50.0,2021-07-10 11:49:26.918736
Lecture Section 01,4260,17,20,No,15.0,2021-07-10 11:49:26.918744
Lecture Section 001,4207,12,28,No,57.14285714285714,2021-07-10 11:49:26.918751
Laboratory Section 01L,4208,6,14,Yes,57.14285714285714,2021-07-10 11:49:26.918758
Laboratory Section 02L,4209,6,14,Yes,57.14285714285714,2021-07-10 11:49:26.918766
Laboratory Section 01L,4211,5,10,Yes,50.0,2021-07-10 11:49:26.918773
SEM Section 01,4215,12,16,No,25.0,2021-07-10 11:49:26.918781
IND Section 01,4244,1,1,No,0.0,2021-07-10 11:49:26.918789
IND Section 02,4245,1,1,No,0.0,2021-07-10 11:49:26.918796
IND Section 03,4246,1,1,No,0.0,2021-07-10 11:49:26.918803
IND Section 04,4247,1,1,No,0.0,2021-07-10 11:49:26.918810
IND Section 05,4248,1,1,No,0.0,2021-07-10 11:49:26.918817
IND Section 01,4216,1,1,No,0.0,2021-07-10 11:49:26.918825
IND Section 02,4217,1,1,No,0.0,2021-07-10 11:49:26.918832
IND Section 03,4218,1,1,No,0.0,2021-07-10 11:49:26.918839
IND Section 04,4219,1,1,No,0.0,2021-07-10 11:49:26.918846
IND Section 05,4220,1,1,No,0.0,2021-07-10 11:49:26.918853
IND Section 06,4221,1,1,No,0.0,2021-07-10 11:49:26.918860
IND Section 07,4222,1,1,No,0.0,2021-07-10 11:49:26.918867
IND Section 08,4223,1,1,No,0.0,2021-07-10 11:49:26.918874
IND Section 09,4224,1,1,No,0.0,2021-07-10 11:49:26.918881
IND Section 10,4225,1,1,No,0.0,2021-07-10 11:49:26.918888
IND Section 11,4226,1,1,No,0.0,2021-07-10 11:49:26.918895
IND Section 12,4227,1,1,No,0.0,2021-07-10 11:49:26.918901
IND Section 13,4228,1,1,No,0.0,2021-07-10 11:49:26.918908
IND Section 14,4229,1,1,No,0.0,2021-07-10 11:49:26.918915
IND Section 15,4230,1,1,No,0.0,2021-07-10 11:49:26.918922
SEM Section 01,4249,10,14,No,28.57142857142857,2021-07-10 11:49:26.918929
Lecture Section 01,4250,28,50,No,44.0,2021-07-10 11:57:46.493967
Lecture Section 001,4251,77,84,No,8.333333333333332,2021-07-10 11:57:46.493987
Discussion Section 01D,4252,12,14,No,14.285714285714285,2021-07-10 11:57:46.493996
Discussion Section 02D,4253,13,14,No,7.142857142857142,2021-07-10 11:57:46.494004
Discussion Section 03D,4254,13,14,No,7.142857142857142,2021-07-10 11:57:46.494012
Discussion Section 04D,4255,14,14,No,0.0,2021-07-10 11:57:46.494019
Discussion Section 05D,4256,13,14,No,7.142857142857142,2021-07-10 11:57:46.494027
Discussion Section 06D,4257,12,14,No,14.285714285714285,2021-07-10 11:57:46.494034
SEM Section 01,4258,2,18,No,88.88888888888889,2021-07-10 11:57:46.494043
Lecture Section 001,4212,27,28,No,3.571428571428571,2021-07-10 11:57:46.494051
Laboratory Section 01L,4213,14,14,Yes,0.0,2021-07-10 11:57:46.494059
Laboratory Section 02L,4214,13,14,Yes,7.142857142857142,2021-07-10 11:57:46.494067
Lecture Section 01,4210,10,20,No,50.0,2021-07-10 11:57:46.494075
Lecture Section 01,4260,17,20,No,15.0,2021-07-10 11:57:46.494082
Lecture Section 001,4207,12,28,No,57.14285714285714,2021-07-10 11:57:46.494089
Laboratory Section 01L,4208,6,14,Yes,57.14285714285714,2021-07-10 11:57:46.494097
Laboratory Section 02L,4209,6,14,Yes,57.14285714285714,2021-07-10 11:57:46.494104
Laboratory Section 01L,4211,5,10,Yes,50.0,2021-07-10 11:57:46.494111
SEM Section 01,4215,12,16,No,25.0,2021-07-10 11:57:46.494119
IND Section 01,4244,1,1,No,0.0,2021-07-10 11:57:46.494127
IND Section 02,4245,1,1,No,0.0,2021-07-10 11:57:46.494134
IND Section 03,4246,1,1,No,0.0,2021-07-10 11:57:46.494141
IND Section 04,4247,1,1,No,0.0,2021-07-10 11:57:46.494148
IND Section 05,4248,1,1,No,0.0,2021-07-10 11:57:46.494155
IND Section 01,4216,1,1,No,0.0,2021-07-10 11:57:46.494163
