Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
Lecture Section 01,5607,15,15,No,0.0,2021-07-10 11:42:42.189122
Lecture Section 02,5608,13,15,No,13.333333333333334,2021-07-10 11:42:42.189153
Lecture Section 03,5609,13,15,No,13.333333333333334,2021-07-10 11:42:42.189168
Lecture Section 01,5610,13,15,No,13.333333333333334,2021-07-10 11:42:42.189182
Lecture Section 02,5611,12,15,No,20.0,2021-07-10 11:42:42.189195
Lecture Section 03,5612,14,15,No,6.666666666666667,2021-07-10 11:42:42.189207
Lecture Section 01,5613,14,15,No,6.666666666666667,2021-07-10 11:42:42.189219
Lecture Section 02,5614,13,15,No,13.333333333333334,2021-07-10 11:42:42.189227
Lecture Section 03,5615,12,15,No,20.0,2021-07-10 11:42:42.189235
Lecture Section 04,5616,12,15,No,20.0,2021-07-10 11:42:42.189243
Lecture Section 05,5617,14,15,No,6.666666666666667,2021-07-10 11:42:42.189252
Lecture Section 01,5618,14,15,No,6.666666666666667,2021-07-10 11:42:42.189259
Lecture Section 02,5619,12,15,No,20.0,2021-07-10 11:42:42.189267
Lecture Section 03,5620,12,15,No,20.0,2021-07-10 11:42:42.189275
Lecture Section 04,5621,15,15,No,0.0,2021-07-10 11:42:42.189283
TUT Section 01,4419,3,8,No,62.5,2021-07-10 11:42:42.189292
SEM Section 01,5624,11,12,No,8.333333333333332,2021-07-10 11:42:42.189300
SEM Section 02,5625,7,12,No,41.66666666666667,2021-07-10 11:42:42.189308
SEM Section 01,5622,11,14,No,21.428571428571427,2021-07-10 11:42:42.189316
SEM Section 02,5623,9,14,No,35.714285714285715,2021-07-10 11:42:42.189324
SEM Section 01,5626,13,14,No,7.142857142857142,2021-07-10 11:42:42.189332
SEM Section 02,5627,13,14,No,7.142857142857142,2021-07-10 11:42:42.189340
SEM Section 01,5628,7,12,No,41.66666666666667,2021-07-10 11:42:42.189347
SEM Section 01,5749,17,18,No,5.555555555555555,2021-07-10 11:42:42.189355
SEM Section 01,5728,8,15,No,46.666666666666664,2021-07-10 11:42:42.189363
SEM Section 01,5631,16,18,No,11.11111111111111,2021-07-10 11:42:42.189371
SEM Section 01,5709,12,18,No,33.33333333333333,2021-07-10 11:42:42.189378
IND Section 01,2115,1,1,No,0.0,2021-07-10 11:42:42.189386
IND Section 02,2116,1,1,No,0.0,2021-07-10 11:42:42.189393
SEM Section 01,5758,4,12,No,66.66666666666666,2021-07-10 11:42:42.189401
SEM Section 01,5630,11,18,No,38.88888888888889,2021-07-10 11:42:42.189408
IND Section 01,2117,1,1,No,0.0,2021-07-10 11:42:42.189415
IND Section 02,2118,1,1,No,0.0,2021-07-10 11:42:42.189422
IND Section 03,2119,1,1,No,0.0,2021-07-10 11:42:42.189430
IND Section 04,2120,1,1,No,0.0,2021-07-10 11:42:42.189437
IND Section 05,2121,1,1,No,0.0,2021-07-10 11:42:42.189445
IND Section 06,2122,1,1,No,0.0,2021-07-10 11:42:42.189452
IND Section 07,2123,1,1,No,0.0,2021-07-10 11:42:42.189459
IND Section 08,2124,1,1,No,0.0,2021-07-10 11:42:42.189466
Lecture Section 01,5607,15,15,No,0.0,2021-07-10 11:50:24.646679
Lecture Section 02,5608,13,15,No,13.333333333333334,2021-07-10 11:50:24.646700
Lecture Section 03,5609,13,15,No,13.333333333333334,2021-07-10 11:50:24.646709
Lecture Section 01,5610,13,15,No,13.333333333333334,2021-07-10 11:50:24.646717
Lecture Section 02,5611,12,15,No,20.0,2021-07-10 11:50:24.646724
Lecture Section 03,5612,14,15,No,6.666666666666667,2021-07-10 11:50:24.646732
Lecture Section 01,5613,14,15,No,6.666666666666667,2021-07-10 11:50:24.646740
Lecture Section 02,5614,13,15,No,13.333333333333334,2021-07-10 11:50:24.646747
Lecture Section 03,5615,12,15,No,20.0,2021-07-10 11:50:24.646755
Lecture Section 04,5616,12,15,No,20.0,2021-07-10 11:50:24.646763
Lecture Section 05,5617,14,15,No,6.666666666666667,2021-07-10 11:50:24.646770
Lecture Section 01,5618,14,15,No,6.666666666666667,2021-07-10 11:50:24.646778
Lecture Section 02,5619,12,15,No,20.0,2021-07-10 11:50:24.646785
Lecture Section 03,5620,12,15,No,20.0,2021-07-10 11:50:24.646792
Lecture Section 04,5621,15,15,No,0.0,2021-07-10 11:50:24.646800
TUT Section 01,4419,3,8,No,62.5,2021-07-10 11:50:24.646808
