Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
SEM Section 01,5423,18,18,No,0.0,2021-07-10 11:41:36.341007
Lecture Section 01,5417,16,18,No,11.11111111111111,2021-07-10 11:41:36.341027
Lecture Section 02,5418,16,18,No,11.11111111111111,2021-07-10 11:41:36.341036
Lecture Section 03,5419,14,18,No,22.22222222222222,2021-07-10 11:41:36.341044
Lecture Section 01,5420,18,18,No,0.0,2021-07-10 11:41:36.341051
Lecture Section 02,5421,15,18,No,16.666666666666664,2021-07-10 11:41:36.341059
Lecture Section 03,5422,16,18,No,11.11111111111111,2021-07-10 11:41:36.341066
Lecture Section 01,5424,15,15,No,0.0,2021-07-10 11:41:36.341073
Lecture Section 02,5425,10,15,No,33.33333333333333,2021-07-10 11:41:36.341081
Lecture Section 03,5426,12,15,No,20.0,2021-07-10 11:41:36.341088
Lecture Section 01,5427,14,15,No,6.666666666666667,2021-07-10 11:41:36.341096
Lecture Section 02,5428,15,15,No,0.0,2021-07-10 11:41:36.341103
Lecture Section 01,5438,9,10,No,10.0,2021-07-10 11:41:36.341112
Lecture Section 01,5440,5,25,No,80.0,2021-07-10 11:41:36.341119
Lecture Section 01,5447,15,25,No,40.0,2021-07-10 11:41:36.341126
SEM Section 01,5429,13,18,No,27.77777777777778,2021-07-10 11:41:36.341134
Lecture Section 01,5437,9,10,No,10.0,2021-07-10 11:41:36.341141
SEM Section 01,5439,13,18,No,27.77777777777778,2021-07-10 11:41:36.341149
Lecture Section 01,5432,13,25,No,48.0,2021-07-10 11:41:36.341157
SEM Section 01,5430,7,10,No,30.0,2021-07-10 11:41:36.341164
SEM Section 01,5423,18,18,No,0.0,2021-07-10 11:49:21.276491
Lecture Section 01,5417,16,18,No,11.11111111111111,2021-07-10 11:49:21.276512
Lecture Section 02,5418,16,18,No,11.11111111111111,2021-07-10 11:49:21.276521
Lecture Section 03,5419,14,18,No,22.22222222222222,2021-07-10 11:49:21.276529
Lecture Section 01,5420,18,18,No,0.0,2021-07-10 11:49:21.276537
Lecture Section 02,5421,15,18,No,16.666666666666664,2021-07-10 11:49:21.276545
Lecture Section 03,5422,16,18,No,11.11111111111111,2021-07-10 11:49:21.276553
Lecture Section 01,5424,15,15,No,0.0,2021-07-10 11:49:21.276561
Lecture Section 02,5425,10,15,No,33.33333333333333,2021-07-10 11:49:21.276569
Lecture Section 03,5426,12,15,No,20.0,2021-07-10 11:49:21.276576
Lecture Section 01,5427,14,15,No,6.666666666666667,2021-07-10 11:49:21.276585
Lecture Section 02,5428,15,15,No,0.0,2021-07-10 11:49:21.276593
Lecture Section 01,5438,9,10,No,10.0,2021-07-10 11:49:21.276603
Lecture Section 01,5440,5,25,No,80.0,2021-07-10 11:49:21.276611
Lecture Section 01,5447,15,25,No,40.0,2021-07-10 11:49:21.276618
SEM Section 01,5429,13,18,No,27.77777777777778,2021-07-10 11:49:21.276626
Lecture Section 01,5437,9,10,No,10.0,2021-07-10 11:49:21.276634
SEM Section 01,5439,13,18,No,27.77777777777778,2021-07-10 11:49:21.276642
Lecture Section 01,5432,13,25,No,48.0,2021-07-10 11:49:21.276650
SEM Section 01,5430,7,10,No,30.0,2021-07-10 11:49:21.276658
SEM Section 01,5423,18,18,No,0.0,2021-07-10 11:57:46.400251
Lecture Section 01,5417,16,18,No,11.11111111111111,2021-07-10 11:57:46.400272
Lecture Section 02,5418,16,18,No,11.11111111111111,2021-07-10 11:57:46.400282
Lecture Section 03,5419,14,18,No,22.22222222222222,2021-07-10 11:57:46.400290
Lecture Section 01,5420,18,18,No,0.0,2021-07-10 11:57:46.400297
Lecture Section 02,5421,15,18,No,16.666666666666664,2021-07-10 11:57:46.400305
Lecture Section 03,5422,16,18,No,11.11111111111111,2021-07-10 11:57:46.400312
Lecture Section 01,5424,15,15,No,0.0,2021-07-10 11:57:46.400320
Lecture Section 02,5425,10,15,No,33.33333333333333,2021-07-10 11:57:46.400327
Lecture Section 03,5426,12,15,No,20.0,2021-07-10 11:57:46.400334
Lecture Section 01,5427,14,15,No,6.666666666666667,2021-07-10 11:57:46.400342
Lecture Section 02,5428,15,15,No,0.0,2021-07-10 11:57:46.400349
Lecture Section 01,5438,9,10,No,10.0,2021-07-10 11:57:46.400357
Lecture Section 01,5440,5,25,No,80.0,2021-07-10 11:57:46.400371
Lecture Section 01,5447,15,25,No,40.0,2021-07-10 11:57:46.400378
SEM Section 01,5429,13,18,No,27.77777777777778,2021-07-10 11:57:46.400386
Lecture Section 01,5437,9,10,No,10.0,2021-07-10 11:57:46.400393
SEM Section 01,5439,13,18,No,27.77777777777778,2021-07-10 11:57:46.400400
Lecture Section 01,5432,13,25,No,48.0,2021-07-10 11:57:46.400408
SEM Section 01,5430,7,10,No,30.0,2021-07-10 11:57:46.400415
