Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
SEM Section 01,7578,18,18,No,0.0,2021-07-10 11:41:24.555194
SEM Section 02,4941,18,18,No,0.0,2021-07-10 11:41:24.555226
SEM Section 03,4942,18,18,No,0.0,2021-07-10 11:41:24.555237
SEM Section 01,7017,12,15,No,20.0,2021-07-10 11:41:24.555248
Lecture Section 01,6595,11,18,No,38.88888888888889,2021-07-10 11:41:24.555261
Lecture Section 01,8689,46,49,No,6.122448979591836,2021-07-10 11:41:24.555271
Lecture Section 01,9125,4,18,No,77.77777777777779,2021-07-10 11:41:24.555281
SEM Section 01,4947,15,18,No,16.666666666666664,2021-07-10 11:41:24.555289
Lecture Section 01,7660,5,45,No,88.88888888888889,2021-07-10 11:41:24.555299
SEM Section 01,4937,15,18,No,16.666666666666664,2021-07-10 11:41:24.555306
Lecture Section 01,5302,14,18,No,22.22222222222222,2021-07-10 11:41:24.555315
Lecture Section 01,5847,18,30,No,40.0,2021-07-10 11:41:24.555323
Lecture Section 01,4945,3,18,No,83.33333333333334,2021-07-10 11:41:24.555332
Lecture Section 01,6034,9,40,No,77.5,2021-07-10 11:41:24.555339
SEM Section 01,9441,7,11,No,36.36363636363637,2021-07-10 11:41:24.555348
SEM Section 01,4962,6,18,No,66.66666666666666,2021-07-10 11:41:24.555356
SEM Section 02,7576,0,18,No,100.0,2021-07-10 11:41:24.555365
SEM Section 03,4939,15,18,No,16.666666666666664,2021-07-10 11:41:24.555373
SEM Section 01,8699,0,16,No,100.0,2021-07-10 11:41:24.555383
SEM Section 01,4948,11,18,No,38.88888888888889,2021-07-10 11:41:24.555391
Lecture Section 01,4960,8,18,No,55.55555555555556,2021-07-10 11:41:24.555399
SEM Section 01,4954,0,18,No,100.0,2021-07-10 11:41:24.555408
SEM Section 01,7599,15,18,No,16.666666666666664,2021-07-10 11:41:24.555416
SEM Section 02,4959,15,18,No,16.666666666666664,2021-07-10 11:41:24.555424
SEM Section 01,4197,11,18,No,38.88888888888889,2021-07-10 11:41:24.555432
IND Section 01,10139,0,1,No,100.0,2021-07-10 11:41:24.555440
SEM Section 01,4940,14,18,No,22.22222222222222,2021-07-10 11:41:24.555448
SEM Section 01,7578,18,18,No,0.0,2021-07-10 11:48:57.673745
SEM Section 02,4941,18,18,No,0.0,2021-07-10 11:48:57.673767
SEM Section 03,4942,18,18,No,0.0,2021-07-10 11:48:57.673776
SEM Section 01,7017,12,15,No,20.0,2021-07-10 11:48:57.673784
Lecture Section 01,6595,11,18,No,38.88888888888889,2021-07-10 11:48:57.673792
Lecture Section 01,8689,46,49,No,6.122448979591836,2021-07-10 11:48:57.673800
Lecture Section 01,9125,4,18,No,77.77777777777779,2021-07-10 11:48:57.673809
SEM Section 01,4947,15,18,No,16.666666666666664,2021-07-10 11:48:57.673818
Lecture Section 01,7660,5,45,No,88.88888888888889,2021-07-10 11:48:57.673826
SEM Section 01,4937,15,18,No,16.666666666666664,2021-07-10 11:48:57.673834
Lecture Section 01,5302,14,18,No,22.22222222222222,2021-07-10 11:48:57.673842
Lecture Section 01,5847,18,30,No,40.0,2021-07-10 11:48:57.673850
Lecture Section 01,4945,3,18,No,83.33333333333334,2021-07-10 11:48:57.673858
Lecture Section 01,6034,9,40,No,77.5,2021-07-10 11:48:57.673866
SEM Section 01,9441,7,11,No,36.36363636363637,2021-07-10 11:48:57.673874
SEM Section 01,4962,6,18,No,66.66666666666666,2021-07-10 11:48:57.673882
SEM Section 02,7576,0,18,No,100.0,2021-07-10 11:48:57.673891
SEM Section 03,4939,15,18,No,16.666666666666664,2021-07-10 11:48:57.673899
SEM Section 01,8699,0,16,No,100.0,2021-07-10 11:48:57.673907
SEM Section 01,4948,11,18,No,38.88888888888889,2021-07-10 11:48:57.673915
Lecture Section 01,4960,8,18,No,55.55555555555556,2021-07-10 11:48:57.673922
SEM Section 01,4954,0,18,No,100.0,2021-07-10 11:48:57.673930
SEM Section 01,7599,15,18,No,16.666666666666664,2021-07-10 11:48:57.673938
SEM Section 02,4959,15,18,No,16.666666666666664,2021-07-10 11:48:57.673945
SEM Section 01,4197,11,18,No,38.88888888888889,2021-07-10 11:48:57.673953
IND Section 01,10139,0,1,No,100.0,2021-07-10 11:48:57.673961
SEM Section 01,4940,14,18,No,22.22222222222222,2021-07-10 11:48:57.673969
SEM Section 01,7578,18,18,No,0.0,2021-07-10 11:57:20.739827
SEM Section 02,4941,18,18,No,0.0,2021-07-10 11:57:20.739854
SEM Section 03,4942,18,18,No,0.0,2021-07-10 11:57:20.739867
