Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
Lecture Section 001,6527,15,15,No,0.0,2021-07-10 11:41:51.594194
Discussion Section 01D,6528,15,15,No,0.0,2021-07-10 11:41:51.594226
Lecture Section 01,6531,14,15,No,6.666666666666667,2021-07-10 11:41:51.594242
SEM Section 01,6533,10,10,No,0.0,2021-07-10 11:41:51.594255
IND Section 01,2096,4,4,No,0.0,2021-07-10 11:41:51.594268
IND Section 02,2097,4,4,No,0.0,2021-07-10 11:41:51.594280
Lecture Section 001,6527,15,15,No,0.0,2021-07-10 11:49:25.002152
Discussion Section 01D,6528,15,15,No,0.0,2021-07-10 11:49:25.002174
Lecture Section 01,6531,14,15,No,6.666666666666667,2021-07-10 11:49:25.002184
SEM Section 01,6533,10,10,No,0.0,2021-07-10 11:49:25.002193
IND Section 01,2096,4,4,No,0.0,2021-07-10 11:49:25.002202
IND Section 02,2097,4,4,No,0.0,2021-07-10 11:49:25.002212
Lecture Section 001,6527,15,15,No,0.0,2021-07-10 11:57:48.176800
Discussion Section 01D,6528,15,15,No,0.0,2021-07-10 11:57:48.176819
Lecture Section 01,6531,14,15,No,6.666666666666667,2021-07-10 11:57:48.176829
SEM Section 01,6533,10,10,No,0.0,2021-07-10 11:57:48.176837
IND Section 01,2096,4,4,No,0.0,2021-07-10 11:57:48.176845
IND Section 02,2097,4,4,No,0.0,2021-07-10 11:57:48.176853
