Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
Lecture Section 001,6535,12,18,No,33.33333333333333,2021-07-10 11:42:19.147821
Discussion Section 01D,6536,12,18,No,33.33333333333333,2021-07-10 11:42:19.147843
Lecture Section 001,6537,10,18,No,44.44444444444444,2021-07-10 11:42:19.147852
Discussion Section 01D,6538,10,18,No,44.44444444444444,2021-07-10 11:42:19.147860
Lecture Section 01,6539,7,12,No,41.66666666666667,2021-07-10 11:42:19.147869
IND Section 01,2100,4,4,No,0.0,2021-07-10 11:42:19.147877
IND Section 02,2101,4,4,No,0.0,2021-07-10 11:42:19.147885
SEM Section 01,6563,8,8,No,0.0,2021-07-10 11:42:19.147893
Lecture Section 001,6535,12,18,No,33.33333333333333,2021-07-10 11:49:51.982124
Discussion Section 01D,6536,12,18,No,33.33333333333333,2021-07-10 11:49:51.982143
Lecture Section 001,6537,10,18,No,44.44444444444444,2021-07-10 11:49:51.982156
Discussion Section 01D,6538,10,18,No,44.44444444444444,2021-07-10 11:49:51.982172
Lecture Section 01,6539,7,12,No,41.66666666666667,2021-07-10 11:49:51.982185
IND Section 01,2100,4,4,No,0.0,2021-07-10 11:49:51.982197
IND Section 02,2101,4,4,No,0.0,2021-07-10 11:49:51.982209
SEM Section 01,6563,8,8,No,0.0,2021-07-10 11:49:51.982221
Lecture Section 001,6535,12,18,No,33.33333333333333,2021-07-10 11:58:15.341216
Discussion Section 01D,6536,12,18,No,33.33333333333333,2021-07-10 11:58:15.341240
Lecture Section 001,6537,10,18,No,44.44444444444444,2021-07-10 11:58:15.341248
Discussion Section 01D,6538,10,18,No,44.44444444444444,2021-07-10 11:58:15.341256
Lecture Section 01,6539,7,12,No,41.66666666666667,2021-07-10 11:58:15.341264
IND Section 01,2100,4,4,No,0.0,2021-07-10 11:58:15.341273
IND Section 02,2101,4,4,No,0.0,2021-07-10 11:58:15.341281
SEM Section 01,6563,8,8,No,0.0,2021-07-10 11:58:15.341288
