Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
SEM Section 01,6954,18,18,No,0.0,2021-07-10 11:43:26.137646
SEM Section 03,7278,18,18,No,0.0,2021-07-10 11:43:26.137668
Lecture Section 01,6953,28,30,No,6.666666666666667,2021-07-10 11:43:26.137677
Lecture Section 01,7029,33,35,No,5.714285714285714,2021-07-10 11:43:26.137685
Lecture Section 01,8686,46,49,No,6.122448979591836,2021-07-10 11:43:26.137693
Lecture Section 01,6986,24,25,No,4.0,2021-07-10 11:43:26.137701
Lecture Section 01,6894,21,32,No,34.375,2021-07-10 11:43:26.137709
Lecture Section 01,6995,23,35,No,34.285714285714285,2021-07-10 11:43:26.137716
Lecture Section 01,6983,28,35,No,20.0,2021-07-10 11:43:26.137724
Lecture Section 01,6958,35,35,No,0.0,2021-07-10 11:43:26.137732
Lecture Section 01,7020,84,100,No,16.0,2021-07-10 11:43:26.137740
SEM Section 01,6635,0,12,No,100.0,2021-07-10 11:43:26.137749
SEM Section 01,6651,5,15,No,66.66666666666666,2021-07-10 11:43:26.137758
SEM Section 01,7294,0,18,No,100.0,2021-07-10 11:43:26.137766
Lecture Section 01,7326,52,60,No,13.333333333333334,2021-07-10 11:43:26.137774
Lecture Section 001,6971,93,100,No,7.000000000000001,2021-07-10 11:43:26.137782
Discussion Section 01D,6972,22,25,No,12.0,2021-07-10 11:43:26.137789
Discussion Section 02D,6973,24,25,No,4.0,2021-07-10 11:43:26.137797
Discussion Section 03D,6974,23,25,No,8.0,2021-07-10 11:43:26.137804
Discussion Section 04D,6975,24,25,No,4.0,2021-07-10 11:43:26.137812
Lecture Section 01,7001,26,30,No,13.333333333333334,2021-07-10 11:43:26.137819
Lecture Section 01,7033,23,30,No,23.333333333333332,2021-07-10 11:43:26.137826
SEM Section 01,7034,10,15,No,33.33333333333333,2021-07-10 11:43:26.137834
SEM Section 01,6993,15,18,No,16.666666666666664,2021-07-10 11:43:26.137841
SEM Section 01,7015,13,15,No,13.333333333333334,2021-07-10 11:43:26.137848
SEM Section 01,7016,12,15,No,20.0,2021-07-10 11:43:26.137855
SEM Section 02,5368,0,18,No,100.0,2021-07-10 11:43:26.137863
SEM Section 03,6979,2,18,No,88.88888888888889,2021-07-10 11:43:26.137870
SEM Section 04,6980,1,18,No,94.44444444444444,2021-07-10 11:43:26.137878
SEM Section 05,6981,5,18,No,72.22222222222221,2021-07-10 11:43:26.137885
SEM Section 06,6982,4,18,No,77.77777777777779,2021-07-10 11:43:26.137892
IND Section 01,10140,5,5,No,0.0,2021-07-10 11:43:26.137900
SEM Section 01,7036,15,15,No,0.0,2021-07-10 11:43:26.137907
Lecture Section 01,7011,31,40,No,22.5,2021-07-10 11:43:26.137914
SEM Section 01,6371,17,18,No,5.555555555555555,2021-07-10 11:43:26.137922
Lecture Section 01,6569,12,18,No,33.33333333333333,2021-07-10 11:43:26.137929
SEM Section 01,7389,12,18,No,33.33333333333333,2021-07-10 11:43:26.137936
SEM Section 01,6989,13,18,No,27.77777777777778,2021-07-10 11:43:26.137943
Lecture Section 01,6963,33,35,No,5.714285714285714,2021-07-10 11:43:26.137951
Lecture Section 01,6588,0,21,No,100.0,2021-07-10 11:43:26.137959
Lecture Section 02,6589,0,21,No,100.0,2021-07-10 11:43:26.137966
Lecture Section 01,5130,24,40,No,40.0,2021-07-10 11:43:26.137974
Lecture Section 01,7022,16,50,No,68.0,2021-07-10 11:43:26.137981
Lecture Section 01,7008,7,35,No,80.0,2021-07-10 11:43:26.137988
SEM Section 01,7670,16,18,No,11.11111111111111,2021-07-10 11:43:26.137995
SEM Section 01,4952,11,18,No,38.88888888888889,2021-07-10 11:43:26.138003
Lecture Section 01,5441,5,25,No,80.0,2021-07-10 11:43:26.138010
Lecture Section 01,6961,29,35,No,17.142857142857142,2021-07-10 11:43:26.138017
Lecture Section 01,5435,13,25,No,48.0,2021-07-10 11:43:26.138024
Lecture Section 01,6955,28,40,No,30.0,2021-07-10 11:43:26.138031
Lecture Section 01,7028,33,35,No,5.714285714285714,2021-07-10 11:43:26.138039
SEM Section 01,8698,0,16,No,100.0,2021-07-10 11:43:26.138046
TUT Section 01,7032,15,15,No,0.0,2021-07-10 11:43:26.138054
Lecture Section 01,6102,0,30,No,100.0,2021-07-10 11:43:26.138061
Lecture Section 01,6013,0,30,No,100.0,2021-07-10 11:43:26.138069
Lecture Section 01,7014,38,40,No,5.0,2021-07-10 11:43:26.138076
SEM Section 01,7000,0,18,No,100.0,2021-07-10 11:43:26.138084
Lecture Section 01,8006,37,40,No,7.5,2021-07-10 11:43:26.138091
Lecture Section 01,7975,0,20,No,100.0,2021-07-10 11:43:26.138098
SEM Section 01,6379,14,18,No,22.22222222222222,2021-07-10 11:43:26.138105
SEM Section 01,7387,8,18,No,55.55555555555556,2021-07-10 11:43:26.138113
SEM Section 01,4958,0,18,No,100.0,2021-07-10 11:43:26.138120
Lecture Section 01,6966,35,40,No,12.5,2021-07-10 11:43:26.138127
Lecture Section 01,6999,32,40,No,20.0,2021-07-10 11:43:26.138134
Lecture Section 01,6992,38,40,No,5.0,2021-07-10 11:43:26.138141
SEM Section 01,7026,6,12,No,50.0,2021-07-10 11:43:26.138148
Lecture Section 01,7025,7,40,No,82.5,2021-07-10 11:43:26.138156
Lecture Section 01,6997,36,40,No,10.0,2021-07-10 11:43:26.138163
SEM Section 01,7379,3,15,No,80.0,2021-07-10 11:43:26.138170
SEM Section 01,7005,8,18,No,55.55555555555556,2021-07-10 11:43:26.138177
Lecture Section 01,6957,37,40,No,7.5,2021-07-10 11:43:26.138184
IND Section 01,1455,5,5,No,0.0,2021-07-10 11:43:26.138192
IND Section 02,1456,5,5,No,0.0,2021-07-10 11:43:26.138199
IND Section 03,1457,5,5,No,0.0,2021-07-10 11:43:26.138206
IND Section 04,1458,5,5,No,0.0,2021-07-10 11:43:26.138213
IND Section 05,1459,5,5,No,0.0,2021-07-10 11:43:26.138220
IND Section 06,1460,4,5,No,20.0,2021-07-10 11:43:26.138227
IND Section 07,1461,5,5,No,0.0,2021-07-10 11:43:26.138234
IND Section 08,1462,5,5,No,0.0,2021-07-10 11:43:26.138240
IND Section 09,1463,4,5,No,20.0,2021-07-10 11:43:26.138261
IND Section 10,1464,5,5,No,0.0,2021-07-10 11:43:26.138269
