Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
Lecture Section 01,5480,23,25,No,8.0,2021-07-10 11:42:35.057351
Lecture Section 01,5467,11,18,Yes,38.88888888888889,2021-07-10 11:42:35.057372
Lecture Section 01,5468,0,24,No,100.0,2021-07-10 11:42:35.057382
Lecture Section 01,5457,2,12,Yes,83.33333333333334,2021-07-10 11:42:35.057391
Lecture Section 02,5458,5,12,Yes,58.333333333333336,2021-07-10 11:42:35.057399
SEM Section 01,5470,8,18,No,55.55555555555556,2021-07-10 11:42:35.057407
SEM Section 01,4967,6,18,No,66.66666666666666,2021-07-10 11:42:35.057415
SEM Section 01,6673,0,15,No,100.0,2021-07-10 11:42:35.057422
Lecture Section 01,5454,26,30,Yes,13.333333333333334,2021-07-10 11:42:35.057460
Lecture Section 02,5455,0,16,No,100.0,2021-07-10 11:42:35.057478
Lecture Section 01,4174,23,30,No,23.333333333333332,2021-07-10 11:42:35.057487
SEM Section 01,8894,0,16,No,100.0,2021-07-10 11:42:35.057495
Lecture Section 01,5477,6,24,Yes,75.0,2021-07-10 11:42:35.057504
Lecture Section 01,5456,10,30,No,66.66666666666666,2021-07-10 11:42:35.057511
Lecture Section 01,6105,0,30,No,100.0,2021-07-10 11:42:35.057519
SEM Section 01,10198,16,18,No,11.11111111111111,2021-07-10 11:42:35.057527
IND Section 01,5466,1,1,No,0.0,2021-07-10 11:42:35.057535
IND Section 01,5474,1,1,No,0.0,2021-07-10 11:42:35.057542
IND Section 02,5475,28,30,No,6.666666666666667,2021-07-10 11:42:35.057550
Lecture Section 01,5453,-1,8,No,112.5,2021-07-10 11:42:35.057558
Lecture Section 01,5461,20,30,No,33.33333333333333,2021-07-10 11:42:35.057565
Lecture Section 01,5480,23,25,No,8.0,2021-07-10 11:50:07.133999
Lecture Section 01,5467,11,18,Yes,38.88888888888889,2021-07-10 11:50:07.134030
Lecture Section 01,5468,0,24,No,100.0,2021-07-10 11:50:07.134047
Lecture Section 01,5457,2,12,Yes,83.33333333333334,2021-07-10 11:50:07.134062
Lecture Section 02,5458,5,12,Yes,58.333333333333336,2021-07-10 11:50:07.134074
SEM Section 01,5470,8,18,No,55.55555555555556,2021-07-10 11:50:07.134086
SEM Section 01,4967,6,18,No,66.66666666666666,2021-07-10 11:50:07.134101
SEM Section 01,6673,0,15,No,100.0,2021-07-10 11:50:07.134115
Lecture Section 01,5454,26,30,Yes,13.333333333333334,2021-07-10 11:50:07.134129
Lecture Section 02,5455,0,16,No,100.0,2021-07-10 11:50:07.134142
Lecture Section 01,4174,23,30,No,23.333333333333332,2021-07-10 11:50:07.134154
SEM Section 01,8894,0,16,No,100.0,2021-07-10 11:50:07.134162
Lecture Section 01,5477,6,24,Yes,75.0,2021-07-10 11:50:07.134169
Lecture Section 01,5456,10,30,No,66.66666666666666,2021-07-10 11:50:07.134177
Lecture Section 01,6105,0,30,No,100.0,2021-07-10 11:50:07.134185
SEM Section 01,10198,16,18,No,11.11111111111111,2021-07-10 11:50:07.134192
IND Section 01,5466,1,1,No,0.0,2021-07-10 11:50:07.134200
IND Section 01,5474,1,1,No,0.0,2021-07-10 11:50:07.134207
IND Section 02,5475,28,30,No,6.666666666666667,2021-07-10 11:50:07.134215
Lecture Section 01,5453,-1,8,No,112.5,2021-07-10 11:50:07.134223
Lecture Section 01,5461,20,30,No,33.33333333333333,2021-07-10 11:50:07.134230
Lecture Section 01,5480,23,25,No,8.0,2021-07-10 11:58:27.890667
Lecture Section 01,5467,11,18,Yes,38.88888888888889,2021-07-10 11:58:27.890688
Lecture Section 01,5468,0,24,No,100.0,2021-07-10 11:58:27.890699
Lecture Section 01,5457,2,12,Yes,83.33333333333334,2021-07-10 11:58:27.890708
Lecture Section 02,5458,5,12,Yes,58.333333333333336,2021-07-10 11:58:27.890716
SEM Section 01,5470,8,18,No,55.55555555555556,2021-07-10 11:58:27.890724
SEM Section 01,4967,6,18,No,66.66666666666666,2021-07-10 11:58:27.890732
SEM Section 01,6673,0,15,No,100.0,2021-07-10 11:58:27.890740
Lecture Section 01,5454,26,30,Yes,13.333333333333334,2021-07-10 11:58:27.890749
Lecture Section 02,5455,0,16,No,100.0,2021-07-10 11:58:27.890757
Lecture Section 01,4174,23,30,No,23.333333333333332,2021-07-10 11:58:27.890766
SEM Section 01,8894,0,16,No,100.0,2021-07-10 11:58:27.890774
Lecture Section 01,5477,6,24,Yes,75.0,2021-07-10 11:58:27.890781
Lecture Section 01,5456,10,30,No,66.66666666666666,2021-07-10 11:58:27.890789
Lecture Section 01,6105,0,30,No,100.0,2021-07-10 11:58:27.890796
SEM Section 01,10198,16,18,No,11.11111111111111,2021-07-10 11:58:27.890804
IND Section 01,5466,1,1,No,0.0,2021-07-10 11:58:27.890812
IND Section 01,5474,1,1,No,0.0,2021-07-10 11:58:27.890819
IND Section 02,5475,28,30,No,6.666666666666667,2021-07-10 11:58:27.890828
Lecture Section 01,5453,-1,8,No,112.5,2021-07-10 11:58:27.890835
Lecture Section 01,5461,20,30,No,33.33333333333333,2021-07-10 11:58:27.890842
