Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
IND Section 01,1819,1,1,No,0.0,2021-07-10 11:43:02.228232
IND Section 02,1820,1,1,No,0.0,2021-07-10 11:43:02.228257
IND Section 03,1821,1,1,No,0.0,2021-07-10 11:43:02.228277
IND Section 04,1822,1,1,No,0.0,2021-07-10 11:43:02.228285
IND Section 05,1823,1,1,No,0.0,2021-07-10 11:43:02.228293
IND Section 06,1824,0,1,No,100.0,2021-07-10 11:43:02.228301
IND Section 07,1825,1,1,No,0.0,2021-07-10 11:43:02.228309
IND Section 08,1826,1,1,No,0.0,2021-07-10 11:43:02.228317
IND Section 01,1819,1,1,No,0.0,2021-07-10 11:50:34.246320
IND Section 02,1820,1,1,No,0.0,2021-07-10 11:50:34.246343
IND Section 03,1821,1,1,No,0.0,2021-07-10 11:50:34.246351
IND Section 04,1822,1,1,No,0.0,2021-07-10 11:50:34.246359
IND Section 05,1823,1,1,No,0.0,2021-07-10 11:50:34.246366
IND Section 06,1824,0,1,No,100.0,2021-07-10 11:50:34.246375
IND Section 07,1825,1,1,No,0.0,2021-07-10 11:50:34.246383
IND Section 08,1826,1,1,No,0.0,2021-07-10 11:50:34.246390
IND Section 01,1819,1,1,No,0.0,2021-07-10 11:58:55.123083
IND Section 02,1820,1,1,No,0.0,2021-07-10 11:58:55.123114
IND Section 03,1821,1,1,No,0.0,2021-07-10 11:58:55.123126
IND Section 04,1822,1,1,No,0.0,2021-07-10 11:58:55.123137
IND Section 05,1823,1,1,No,0.0,2021-07-10 11:58:55.123148
IND Section 06,1824,0,1,No,100.0,2021-07-10 11:58:55.123160
IND Section 07,1825,1,1,No,0.0,2021-07-10 11:58:55.123172
IND Section 08,1826,1,1,No,0.0,2021-07-10 11:58:55.123185
