Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
Lecture Section 01,7418,35,40,No,12.5,2021-07-10 11:42:14.091950
Lecture Section 01,7447,0,18,No,100.0,2021-07-10 11:42:14.091978
SEM Section 01,7475,0,18,No,100.0,2021-07-10 11:42:14.092028
SEM Section 01,6628,0,18,No,100.0,2021-07-10 11:42:14.092120
Lecture Section 01,9101,8,16,No,50.0,2021-07-10 11:42:14.092133
SEM Section 01,4194,2,18,No,88.88888888888889,2021-07-10 11:42:14.092141
SEM Section 01,7449,10,18,No,44.44444444444444,2021-07-10 11:42:14.092149
Laboratory Section 01L,7396,4,10,No,60.0,2021-07-10 11:42:14.092158
SEM Section 01,4964,6,18,No,66.66666666666666,2021-07-10 11:42:14.092167
Lecture Section 001,6349,14,30,No,53.333333333333336,2021-07-10 11:42:14.092174
Laboratory Section 01L,6350,14,30,No,53.333333333333336,2021-07-10 11:42:14.092183
Lecture Section 01,7422,2,10,No,80.0,2021-07-10 11:42:14.092190
Lecture Section 01,9225,0,10,No,100.0,2021-07-10 11:42:14.092199
SEM Section 01,7595,12,18,No,33.33333333333333,2021-07-10 11:42:14.092206
IND Section 01,7438,3,3,No,0.0,2021-07-10 11:42:14.092214
IND Section 02,7439,3,3,No,0.0,2021-07-10 11:42:14.092229
IND Section 03,7440,3,3,No,0.0,2021-07-10 11:42:14.092236
IND Section 04,7441,3,3,No,0.0,2021-07-10 11:42:14.092243
IND Section 05,7442,3,3,No,0.0,2021-07-10 11:42:14.092251
TUT Section 01,7398,19,20,No,5.0,2021-07-10 11:42:14.092258
TUT Section 02,7399,22,22,No,0.0,2021-07-10 11:42:14.092266
TUT Section 03,7400,10,10,No,0.0,2021-07-10 11:42:14.092309
TUT Section 04,7401,9,10,No,10.0,2021-07-10 11:42:14.092316
TUT Section 05,7402,10,10,No,0.0,2021-07-10 11:42:14.092323
TUT Section 06,7403,10,10,No,0.0,2021-07-10 11:42:14.092331
TUT Section 07,7404,10,10,No,0.0,2021-07-10 11:42:14.092339
IND Section 01,7465,17,18,No,5.555555555555555,2021-07-10 11:42:14.092346
IND Section 02,7466,10,10,No,0.0,2021-07-10 11:42:14.092353
IND Section 03,7467,18,18,No,0.0,2021-07-10 11:42:14.092361
IND Section 04,7468,10,10,No,0.0,2021-07-10 11:42:14.092368
