Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
Lecture Section 01,5632,14,15,No,6.666666666666667,2021-07-10 11:42:44.303528
Lecture Section 02,5633,15,15,No,0.0,2021-07-10 11:42:44.303552
Lecture Section 03,5634,13,15,No,13.333333333333334,2021-07-10 11:42:44.303566
Lecture Section 04,5635,14,15,No,6.666666666666667,2021-07-10 11:42:44.303598
Lecture Section 05,5636,13,15,No,13.333333333333334,2021-07-10 11:42:44.303623
Lecture Section 06,5637,13,15,No,13.333333333333334,2021-07-10 11:42:44.303634
Lecture Section 01,5638,14,15,No,6.666666666666667,2021-07-10 11:42:44.303643
Lecture Section 02,5639,12,15,No,20.0,2021-07-10 11:42:44.303652
Lecture Section 03,5640,11,15,No,26.666666666666668,2021-07-10 11:42:44.303662
Lecture Section 04,5641,11,15,No,26.666666666666668,2021-07-10 11:42:44.303671
Lecture Section 01,5642,14,15,No,6.666666666666667,2021-07-10 11:42:44.303680
SEM Section 01,5717,2,18,No,88.88888888888889,2021-07-10 11:42:44.303688
Lecture Section 01,5643,13,15,No,13.333333333333334,2021-07-10 11:42:44.303696
Lecture Section 02,5644,6,15,No,60.0,2021-07-10 11:42:44.303703
Lecture Section 03,5645,6,15,No,60.0,2021-07-10 11:42:44.303711
Lecture Section 04,5646,1,15,No,93.33333333333333,2021-07-10 11:42:44.303719
Lecture Section 05,5647,12,15,No,20.0,2021-07-10 11:42:44.303726
Lecture Section 01,9141,5,12,No,58.333333333333336,2021-07-10 11:42:44.303734
SEM Section 01,5648,11,15,No,26.666666666666668,2021-07-10 11:42:44.303742
Lecture Section 01,5700,17,18,No,5.555555555555555,2021-07-10 11:42:44.303749
Lecture Section 01,5705,10,18,No,44.44444444444444,2021-07-10 11:42:44.303756
PRC Section 01P,5715,18,18,No,0.0,2021-07-10 11:42:44.303764
SEM Section 01,5747,15,15,No,0.0,2021-07-10 11:42:44.303771
IND Section 01,2128,1,1,No,0.0,2021-07-10 11:42:44.303778
IND Section 02,2129,1,1,No,0.0,2021-07-10 11:42:44.303786
IND Section 01,2130,1,1,No,0.0,2021-07-10 11:42:44.303793
IND Section 02,2131,1,1,No,0.0,2021-07-10 11:42:44.303800
Lecture Section 01,5632,14,15,No,6.666666666666667,2021-07-10 11:50:35.504574
