Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
SEM Section 01,10494,14,14,No,0.0,2021-07-10 11:43:19.961225
Lecture Section 001,6529,15,15,No,0.0,2021-07-10 11:43:19.961248
Discussion Section 01D,6530,15,15,No,0.0,2021-07-10 11:43:19.961258
Lecture Section 01,7664,46,60,No,23.333333333333332,2021-07-10 11:43:19.961267
Lecture Section 01,6532,14,15,No,6.666666666666667,2021-07-10 11:43:19.961277
SEM Section 01,6623,1,18,No,94.44444444444444,2021-07-10 11:43:19.961285
SEM Section 01,6534,10,10,No,0.0,2021-07-10 11:43:19.961293
Lecture Section 01,5433,13,25,No,48.0,2021-07-10 11:43:19.961301
SEM Section 01,10494,14,14,No,0.0,2021-07-10 11:51:02.785069
Lecture Section 001,6529,15,15,No,0.0,2021-07-10 11:51:02.785089
Discussion Section 01D,6530,15,15,No,0.0,2021-07-10 11:51:02.785098
Lecture Section 01,7664,46,60,No,23.333333333333332,2021-07-10 11:51:02.785106
Lecture Section 01,6532,14,15,No,6.666666666666667,2021-07-10 11:51:02.785115
SEM Section 01,6623,1,18,No,94.44444444444444,2021-07-10 11:51:02.785123
SEM Section 01,6534,10,10,No,0.0,2021-07-10 11:51:02.785131
Lecture Section 01,5433,13,25,No,48.0,2021-07-10 11:51:02.785138
SEM Section 01,10494,14,14,No,0.0,2021-07-10 11:59:24.122619
Lecture Section 001,6529,15,15,No,0.0,2021-07-10 11:59:24.122646
Discussion Section 01D,6530,15,15,No,0.0,2021-07-10 11:59:24.122659
Lecture Section 01,7664,46,60,No,23.333333333333332,2021-07-10 11:59:24.122672
Lecture Section 01,6532,14,15,No,6.666666666666667,2021-07-10 11:59:24.122686
SEM Section 01,6623,1,18,No,94.44444444444444,2021-07-10 11:59:24.122700
SEM Section 01,6534,10,10,No,0.0,2021-07-10 11:59:24.122714
Lecture Section 01,5433,13,25,No,48.0,2021-07-10 11:59:24.122724
