Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
Lecture Section 001,6540,23,25,No,8.0,2021-07-10 11:41:51.451660
Lecture Section 002,6541,17,25,No,32.0,2021-07-10 11:41:51.451679
Discussion Section 01D,6542,23,25,No,8.0,2021-07-10 11:41:51.451688
Discussion Section 02D,6543,17,25,No,32.0,2021-07-10 11:41:51.451696
Lecture Section 001,6544,11,15,No,26.666666666666668,2021-07-10 11:41:51.451704
Lecture Section 002,6545,13,15,No,13.333333333333334,2021-07-10 11:41:51.451711
Discussion Section 01D,6546,11,15,No,26.666666666666668,2021-07-10 11:41:51.451719
Discussion Section 02D,6547,13,15,No,13.333333333333334,2021-07-10 11:41:51.451727
Lecture Section 01,6548,3,8,No,62.5,2021-07-10 11:41:51.451736
Lecture Section 02,6549,5,8,No,37.5,2021-07-10 11:41:51.451744
IND Section 01,2104,4,4,No,0.0,2021-07-10 11:41:51.451752
IND Section 02,2105,4,4,No,0.0,2021-07-10 11:41:51.451760
IND Section 03,6550,3,3,No,0.0,2021-07-10 11:41:51.451771
Lecture Section 001,6540,23,25,No,8.0,2021-07-10 11:49:30.734668
Lecture Section 002,6541,17,25,No,32.0,2021-07-10 11:49:30.734688
Discussion Section 01D,6542,23,25,No,8.0,2021-07-10 11:49:30.734696
Discussion Section 02D,6543,17,25,No,32.0,2021-07-10 11:49:30.734705
Lecture Section 001,6544,11,15,No,26.666666666666668,2021-07-10 11:49:30.734712
Lecture Section 002,6545,13,15,No,13.333333333333334,2021-07-10 11:49:30.734719
Discussion Section 01D,6546,11,15,No,26.666666666666668,2021-07-10 11:49:30.734727
Discussion Section 02D,6547,13,15,No,13.333333333333334,2021-07-10 11:49:30.734734
Lecture Section 01,6548,3,8,No,62.5,2021-07-10 11:49:30.734742
Lecture Section 02,6549,5,8,No,37.5,2021-07-10 11:49:30.734750
IND Section 01,2104,4,4,No,0.0,2021-07-10 11:49:30.734757
IND Section 02,2105,4,4,No,0.0,2021-07-10 11:49:30.734764
IND Section 03,6550,3,3,No,0.0,2021-07-10 11:49:30.734772
Lecture Section 001,6540,23,25,No,8.0,2021-07-10 11:57:50.472860
Lecture Section 002,6541,17,25,No,32.0,2021-07-10 11:57:50.472882
Discussion Section 01D,6542,23,25,No,8.0,2021-07-10 11:57:50.472891
Discussion Section 02D,6543,17,25,No,32.0,2021-07-10 11:57:50.472899
Lecture Section 001,6544,11,15,No,26.666666666666668,2021-07-10 11:57:50.472907
Lecture Section 002,6545,13,15,No,13.333333333333334,2021-07-10 11:57:50.472915
Discussion Section 01D,6546,11,15,No,26.666666666666668,2021-07-10 11:57:50.472923
Discussion Section 02D,6547,13,15,No,13.333333333333334,2021-07-10 11:57:50.472931
Lecture Section 01,6548,3,8,No,62.5,2021-07-10 11:57:50.472940
Lecture Section 02,6549,5,8,No,37.5,2021-07-10 11:57:50.472947
IND Section 01,2104,4,4,No,0.0,2021-07-10 11:57:50.472956
IND Section 02,2105,4,4,No,0.0,2021-07-10 11:57:50.472964
IND Section 03,6550,3,3,No,0.0,2021-07-10 11:57:50.472971
