Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
Lecture Section 001,6551,17,18,No,5.555555555555555,2021-07-10 11:42:46.301318
Lecture Section 002,6552,11,18,No,38.88888888888889,2021-07-10 11:42:46.301337
Discussion Section 01D,6553,17,18,No,5.555555555555555,2021-07-10 11:42:46.301345
Discussion Section 02D,6554,11,18,No,38.88888888888889,2021-07-10 11:42:46.301353
Lecture Section 001,6555,13,18,No,27.77777777777778,2021-07-10 11:42:46.301360
Lecture Section 002,6556,16,18,No,11.11111111111111,2021-07-10 11:42:46.301367
Discussion Section 01D,6557,13,18,No,27.77777777777778,2021-07-10 11:42:46.301375
Discussion Section 02D,6558,16,18,No,11.11111111111111,2021-07-10 11:42:46.301382
Lecture Section 01,6559,10,18,No,44.44444444444444,2021-07-10 11:42:46.301391
IND Section 01,2108,4,4,No,0.0,2021-07-10 11:42:46.301399
IND Section 02,2109,4,4,No,0.0,2021-07-10 11:42:46.301406
SEM Section 01,6597,11,12,No,8.333333333333332,2021-07-10 11:42:46.301414
Lecture Section 001,6551,17,18,No,5.555555555555555,2021-07-10 11:50:24.843071
Lecture Section 002,6552,11,18,No,38.88888888888889,2021-07-10 11:50:24.843100
Discussion Section 01D,6553,17,18,No,5.555555555555555,2021-07-10 11:50:24.843109
Discussion Section 02D,6554,11,18,No,38.88888888888889,2021-07-10 11:50:24.843150
Lecture Section 001,6555,13,18,No,27.77777777777778,2021-07-10 11:50:24.843157
Lecture Section 002,6556,16,18,No,11.11111111111111,2021-07-10 11:50:24.843165
Discussion Section 01D,6557,13,18,No,27.77777777777778,2021-07-10 11:50:24.843172
Discussion Section 02D,6558,16,18,No,11.11111111111111,2021-07-10 11:50:24.843179
Lecture Section 01,6559,10,18,No,44.44444444444444,2021-07-10 11:50:24.843189
IND Section 01,2108,4,4,No,0.0,2021-07-10 11:50:24.843199
IND Section 02,2109,4,4,No,0.0,2021-07-10 11:50:24.843210
SEM Section 01,6597,11,12,No,8.333333333333332,2021-07-10 11:50:24.843221
Lecture Section 001,6551,17,18,No,5.555555555555555,2021-07-10 11:58:45.242058
Lecture Section 002,6552,11,18,No,38.88888888888889,2021-07-10 11:58:45.242079
Discussion Section 01D,6553,17,18,No,5.555555555555555,2021-07-10 11:58:45.242089
Discussion Section 02D,6554,11,18,No,38.88888888888889,2021-07-10 11:58:45.242097
Lecture Section 001,6555,13,18,No,27.77777777777778,2021-07-10 11:58:45.242104
Lecture Section 002,6556,16,18,No,11.11111111111111,2021-07-10 11:58:45.242111
Discussion Section 01D,6557,13,18,No,27.77777777777778,2021-07-10 11:58:45.242119
Discussion Section 02D,6558,16,18,No,11.11111111111111,2021-07-10 11:58:45.242126
Lecture Section 01,6559,10,18,No,44.44444444444444,2021-07-10 11:58:45.242135
IND Section 01,2108,4,4,No,0.0,2021-07-10 11:58:45.242143
IND Section 02,2109,4,4,No,0.0,2021-07-10 11:58:45.242150
SEM Section 01,6597,11,12,No,8.333333333333332,2021-07-10 11:58:45.242158
