Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
Lecture Section 01,6959,35,35,No,0.0,2021-07-10 11:43:21.924977
SEM Section 01,6913,15,18,No,16.666666666666664,2021-07-10 11:43:21.925009
SEM Section 01,5753,7,18,No,61.111111111111114,2021-07-10 11:43:21.925022
Lecture Section 01,7368,4,20,No,80.0,2021-07-10 11:43:21.925033
SEM Section 01,5723,17,18,No,5.555555555555555,2021-07-10 11:43:21.925045
SEM Section 02,5724,18,18,No,0.0,2021-07-10 11:43:21.925057
Lecture Section 01,6959,35,35,No,0.0,2021-07-10 11:50:52.044832
SEM Section 01,6913,15,18,No,16.666666666666664,2021-07-10 11:50:52.044852
SEM Section 01,5753,7,18,No,61.111111111111114,2021-07-10 11:50:52.044861
Lecture Section 01,7368,4,20,No,80.0,2021-07-10 11:50:52.044870
SEM Section 01,5723,17,18,No,5.555555555555555,2021-07-10 11:50:52.044877
SEM Section 02,5724,18,18,No,0.0,2021-07-10 11:50:52.044885
Lecture Section 01,6959,35,35,No,0.0,2021-07-10 11:59:11.954064
SEM Section 01,6913,15,18,No,16.666666666666664,2021-07-10 11:59:11.954083
SEM Section 01,5753,7,18,No,61.111111111111114,2021-07-10 11:59:11.954092
Lecture Section 01,7368,4,20,No,80.0,2021-07-10 11:59:11.954099
SEM Section 01,5723,17,18,No,5.555555555555555,2021-07-10 11:59:11.954107
SEM Section 02,5724,18,18,No,0.0,2021-07-10 11:59:11.954114
