Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
Lecture Section 01,5137,15,15,No,0.0,2021-07-10 11:42:14.079406
Lecture Section 02,5138,14,15,No,6.666666666666667,2021-07-10 11:42:14.079427
Lecture Section 03,5139,14,15,No,6.666666666666667,2021-07-10 11:42:14.079437
Lecture Section 04,5140,11,15,No,26.666666666666668,2021-07-10 11:42:14.079445
Lecture Section 01,5141,12,15,No,20.0,2021-07-10 11:42:14.079452
Lecture Section 02,5142,9,15,No,40.0,2021-07-10 11:42:14.079461
Lecture Section 01,5156,15,15,No,0.0,2021-07-10 11:42:14.079469
SEM Section 01,5145,14,15,No,6.666666666666667,2021-07-10 11:42:14.079477
SEM Section 01,5155,10,15,No,33.33333333333333,2021-07-10 11:42:14.079486
Lecture Section 01,5137,15,15,No,0.0,2021-07-10 11:49:42.147522
Lecture Section 02,5138,14,15,No,6.666666666666667,2021-07-10 11:49:42.147543
Lecture Section 03,5139,14,15,No,6.666666666666667,2021-07-10 11:49:42.147552
Lecture Section 04,5140,11,15,No,26.666666666666668,2021-07-10 11:49:42.147560
Lecture Section 01,5141,12,15,No,20.0,2021-07-10 11:49:42.147568
Lecture Section 02,5142,9,15,No,40.0,2021-07-10 11:49:42.147577
Lecture Section 01,5156,15,15,No,0.0,2021-07-10 11:49:42.147585
SEM Section 01,5145,14,15,No,6.666666666666667,2021-07-10 11:49:42.147593
SEM Section 01,5155,10,15,No,33.33333333333333,2021-07-10 11:49:42.147600
Lecture Section 01,5137,15,15,No,0.0,2021-07-10 11:58:00.301258
Lecture Section 02,5138,14,15,No,6.666666666666667,2021-07-10 11:58:00.301277
Lecture Section 03,5139,14,15,No,6.666666666666667,2021-07-10 11:58:00.301286
Lecture Section 04,5140,11,15,No,26.666666666666668,2021-07-10 11:58:00.301293
Lecture Section 01,5141,12,15,No,20.0,2021-07-10 11:58:00.301301
Lecture Section 02,5142,9,15,No,40.0,2021-07-10 11:58:00.301309
Lecture Section 01,5156,15,15,No,0.0,2021-07-10 11:58:00.301317
SEM Section 01,5145,14,15,No,6.666666666666667,2021-07-10 11:58:00.301325
SEM Section 01,5155,10,15,No,33.33333333333333,2021-07-10 11:58:00.301333
