Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
SEM Section 01,4993,0,18,No,100.0,2021-07-10 11:42:43.021360
SEM Section 01,4382,3,18,No,83.33333333333334,2021-07-10 11:42:43.021388
Lecture Section 01,4367,6,30,No,80.0,2021-07-10 11:42:43.021401
Lecture Section 02,4368,22,30,No,26.666666666666668,2021-07-10 11:42:43.021414
Lecture Section 01,4379,13,20,No,35.0,2021-07-10 11:42:43.021425
Lecture Section 01,4372,28,30,No,6.666666666666667,2021-07-10 11:42:43.021437
Lecture Section 01,4453,7,35,No,80.0,2021-07-10 11:42:43.021449
SEM Section 01,4376,0,18,No,100.0,2021-07-10 11:42:43.021461
SEM Section 01,4374,0,18,No,100.0,2021-07-10 11:42:43.021474
Lecture Section 01,4450,9,18,No,50.0,2021-07-10 11:42:43.021486
Lecture Section 01,5695,10,15,No,33.33333333333333,2021-07-10 11:42:43.021499
SEM Section 01,5629,7,12,No,41.66666666666667,2021-07-10 11:42:43.021511
SEM Section 01,6567,2,18,No,88.88888888888889,2021-07-10 11:42:43.021524
SEM Section 01,5737,4,15,No,73.33333333333333,2021-07-10 11:42:43.021537
SEM Section 01,4588,7,14,No,50.0,2021-07-10 11:42:43.021548
Lecture Section 01,7260,21,25,No,16.0,2021-07-10 11:42:43.021560
IND Section 01,4371,1,1,No,0.0,2021-07-10 11:42:43.021572
Lecture Section 01,4381,17,30,No,43.333333333333336,2021-07-10 11:42:43.021583
SEM Section 01,4993,0,18,No,100.0,2021-07-10 11:50:10.372888
SEM Section 01,4382,3,18,No,83.33333333333334,2021-07-10 11:50:10.372921
Lecture Section 01,4367,6,30,No,80.0,2021-07-10 11:50:10.372936
Lecture Section 02,4368,22,30,No,26.666666666666668,2021-07-10 11:50:10.372951
Lecture Section 01,4379,13,20,No,35.0,2021-07-10 11:50:10.372965
Lecture Section 01,4372,28,30,No,6.666666666666667,2021-07-10 11:50:10.372979
Lecture Section 01,4453,7,35,No,80.0,2021-07-10 11:50:10.372993
SEM Section 01,4376,0,18,No,100.0,2021-07-10 11:50:10.373007
SEM Section 01,4374,0,18,No,100.0,2021-07-10 11:50:10.373023
Lecture Section 01,4450,9,18,No,50.0,2021-07-10 11:50:10.373037
Lecture Section 01,5695,10,15,No,33.33333333333333,2021-07-10 11:50:10.373053
SEM Section 01,5629,7,12,No,41.66666666666667,2021-07-10 11:50:10.373067
SEM Section 01,6567,2,18,No,88.88888888888889,2021-07-10 11:50:10.373082
SEM Section 01,5737,4,15,No,73.33333333333333,2021-07-10 11:50:10.373096
SEM Section 01,4588,7,14,No,50.0,2021-07-10 11:50:10.373110
Lecture Section 01,7260,21,25,No,16.0,2021-07-10 11:50:10.373125
IND Section 01,4371,1,1,No,0.0,2021-07-10 11:50:10.373140
Lecture Section 01,4381,17,30,No,43.333333333333336,2021-07-10 11:50:10.373156
SEM Section 01,4993,0,18,No,100.0,2021-07-10 11:58:28.936655
SEM Section 01,4382,3,18,No,83.33333333333334,2021-07-10 11:58:28.936676
Lecture Section 01,4367,6,30,No,80.0,2021-07-10 11:58:28.936685
Lecture Section 02,4368,22,30,No,26.666666666666668,2021-07-10 11:58:28.936695
Lecture Section 01,4379,13,20,No,35.0,2021-07-10 11:58:28.936703
Lecture Section 01,4372,28,30,No,6.666666666666667,2021-07-10 11:58:28.936711
Lecture Section 01,4453,6,35,No,82.85714285714286,2021-07-10 11:58:28.936719
SEM Section 01,4376,0,18,No,100.0,2021-07-10 11:58:28.936727
SEM Section 01,4374,0,18,No,100.0,2021-07-10 11:58:28.936735
Lecture Section 01,4450,9,18,No,50.0,2021-07-10 11:58:28.936771
Lecture Section 01,5695,10,15,No,33.33333333333333,2021-07-10 11:58:28.936779
SEM Section 01,5629,7,12,No,41.66666666666667,2021-07-10 11:58:28.936786
SEM Section 01,6567,2,18,No,88.88888888888889,2021-07-10 11:58:28.936793
SEM Section 01,5737,4,15,No,73.33333333333333,2021-07-10 11:58:28.936801
SEM Section 01,4588,7,14,No,50.0,2021-07-10 11:58:28.936808
Lecture Section 01,7260,21,25,No,16.0,2021-07-10 11:58:28.936815
IND Section 01,4371,1,1,No,0.0,2021-07-10 11:58:28.936822
Lecture Section 01,4381,17,30,No,43.333333333333336,2021-07-10 11:58:28.936829
