Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
Lecture Section 01,5702,0,15,No,100.0,2021-07-10 11:43:51.508571
Lecture Section 01,5761,11,15,No,26.666666666666668,2021-07-10 11:43:51.508603
SEM Section 01,5711,8,12,No,33.33333333333333,2021-07-10 11:43:51.508618
Lecture Section 01,5742,14,18,No,22.22222222222222,2021-07-10 11:43:51.508632
Lecture Section 01,6915,22,25,No,12.0,2021-07-10 11:43:51.508645
SEM Section 01,7027,6,12,No,50.0,2021-07-10 11:43:51.508659
SEM Section 02,7601,0,18,No,100.0,2021-07-10 11:43:51.508673
Lecture Section 01,5702,0,15,No,100.0,2021-07-10 11:51:07.810348
Lecture Section 01,5761,11,15,No,26.666666666666668,2021-07-10 11:51:07.810368
SEM Section 01,5711,8,12,No,33.33333333333333,2021-07-10 11:51:07.810377
Lecture Section 01,5742,14,18,No,22.22222222222222,2021-07-10 11:51:07.810385
Lecture Section 01,6915,22,25,No,12.0,2021-07-10 11:51:07.810392
SEM Section 01,7027,6,12,No,50.0,2021-07-10 11:51:07.810399
SEM Section 02,7601,0,18,No,100.0,2021-07-10 11:51:07.810408
Lecture Section 01,5702,0,15,No,100.0,2021-07-10 11:59:25.742216
Lecture Section 01,5761,11,15,No,26.666666666666668,2021-07-10 11:59:25.742236
SEM Section 01,5711,8,12,No,33.33333333333333,2021-07-10 11:59:25.742245
Lecture Section 01,5742,14,18,No,22.22222222222222,2021-07-10 11:59:25.742253
Lecture Section 01,6915,22,25,No,12.0,2021-07-10 11:59:25.742260
SEM Section 01,7027,6,12,No,50.0,2021-07-10 11:59:25.742268
SEM Section 02,7601,0,18,No,100.0,2021-07-10 11:59:25.742277
