Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
Lecture Section 01,7818,43,50,No,14.000000000000002,2021-07-10 11:43:02.379961
Laboratory Section 01,9518,6,12,No,50.0,2021-07-10 11:43:02.379985
Lecture Section 01,9538,1,4,No,75.0,2021-07-10 11:43:02.379994
Lecture Section 01,9540,6,10,No,40.0,2021-07-10 11:43:02.380013
Lecture Section 01,9562,13,15,No,13.333333333333334,2021-07-10 11:43:02.380021
Lecture Section 01,9556,15,15,No,0.0,2021-07-10 11:43:02.380029
Lecture Section 01,9565,7,10,No,30.0,2021-07-10 11:43:02.380036
Laboratory Section 01,9535,6,8,No,25.0,2021-07-10 11:43:02.380046
Laboratory Section 02,10482,1,2,No,50.0,2021-07-10 11:43:02.380065
Lecture Section 01,9513,5,15,No,66.66666666666666,2021-07-10 11:43:02.380072
Laboratory Section 01,9523,6,10,No,40.0,2021-07-10 11:43:02.380081
Lecture Section 01,9566,7,10,No,30.0,2021-07-10 11:43:02.380089
Lecture Section 01,9551,2,10,No,80.0,2021-07-10 11:43:02.380096
Lecture Section 01,9553,4,5,No,20.0,2021-07-10 11:43:02.380103
Lecture Section 01,7818,43,50,No,14.000000000000002,2021-07-10 11:50:47.280045
Laboratory Section 01,9518,6,12,No,50.0,2021-07-10 11:50:47.280072
Lecture Section 01,9538,1,4,No,75.0,2021-07-10 11:50:47.280081
Lecture Section 01,9540,6,10,No,40.0,2021-07-10 11:50:47.280090
Lecture Section 01,9562,13,15,No,13.333333333333334,2021-07-10 11:50:47.280098
Lecture Section 01,9556,15,15,No,0.0,2021-07-10 11:50:47.280106
Lecture Section 01,9565,7,10,No,30.0,2021-07-10 11:50:47.280114
Laboratory Section 01,9535,6,8,No,25.0,2021-07-10 11:50:47.280123
Laboratory Section 02,10482,1,2,No,50.0,2021-07-10 11:50:47.280132
Lecture Section 01,9513,5,15,No,66.66666666666666,2021-07-10 11:50:47.280139
Laboratory Section 01,9523,6,10,No,40.0,2021-07-10 11:50:47.280148
Lecture Section 01,9566,7,10,No,30.0,2021-07-10 11:50:47.280156
Lecture Section 01,9551,2,10,No,80.0,2021-07-10 11:50:47.280163
Lecture Section 01,9553,4,5,No,20.0,2021-07-10 11:50:47.280170
Lecture Section 01,7818,43,50,No,14.000000000000002,2021-07-10 11:58:35.756731
Laboratory Section 01,9518,6,12,No,50.0,2021-07-10 11:58:35.756753
Lecture Section 01,9538,1,4,No,75.0,2021-07-10 11:58:35.756761
Lecture Section 01,9540,6,10,No,40.0,2021-07-10 11:58:35.756769
Lecture Section 01,9562,13,15,No,13.333333333333334,2021-07-10 11:58:35.756777
Lecture Section 01,9556,15,15,No,0.0,2021-07-10 11:58:35.756785
Lecture Section 01,9565,7,10,No,30.0,2021-07-10 11:58:35.756792
Laboratory Section 01,9535,6,8,No,25.0,2021-07-10 11:58:35.756801
Laboratory Section 02,10482,1,2,No,50.0,2021-07-10 11:58:35.756810
Lecture Section 01,9513,5,15,No,66.66666666666666,2021-07-10 11:58:35.756817
Laboratory Section 01,9523,6,10,No,40.0,2021-07-10 11:58:35.756826
Lecture Section 01,9566,7,10,No,30.0,2021-07-10 11:58:35.756833
Lecture Section 01,9551,2,10,No,80.0,2021-07-10 11:58:35.756840
Lecture Section 01,9553,4,5,No,20.0,2021-07-10 11:58:35.756847
