Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
Lecture Section 01,6988,24,25,No,4.0,2021-07-10 11:44:24.679172
Lecture Section 01,6984,28,35,No,20.0,2021-07-10 11:44:24.679192
Lecture Section 01,7003,26,30,No,13.333333333333334,2021-07-10 11:44:24.679201
SEM Section 01,5721,2,18,No,88.88888888888889,2021-07-10 11:44:24.679209
SEM Section 02,8212,1,18,No,94.44444444444444,2021-07-10 11:44:24.679218
SEM Section 03,10119,2,18,No,88.88888888888889,2021-07-10 11:44:24.679225
SEM Section 01,6625,1,18,No,94.44444444444444,2021-07-10 11:44:24.679233
SEM Section 01,6841,13,14,No,7.142857142857142,2021-07-10 11:44:24.679240
Lecture Section 01,9180,7,14,No,50.0,2021-07-10 11:44:24.679248
SEM Section 01,10133,7,11,No,36.36363636363637,2021-07-10 11:44:24.679256
Lecture Section 01,9143,5,12,No,58.333333333333336,2021-07-10 11:44:24.679263
SEM Section 01,7673,16,18,No,11.11111111111111,2021-07-10 11:44:24.679271
Lecture Section 01,6962,29,35,No,17.142857142857142,2021-07-10 11:44:24.679279
Lecture Section 01,5442,5,25,No,80.0,2021-07-10 11:44:24.679286
Lecture Section 01,5448,15,25,No,40.0,2021-07-10 11:44:24.679294
Lecture Section 01,7248,15,25,No,40.0,2021-07-10 11:44:24.679301
SEM Section 01,7271,1,14,No,92.85714285714286,2021-07-10 11:44:24.679308
Lecture Section 01,5690,7,15,No,53.333333333333336,2021-07-10 11:44:24.679315
IND Section 01,8916,0,1,No,100.0,2021-07-10 11:44:24.679323
Lecture Section 01,6988,24,25,No,4.0,2021-07-10 11:52:52.733297
Lecture Section 01,6984,28,35,No,20.0,2021-07-10 11:52:52.733320
Lecture Section 01,7003,26,30,No,13.333333333333334,2021-07-10 11:52:52.733329
SEM Section 01,5721,2,18,No,88.88888888888889,2021-07-10 11:52:52.733339
SEM Section 02,8212,1,18,No,94.44444444444444,2021-07-10 11:52:52.733346
SEM Section 03,10119,2,18,No,88.88888888888889,2021-07-10 11:52:52.733354
SEM Section 01,6625,1,18,No,94.44444444444444,2021-07-10 11:52:52.733363
SEM Section 01,6841,13,14,No,7.142857142857142,2021-07-10 11:52:52.733373
Lecture Section 01,9180,7,14,No,50.0,2021-07-10 11:52:52.733385
SEM Section 01,10133,7,11,No,36.36363636363637,2021-07-10 11:52:52.733398
Lecture Section 01,9143,5,12,No,58.333333333333336,2021-07-10 11:52:52.733408
SEM Section 01,7673,16,18,No,11.11111111111111,2021-07-10 11:52:52.733416
Lecture Section 01,6962,29,35,No,17.142857142857142,2021-07-10 11:52:52.733424
Lecture Section 01,5442,5,25,No,80.0,2021-07-10 11:52:52.733431
Lecture Section 01,5448,15,25,No,40.0,2021-07-10 11:52:52.733440
Lecture Section 01,7248,15,25,No,40.0,2021-07-10 11:52:52.733448
SEM Section 01,7271,1,14,No,92.85714285714286,2021-07-10 11:52:52.733456
Lecture Section 01,5690,7,15,No,53.333333333333336,2021-07-10 11:52:52.733464
IND Section 01,8916,0,1,No,100.0,2021-07-10 11:52:52.733472
Lecture Section 01,6988,24,25,No,4.0,2021-07-10 12:00:38.206561
Lecture Section 01,6984,28,35,No,20.0,2021-07-10 12:00:38.206584
Lecture Section 01,7003,26,30,No,13.333333333333334,2021-07-10 12:00:38.206593
SEM Section 01,5721,2,18,No,88.88888888888889,2021-07-10 12:00:38.206601
SEM Section 02,8212,1,18,No,94.44444444444444,2021-07-10 12:00:38.206609
SEM Section 03,10119,2,18,No,88.88888888888889,2021-07-10 12:00:38.206617
SEM Section 01,6625,1,18,No,94.44444444444444,2021-07-10 12:00:38.206624
SEM Section 01,6841,13,14,No,7.142857142857142,2021-07-10 12:00:38.206632
Lecture Section 01,9180,7,14,No,50.0,2021-07-10 12:00:38.206640
SEM Section 01,10133,7,11,No,36.36363636363637,2021-07-10 12:00:38.206648
Lecture Section 01,9143,5,12,No,58.333333333333336,2021-07-10 12:00:38.206655
SEM Section 01,7673,16,18,No,11.11111111111111,2021-07-10 12:00:38.206663
Lecture Section 01,6962,29,35,No,17.142857142857142,2021-07-10 12:00:38.206670
Lecture Section 01,5442,5,25,No,80.0,2021-07-10 12:00:38.206678
Lecture Section 01,5448,15,25,No,40.0,2021-07-10 12:00:38.206685
Lecture Section 01,7248,15,25,No,40.0,2021-07-10 12:00:38.206693
SEM Section 01,7271,1,14,No,92.85714285714286,2021-07-10 12:00:38.206700
Lecture Section 01,5690,7,15,No,53.333333333333336,2021-07-10 12:00:38.206708
IND Section 01,8916,0,1,No,100.0,2021-07-10 12:00:38.206716
