Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
SEM Section 01,4684,0,18,No,100.0,2021-07-10 11:43:22.798674
SEM Section 01,4682,0,18,No,100.0,2021-07-10 11:43:22.798695
IND Section 01,1002,2,2,No,0.0,2021-07-10 11:43:22.798704
IND Section 02,1003,2,2,No,0.0,2021-07-10 11:43:22.798712
IND Section 03,1004,2,2,No,0.0,2021-07-10 11:43:22.798719
IND Section 04,1005,2,2,No,0.0,2021-07-10 11:43:22.798727
IND Section 05,1006,2,2,No,0.0,2021-07-10 11:43:22.798734
IND Section 06,1007,3,3,No,0.0,2021-07-10 11:43:22.798741
IND Section 07,1008,2,2,No,0.0,2021-07-10 11:43:22.798749
IND Section 08,1009,2,2,No,0.0,2021-07-10 11:43:22.798755
IND Section 09,1010,2,2,No,0.0,2021-07-10 11:43:22.798764
IND Section 10,1011,2,2,No,0.0,2021-07-10 11:43:22.798771
IND Section 11,1012,2,2,No,0.0,2021-07-10 11:43:22.798779
IND Section 12,1013,2,2,No,0.0,2021-07-10 11:43:22.798786
IND Section 13,1014,2,2,No,0.0,2021-07-10 11:43:22.798794
IND Section 14,1015,2,2,No,0.0,2021-07-10 11:43:22.798801
IND Section 15,1016,2,2,No,0.0,2021-07-10 11:43:22.798808
IND Section 16,1017,2,2,No,0.0,2021-07-10 11:43:22.798815
IND Section 17,1018,2,2,No,0.0,2021-07-10 11:43:22.798823
IND Section 18,1019,2,2,No,0.0,2021-07-10 11:43:22.798830
IND Section 19,1020,2,2,No,0.0,2021-07-10 11:43:22.798837
IND Section 20,1021,2,2,No,0.0,2021-07-10 11:43:22.798844
IND Section 21,1022,2,2,No,0.0,2021-07-10 11:43:22.798851
IND Section 22,1023,2,2,No,0.0,2021-07-10 11:43:22.798858
IND Section 23,1024,2,2,No,0.0,2021-07-10 11:43:22.798866
IND Section 24,1025,2,2,No,0.0,2021-07-10 11:43:22.798873
IND Section 25,1026,2,2,No,0.0,2021-07-10 11:43:22.798880
IND Section 26,1027,2,2,No,0.0,2021-07-10 11:43:22.798887
IND Section 27,1028,2,2,No,0.0,2021-07-10 11:43:22.798894
IND Section 28,1029,2,2,No,0.0,2021-07-10 11:43:22.798901
IND Section 29,1030,2,2,No,0.0,2021-07-10 11:43:22.798908
IND Section 30,1031,2,2,No,0.0,2021-07-10 11:43:22.798915
IND Section 31,1032,2,2,No,0.0,2021-07-10 11:43:22.798922
Lecture Section 01,5955,6,24,No,75.0,2021-07-10 11:43:22.798930
SEM Section 01,4684,0,18,No,100.0,2021-07-10 11:50:54.549157
SEM Section 01,4682,0,18,No,100.0,2021-07-10 11:50:54.549185
IND Section 01,1002,2,2,No,0.0,2021-07-10 11:50:54.549198
IND Section 02,1003,2,2,No,0.0,2021-07-10 11:50:54.549211
IND Section 03,1004,2,2,No,0.0,2021-07-10 11:50:54.549223
IND Section 04,1005,2,2,No,0.0,2021-07-10 11:50:54.549236
IND Section 05,1006,2,2,No,0.0,2021-07-10 11:50:54.549248
IND Section 06,1007,3,3,No,0.0,2021-07-10 11:50:54.549260
IND Section 07,1008,2,2,No,0.0,2021-07-10 11:50:54.549273
IND Section 08,1009,2,2,No,0.0,2021-07-10 11:50:54.549285
IND Section 09,1010,2,2,No,0.0,2021-07-10 11:50:54.549299
IND Section 10,1011,2,2,No,0.0,2021-07-10 11:50:54.549311
IND Section 11,1012,2,2,No,0.0,2021-07-10 11:50:54.549324
IND Section 12,1013,2,2,No,0.0,2021-07-10 11:50:54.549337
IND Section 13,1014,2,2,No,0.0,2021-07-10 11:50:54.549350
IND Section 14,1015,2,2,No,0.0,2021-07-10 11:50:54.549363
IND Section 15,1016,2,2,No,0.0,2021-07-10 11:50:54.549376
IND Section 16,1017,2,2,No,0.0,2021-07-10 11:50:54.549388
IND Section 17,1018,2,2,No,0.0,2021-07-10 11:50:54.549403
IND Section 18,1019,2,2,No,0.0,2021-07-10 11:50:54.549416
IND Section 19,1020,2,2,No,0.0,2021-07-10 11:50:54.549428
IND Section 20,1021,2,2,No,0.0,2021-07-10 11:50:54.549441
IND Section 21,1022,2,2,No,0.0,2021-07-10 11:50:54.549455
IND Section 22,1023,2,2,No,0.0,2021-07-10 11:50:54.549467
IND Section 23,1024,2,2,No,0.0,2021-07-10 11:50:54.549482
IND Section 24,1025,2,2,No,0.0,2021-07-10 11:50:54.549497
IND Section 25,1026,2,2,No,0.0,2021-07-10 11:50:54.549511
IND Section 26,1027,2,2,No,0.0,2021-07-10 11:50:54.549523
IND Section 27,1028,2,2,No,0.0,2021-07-10 11:50:54.549536
IND Section 28,1029,2,2,No,0.0,2021-07-10 11:50:54.549547
IND Section 29,1030,2,2,No,0.0,2021-07-10 11:50:54.549561
IND Section 30,1031,2,2,No,0.0,2021-07-10 11:50:54.549573
IND Section 31,1032,2,2,No,0.0,2021-07-10 11:50:54.549585
Lecture Section 01,5955,6,24,No,75.0,2021-07-10 11:50:54.549600
SEM Section 01,4684,0,18,No,100.0,2021-07-10 11:59:13.721271
SEM Section 01,4682,0,18,No,100.0,2021-07-10 11:59:13.721300
IND Section 01,1002,2,2,No,0.0,2021-07-10 11:59:13.721316
IND Section 02,1003,2,2,No,0.0,2021-07-10 11:59:13.721330
IND Section 03,1004,2,2,No,0.0,2021-07-10 11:59:13.721344
IND Section 04,1005,2,2,No,0.0,2021-07-10 11:59:13.721358
IND Section 05,1006,2,2,No,0.0,2021-07-10 11:59:13.721370
IND Section 06,1007,3,3,No,0.0,2021-07-10 11:59:13.721383
IND Section 07,1008,2,2,No,0.0,2021-07-10 11:59:13.721397
IND Section 08,1009,2,2,No,0.0,2021-07-10 11:59:13.721408
IND Section 09,1010,2,2,No,0.0,2021-07-10 11:59:13.721422
IND Section 10,1011,2,2,No,0.0,2021-07-10 11:59:13.721434
IND Section 11,1012,2,2,No,0.0,2021-07-10 11:59:13.721447
IND Section 12,1013,2,2,No,0.0,2021-07-10 11:59:13.721459
IND Section 13,1014,2,2,No,0.0,2021-07-10 11:59:13.721473
IND Section 14,1015,2,2,No,0.0,2021-07-10 11:59:13.721489
IND Section 15,1016,2,2,No,0.0,2021-07-10 11:59:13.721501
IND Section 16,1017,2,2,No,0.0,2021-07-10 11:59:13.721513
IND Section 17,1018,2,2,No,0.0,2021-07-10 11:59:13.721527
IND Section 18,1019,2,2,No,0.0,2021-07-10 11:59:13.721562
IND Section 19,1020,2,2,No,0.0,2021-07-10 11:59:13.721597
IND Section 20,1021,2,2,No,0.0,2021-07-10 11:59:13.721609
IND Section 21,1022,2,2,No,0.0,2021-07-10 11:59:13.721623
IND Section 22,1023,2,2,No,0.0,2021-07-10 11:59:13.721636
IND Section 23,1024,2,2,No,0.0,2021-07-10 11:59:13.721651
IND Section 24,1025,2,2,No,0.0,2021-07-10 11:59:13.721665
IND Section 25,1026,2,2,No,0.0,2021-07-10 11:59:13.721677
IND Section 26,1027,2,2,No,0.0,2021-07-10 11:59:13.721690
IND Section 27,1028,2,2,No,0.0,2021-07-10 11:59:13.721702
IND Section 28,1029,2,2,No,0.0,2021-07-10 11:59:13.721714
IND Section 29,1030,2,2,No,0.0,2021-07-10 11:59:13.721727
IND Section 30,1031,2,2,No,0.0,2021-07-10 11:59:13.721738
IND Section 31,1032,2,2,No,0.0,2021-07-10 11:59:13.721751
Lecture Section 01,5955,6,24,No,75.0,2021-07-10 11:59:13.721766
