Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
Laboratory Section 01L,4995,25,25,No,0.0,2021-07-10 11:43:50.419888
Laboratory Section 01L,4996,50,50,No,0.0,2021-07-10 11:43:50.419909
Laboratory Section 01L,5003,25,25,No,0.0,2021-07-10 11:43:50.419918
ACT Section 01,5004,29,30,No,3.3333333333333335,2021-07-10 11:43:50.419926
SEM Section 01,4997,15,15,No,0.0,2021-07-10 11:43:50.419934
Lecture Section 01,4998,20,20,No,0.0,2021-07-10 11:43:50.419942
IND Section 01,5001,10,10,No,0.0,2021-07-10 11:43:50.419951
IND Section 01,5002,10,10,No,0.0,2021-07-10 11:43:50.419958
Lecture Section 01,4999,25,25,No,0.0,2021-07-10 11:43:50.419966
SEM Section 01,5000,15,15,No,0.0,2021-07-10 11:43:50.419974
Laboratory Section 01L,4995,25,25,No,0.0,2021-07-10 11:51:21.952201
Laboratory Section 01L,4996,50,50,No,0.0,2021-07-10 11:51:21.952237
Laboratory Section 01L,5003,25,25,No,0.0,2021-07-10 11:51:21.952249
ACT Section 01,5004,29,30,No,3.3333333333333335,2021-07-10 11:51:21.952262
SEM Section 01,4997,15,15,No,0.0,2021-07-10 11:51:21.952274
Lecture Section 01,4998,20,20,No,0.0,2021-07-10 11:51:21.952286
IND Section 01,5001,10,10,No,0.0,2021-07-10 11:51:21.952298
IND Section 01,5002,10,10,No,0.0,2021-07-10 11:51:21.952309
Lecture Section 01,4999,25,25,No,0.0,2021-07-10 11:51:21.954293
SEM Section 01,5000,15,15,No,0.0,2021-07-10 11:51:21.954329
Laboratory Section 01L,4995,25,25,No,0.0,2021-07-10 11:59:40.917601
Laboratory Section 01L,4996,50,50,No,0.0,2021-07-10 11:59:40.917621
Laboratory Section 01L,5003,25,25,No,0.0,2021-07-10 11:59:40.917630
ACT Section 01,5004,29,30,No,3.3333333333333335,2021-07-10 11:59:40.917639
SEM Section 01,4997,15,15,No,0.0,2021-07-10 11:59:40.917647
Lecture Section 01,4998,20,20,No,0.0,2021-07-10 11:59:40.917655
IND Section 01,5001,10,10,No,0.0,2021-07-10 11:59:40.917662
IND Section 01,5002,10,10,No,0.0,2021-07-10 11:59:40.917669
Lecture Section 01,4999,25,25,No,0.0,2021-07-10 11:59:40.917677
SEM Section 01,5000,15,15,No,0.0,2021-07-10 11:59:40.917685
