Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
SEM Section 01,8789,0,18,No,100.0,2021-07-10 11:44:19.022557
Lecture Section 01,4421,29,34,Yes,14.705882352941178,2021-07-10 11:44:19.022577
Lecture Section 01,4409,0,24,No,100.0,2021-07-10 11:44:19.022586
Lecture Section 01,4415,10,33,Yes,69.6969696969697,2021-07-10 11:44:19.022594
TUT Section 01,4418,6,8,No,25.0,2021-07-10 11:44:19.022603
TUT Section 01,4420,3,8,No,62.5,2021-07-10 11:44:19.022610
TUT Section 01,4422,6,8,No,25.0,2021-07-10 11:44:19.022618
Lecture Section 01,4413,20,30,No,33.33333333333333,2021-07-10 11:44:19.022626
Lecture Section 01,4414,3,40,No,92.5,2021-07-10 11:44:19.022634
Lecture Section 01,4416,1,24,No,95.83333333333334,2021-07-10 11:44:19.022641
Lecture Section 01,5452,0,8,No,100.0,2021-07-10 11:44:19.022649
Lecture Section 01,4410,6,24,No,75.0,2021-07-10 11:44:19.022656
Lecture Section 02,4411,6,24,No,75.0,2021-07-10 11:44:19.022664
Lecture Section 03,4412,7,24,No,70.83333333333334,2021-07-10 11:44:19.022671
SEM Section 01,8789,0,18,No,100.0,2021-07-10 11:51:50.154612
Lecture Section 01,4421,29,34,Yes,14.705882352941178,2021-07-10 11:51:50.154642
Lecture Section 01,4409,0,24,No,100.0,2021-07-10 11:51:50.154658
Lecture Section 01,4415,10,33,Yes,69.6969696969697,2021-07-10 11:51:50.154673
TUT Section 01,4418,6,8,No,25.0,2021-07-10 11:51:50.154690
TUT Section 01,4420,3,8,No,62.5,2021-07-10 11:51:50.154704
TUT Section 01,4422,6,8,No,25.0,2021-07-10 11:51:50.154719
Lecture Section 01,4413,20,30,No,33.33333333333333,2021-07-10 11:51:50.154732
Lecture Section 01,4414,3,40,No,92.5,2021-07-10 11:51:50.154748
Lecture Section 01,4416,1,24,No,95.83333333333334,2021-07-10 11:51:50.154762
Lecture Section 01,5452,0,8,No,100.0,2021-07-10 11:51:50.154775
Lecture Section 01,4410,6,24,No,75.0,2021-07-10 11:51:50.154788
Lecture Section 02,4411,6,24,No,75.0,2021-07-10 11:51:50.154801
Lecture Section 03,4412,7,24,No,70.83333333333334,2021-07-10 11:51:50.154814
SEM Section 01,8789,0,18,No,100.0,2021-07-10 12:00:08.637539
Lecture Section 01,4421,29,34,Yes,14.705882352941178,2021-07-10 12:00:08.637570
Lecture Section 01,4409,0,24,No,100.0,2021-07-10 12:00:08.637586
Lecture Section 01,4415,10,33,Yes,69.6969696969697,2021-07-10 12:00:08.637599
TUT Section 01,4418,6,8,No,25.0,2021-07-10 12:00:08.637613
TUT Section 01,4420,3,8,No,62.5,2021-07-10 12:00:08.637626
TUT Section 01,4422,6,8,No,25.0,2021-07-10 12:00:08.637639
Lecture Section 01,4413,20,30,No,33.33333333333333,2021-07-10 12:00:08.637651
Lecture Section 01,4414,3,40,No,92.5,2021-07-10 12:00:08.637665
Lecture Section 01,4416,1,24,No,95.83333333333334,2021-07-10 12:00:08.637679
Lecture Section 01,5452,0,8,No,100.0,2021-07-10 12:00:08.637693
Lecture Section 01,4410,6,24,No,75.0,2021-07-10 12:00:08.637705
Lecture Section 02,4411,6,24,No,75.0,2021-07-10 12:00:08.637720
Lecture Section 03,4412,7,24,No,70.83333333333334,2021-07-10 12:00:08.637732
