Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
IND Section 01,5543,4,4,No,0.0,2021-07-10 11:45:23.676344
IND Section 02,5544,4,4,No,0.0,2021-07-10 11:45:23.676373
IND Section 03,5545,4,4,No,0.0,2021-07-10 11:45:23.676385
IND Section 04,5546,4,4,No,0.0,2021-07-10 11:45:23.676393
IND Section 05,5547,2,2,No,0.0,2021-07-10 11:45:23.676400
IND Section 06,5548,2,2,No,0.0,2021-07-10 11:45:23.676408
IND Section 07,5549,2,2,No,0.0,2021-07-10 11:45:23.676415
IND Section 08,5550,2,2,No,0.0,2021-07-10 11:45:23.676424
IND Section 09,5551,2,2,No,0.0,2021-07-10 11:45:23.676434
IND Section 10,5552,2,2,No,0.0,2021-07-10 11:45:23.676443
IND Section 11,5553,2,2,No,0.0,2021-07-10 11:45:23.676451
IND Section 12,5554,2,2,No,0.0,2021-07-10 11:45:23.676458
IND Section 13,5555,2,2,No,0.0,2021-07-10 11:45:23.676465
IND Section 14,5556,2,2,No,0.0,2021-07-10 11:45:23.676471
IND Section 01,5543,4,4,No,0.0,2021-07-10 11:52:42.167101
IND Section 02,5544,4,4,No,0.0,2021-07-10 11:52:42.167130
IND Section 03,5545,4,4,No,0.0,2021-07-10 11:52:42.167143
IND Section 04,5546,4,4,No,0.0,2021-07-10 11:52:42.167157
IND Section 05,5547,2,2,No,0.0,2021-07-10 11:52:42.167170
IND Section 06,5548,2,2,No,0.0,2021-07-10 11:52:42.167183
IND Section 07,5549,2,2,No,0.0,2021-07-10 11:52:42.167196
IND Section 08,5550,2,2,No,0.0,2021-07-10 11:52:42.167208
IND Section 09,5551,2,2,No,0.0,2021-07-10 11:52:42.167221
IND Section 10,5552,2,2,No,0.0,2021-07-10 11:52:42.167234
IND Section 11,5553,2,2,No,0.0,2021-07-10 11:52:42.167247
IND Section 12,5554,2,2,No,0.0,2021-07-10 11:52:42.167260
IND Section 13,5555,2,2,No,0.0,2021-07-10 11:52:42.167271
IND Section 14,5556,2,2,No,0.0,2021-07-10 11:52:42.167283
IND Section 01,5543,4,4,No,0.0,2021-07-10 12:00:55.062546
IND Section 02,5544,4,4,No,0.0,2021-07-10 12:00:55.062600
IND Section 03,5545,4,4,No,0.0,2021-07-10 12:00:55.062651
IND Section 04,5546,4,4,No,0.0,2021-07-10 12:00:55.062674
IND Section 05,5547,2,2,No,0.0,2021-07-10 12:00:55.062686
IND Section 06,5548,2,2,No,0.0,2021-07-10 12:00:55.062696
IND Section 07,5549,2,2,No,0.0,2021-07-10 12:00:55.062707
IND Section 08,5550,2,2,No,0.0,2021-07-10 12:00:55.062717
IND Section 09,5551,2,2,No,0.0,2021-07-10 12:00:55.062730
IND Section 10,5552,2,2,No,0.0,2021-07-10 12:00:55.062741
IND Section 11,5553,2,2,No,0.0,2021-07-10 12:00:55.062753
IND Section 12,5554,2,2,No,0.0,2021-07-10 12:00:55.062776
IND Section 13,5555,2,2,No,0.0,2021-07-10 12:00:55.062788
IND Section 14,5556,2,2,No,0.0,2021-07-10 12:00:55.062833
