Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
IND Section 01,1381,1,1,No,0.0,2021-07-10 11:43:50.969682
Lecture Section 01,5583,0,14,No,100.0,2021-07-10 11:43:50.969718
IND Section 01,1382,2,2,No,0.0,2021-07-10 11:43:50.969732
IND Section 02,1383,2,2,No,0.0,2021-07-10 11:43:50.969744
IND Section 03,1384,2,2,No,0.0,2021-07-10 11:43:50.969754
IND Section 04,1385,2,2,No,0.0,2021-07-10 11:43:50.969764
IND Section 05,1386,2,2,No,0.0,2021-07-10 11:43:50.969775
IND Section 06,1387,2,2,No,0.0,2021-07-10 11:43:50.969786
IND Section 07,1388,2,2,No,0.0,2021-07-10 11:43:50.969798
IND Section 08,1389,2,2,No,0.0,2021-07-10 11:43:50.969809
IND Section 09,1390,2,2,No,0.0,2021-07-10 11:43:50.969821
IND Section 10,1391,2,2,No,0.0,2021-07-10 11:43:50.969831
IND Section 11,1392,2,2,No,0.0,2021-07-10 11:43:50.969840
IND Section 12,1393,2,2,No,0.0,2021-07-10 11:43:50.969852
IND Section 13,1394,2,2,No,0.0,2021-07-10 11:43:50.969863
IND Section 14,1395,2,2,No,0.0,2021-07-10 11:43:50.969876
IND Section 15,1396,2,2,No,0.0,2021-07-10 11:43:50.969888
IND Section 16,1397,2,2,No,0.0,2021-07-10 11:43:50.969899
IND Section 17,1398,2,2,No,0.0,2021-07-10 11:43:50.969912
IND Section 18,1399,2,2,No,0.0,2021-07-10 11:43:50.969924
IND Section 19,1400,2,2,No,0.0,2021-07-10 11:43:50.969936
IND Section 20,1401,2,2,No,0.0,2021-07-10 11:43:50.969949
IND Section 21,1402,2,2,No,0.0,2021-07-10 11:43:50.969963
IND Section 22,1403,1,1,No,0.0,2021-07-10 11:43:50.969976
IND Section 23,1404,2,2,No,0.0,2021-07-10 11:43:50.969990
IND Section 24,1405,2,2,No,0.0,2021-07-10 11:43:50.970004
IND Section 25,1406,2,2,No,0.0,2021-07-10 11:43:50.970016
IND Section 40,1407,2,2,No,0.0,2021-07-10 11:43:50.970031
IND Section 41,1408,2,2,No,0.0,2021-07-10 11:43:50.970045
IND Section 01,1409,2,2,No,0.0,2021-07-10 11:43:50.970059
IND Section 02,1410,2,2,No,0.0,2021-07-10 11:43:50.970072
IND Section 01,1339,2,2,No,0.0,2021-07-10 11:43:50.970085
IND Section 02,1340,2,2,No,0.0,2021-07-10 11:43:50.970098
IND Section 03,1341,2,2,No,0.0,2021-07-10 11:43:50.970112
IND Section 04,1342,1,2,No,50.0,2021-07-10 11:43:50.970124
IND Section 05,1343,2,2,No,0.0,2021-07-10 11:43:50.970135
IND Section 06,1344,2,2,No,0.0,2021-07-10 11:43:50.970149
IND Section 07,1345,2,2,No,0.0,2021-07-10 11:43:50.970162
IND Section 08,1346,3,3,No,0.0,2021-07-10 11:43:50.970177
IND Section 09,1347,2,2,No,0.0,2021-07-10 11:43:50.970188
IND Section 10,1348,1,1,No,0.0,2021-07-10 11:43:50.970201
IND Section 11,1349,2,2,No,0.0,2021-07-10 11:43:50.970214
IND Section 12,1350,2,2,No,0.0,2021-07-10 11:43:50.970227
IND Section 13,1351,2,2,No,0.0,2021-07-10 11:43:50.970239
IND Section 14,1352,2,2,No,0.0,2021-07-10 11:43:50.970251
IND Section 15,1353,2,2,No,0.0,2021-07-10 11:43:50.970262
IND Section 16,1354,2,2,No,0.0,2021-07-10 11:43:50.970273
IND Section 17,1355,2,2,No,0.0,2021-07-10 11:43:50.970285
IND Section 18,1356,2,2,No,0.0,2021-07-10 11:43:50.970295
IND Section 19,1357,2,2,No,0.0,2021-07-10 11:43:50.970307
IND Section 20,1358,2,2,No,0.0,2021-07-10 11:43:50.970317
IND Section 21,1359,2,2,No,0.0,2021-07-10 11:43:50.970325
IND Section 22,1360,2,2,No,0.0,2021-07-10 11:43:50.970333
IND Section 23,1361,2,2,No,0.0,2021-07-10 11:43:50.970341
IND Section 24,1362,2,2,No,0.0,2021-07-10 11:43:50.970349
IND Section 25,1363,3,3,No,0.0,2021-07-10 11:43:50.970357
IND Section 26,1364,2,2,No,0.0,2021-07-10 11:43:50.970365
IND Section 27,1365,2,2,No,0.0,2021-07-10 11:43:50.970372
IND Section 40,1366,1,1,No,0.0,2021-07-10 11:43:50.970380
IND Section 41,1367,3,3,No,0.0,2021-07-10 11:43:50.970388
IND Section 42,1368,1,1,No,0.0,2021-07-10 11:43:50.970396
IND Section 43,1369,3,3,No,0.0,2021-07-10 11:43:50.970403
IND Section 44,1370,2,2,No,0.0,2021-07-10 11:43:50.970411
IND Section 45,1371,2,2,No,0.0,2021-07-10 11:43:50.970419
IND Section 46,1372,2,2,No,0.0,2021-07-10 11:43:50.970427
IND Section 47,1373,2,2,No,0.0,2021-07-10 11:43:50.970435
IND Section 48,1374,2,2,No,0.0,2021-07-10 11:43:50.970444
IND Section 49,1375,1,1,No,0.0,2021-07-10 11:43:50.970451
IND Section 01,1337,2,2,No,0.0,2021-07-10 11:43:50.970460
IND Section 02,1338,2,2,No,0.0,2021-07-10 11:43:50.970469
IND Section 01,1376,1,1,No,0.0,2021-07-10 11:43:50.970477
IND Section 02,1377,1,1,No,0.0,2021-07-10 11:43:50.970484
IND Section 03,1378,2,2,No,0.0,2021-07-10 11:43:50.970491
IND Section 04,1379,2,2,No,0.0,2021-07-10 11:43:50.970499
IND Section 01,1381,1,1,No,0.0,2021-07-10 11:51:10.757612
Lecture Section 01,5583,0,14,No,100.0,2021-07-10 11:51:10.757641
IND Section 01,1382,2,2,No,0.0,2021-07-10 11:51:10.757651
IND Section 02,1383,2,2,No,0.0,2021-07-10 11:51:10.757661
IND Section 03,1384,2,2,No,0.0,2021-07-10 11:51:10.757669
IND Section 04,1385,2,2,No,0.0,2021-07-10 11:51:10.757678
IND Section 05,1386,2,2,No,0.0,2021-07-10 11:51:10.757687
IND Section 06,1387,2,2,No,0.0,2021-07-10 11:51:10.757695
IND Section 07,1388,2,2,No,0.0,2021-07-10 11:51:10.757704
IND Section 08,1389,2,2,No,0.0,2021-07-10 11:51:10.757713
IND Section 09,1390,2,2,No,0.0,2021-07-10 11:51:10.757724
IND Section 10,1391,2,2,No,0.0,2021-07-10 11:51:10.757733
IND Section 11,1392,2,2,No,0.0,2021-07-10 11:51:10.757742
IND Section 12,1393,2,2,No,0.0,2021-07-10 11:51:10.757751
IND Section 13,1394,2,2,No,0.0,2021-07-10 11:51:10.757760
IND Section 14,1395,2,2,No,0.0,2021-07-10 11:51:10.757769
IND Section 15,1396,2,2,No,0.0,2021-07-10 11:51:10.757777
IND Section 16,1397,2,2,No,0.0,2021-07-10 11:51:10.757786
IND Section 17,1398,2,2,No,0.0,2021-07-10 11:51:10.757795
IND Section 18,1399,2,2,No,0.0,2021-07-10 11:51:10.757803
IND Section 19,1400,2,2,No,0.0,2021-07-10 11:51:10.757813
