Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
SEM Section 05,7280,18,18,No,0.0,2021-07-10 11:44:19.948474
Lecture Section 01,4439,33,35,No,5.714285714285714,2021-07-10 11:44:19.948507
SEM Section 03,4442,12,12,No,0.0,2021-07-10 11:44:19.948522
Lecture Section 01,7419,35,40,No,12.5,2021-07-10 11:44:19.948536
SEM Section 01,4471,0,18,No,100.0,2021-07-10 11:44:19.948551
Lecture Section 01,4443,10,12,No,16.666666666666664,2021-07-10 11:44:19.948566
Lecture Section 03,4445,1,12,No,91.66666666666666,2021-07-10 11:44:19.948581
Lecture Section 01,4447,22,35,No,37.142857142857146,2021-07-10 11:44:19.948595
SEM Section 01,4451,11,18,No,38.88888888888889,2021-07-10 11:44:19.948608
Lecture Section 01,4452,7,35,No,80.0,2021-07-10 11:44:19.948622
Lecture Section 01,4455,23,35,No,34.285714285714285,2021-07-10 11:44:19.948637
Lecture Section 01,4456,10,35,No,71.42857142857143,2021-07-10 11:44:19.948650
Lecture Section 01,4449,9,18,No,50.0,2021-07-10 11:44:19.948666
Lecture Section 01,4466,14,35,No,60.0,2021-07-10 11:44:19.948679
Lecture Section 01,4463,0,15,No,100.0,2021-07-10 11:44:19.948694
IND Section 01,10314,5,5,No,0.0,2021-07-10 11:44:19.948710
IND Section 02,10315,5,5,No,0.0,2021-07-10 11:44:19.948723
IND Section 01,10316,5,5,No,0.0,2021-07-10 11:44:19.948736
IND Section 02,10317,5,5,No,0.0,2021-07-10 11:44:19.948751
IND Section 03,10318,5,5,No,0.0,2021-07-10 11:44:19.948766
Lecture Section 01,4461,9,40,No,77.5,2021-07-10 11:44:19.948780
Lecture Section 01,4978,0,30,No,100.0,2021-07-10 11:44:19.948794
Lecture Section 01,6409,5,18,No,72.22222222222221,2021-07-10 11:44:19.948808
SEM Section 05,7280,18,18,No,0.0,2021-07-10 11:51:40.159919
Lecture Section 01,4439,33,35,No,5.714285714285714,2021-07-10 11:51:40.159952
SEM Section 03,4442,12,12,No,0.0,2021-07-10 11:51:40.159965
Lecture Section 01,7419,35,40,No,12.5,2021-07-10 11:51:40.159978
SEM Section 01,4471,0,18,No,100.0,2021-07-10 11:51:40.159993
Lecture Section 01,4443,10,12,No,16.666666666666664,2021-07-10 11:51:40.160007
Lecture Section 03,4445,1,12,No,91.66666666666666,2021-07-10 11:51:40.160020
Lecture Section 01,4447,22,35,No,37.142857142857146,2021-07-10 11:51:40.160033
SEM Section 01,4451,11,18,No,38.88888888888889,2021-07-10 11:51:40.160046
Lecture Section 01,4452,7,35,No,80.0,2021-07-10 11:51:40.160060
Lecture Section 01,4455,23,35,No,34.285714285714285,2021-07-10 11:51:40.160074
Lecture Section 01,4456,10,35,No,71.42857142857143,2021-07-10 11:51:40.160087
Lecture Section 01,4449,9,18,No,50.0,2021-07-10 11:51:40.160100
Lecture Section 01,4466,14,35,No,60.0,2021-07-10 11:51:40.160113
Lecture Section 01,4463,0,15,No,100.0,2021-07-10 11:51:40.160126
IND Section 01,10314,5,5,No,0.0,2021-07-10 11:51:40.160140
IND Section 02,10315,5,5,No,0.0,2021-07-10 11:51:40.160152
IND Section 01,10316,5,5,No,0.0,2021-07-10 11:51:40.160165
IND Section 02,10317,5,5,No,0.0,2021-07-10 11:51:40.160178
IND Section 03,10318,5,5,No,0.0,2021-07-10 11:51:40.160191
Lecture Section 01,4461,9,40,No,77.5,2021-07-10 11:51:40.160205
Lecture Section 01,4978,0,30,No,100.0,2021-07-10 11:51:40.160218
Lecture Section 01,6409,5,18,No,72.22222222222221,2021-07-10 11:51:40.160232
SEM Section 05,7280,18,18,No,0.0,2021-07-10 11:59:57.392027
Lecture Section 01,4439,33,35,No,5.714285714285714,2021-07-10 11:59:57.392046
SEM Section 03,4442,12,12,No,0.0,2021-07-10 11:59:57.392055
Lecture Section 01,7419,35,40,No,12.5,2021-07-10 11:59:57.392063
SEM Section 01,4471,0,18,No,100.0,2021-07-10 11:59:57.392071
Lecture Section 01,4443,10,12,No,16.666666666666664,2021-07-10 11:59:57.392079
Lecture Section 03,4445,1,12,No,91.66666666666666,2021-07-10 11:59:57.392087
Lecture Section 01,4447,22,35,No,37.142857142857146,2021-07-10 11:59:57.392095
SEM Section 01,4451,11,18,No,38.88888888888889,2021-07-10 11:59:57.392103
Lecture Section 01,4452,6,35,No,82.85714285714286,2021-07-10 11:59:57.392110
Lecture Section 01,4455,23,35,No,34.285714285714285,2021-07-10 11:59:57.392121
Lecture Section 01,4456,10,35,No,71.42857142857143,2021-07-10 11:59:57.392132
Lecture Section 01,4449,9,18,No,50.0,2021-07-10 11:59:57.392142
Lecture Section 01,4466,14,35,No,60.0,2021-07-10 11:59:57.392149
Lecture Section 01,4463,0,15,No,100.0,2021-07-10 11:59:57.392157
IND Section 01,10314,5,5,No,0.0,2021-07-10 11:59:57.392165
IND Section 02,10315,5,5,No,0.0,2021-07-10 11:59:57.392172
IND Section 01,10316,5,5,No,0.0,2021-07-10 11:59:57.392179
IND Section 02,10317,5,5,No,0.0,2021-07-10 11:59:57.392186
IND Section 03,10318,5,5,No,0.0,2021-07-10 11:59:57.392193
Lecture Section 01,4461,9,40,No,77.5,2021-07-10 11:59:57.392200
Lecture Section 01,4978,0,30,No,100.0,2021-07-10 11:59:57.392209
Lecture Section 01,6409,5,18,No,72.22222222222221,2021-07-10 11:59:57.392216
