Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
Lecture Section 01,7448,0,18,No,100.0,2021-07-10 11:43:48.434842
SEM Section 01,6657,0,13,No,100.0,2021-07-10 11:43:48.434865
SEM Section 01,5772,6,12,No,50.0,2021-07-10 11:43:48.434873
SEM Section 01,5776,3,12,No,75.0,2021-07-10 11:43:48.434882
SEM Section 01,5778,9,12,No,25.0,2021-07-10 11:43:48.434890
Lecture Section 01,5780,0,25,No,100.0,2021-07-10 11:43:48.434898
Lecture Section 01,5790,15,20,No,25.0,2021-07-10 11:43:48.434907
SEM Section 70,5788,9,12,No,25.0,2021-07-10 11:43:48.434915
SEM Section 80,5789,4,15,No,73.33333333333333,2021-07-10 11:43:48.434923
IND Section 01,1447,0,1,No,100.0,2021-07-10 11:43:48.434931
IND Section 02,1448,1,1,No,0.0,2021-07-10 11:43:48.434941
IND Section 03,1449,1,1,No,0.0,2021-07-10 11:43:48.434949
IND Section 04,1450,1,1,No,0.0,2021-07-10 11:43:48.434956
IND Section 05,1451,1,1,No,0.0,2021-07-10 11:43:48.434964
IND Section 06,1452,1,1,No,0.0,2021-07-10 11:43:48.434971
IND Section 07,1453,1,1,No,0.0,2021-07-10 11:43:48.434979
IND Section 08,1454,1,1,No,0.0,2021-07-10 11:43:48.434987
SEM Section 01,5792,2,6,No,66.66666666666666,2021-07-10 11:43:48.434995
Lecture Section 01,5786,4,15,No,73.33333333333333,2021-07-10 11:43:48.435003
Lecture Section 01,7448,0,18,No,100.0,2021-07-10 11:51:15.855035
SEM Section 01,6657,0,13,No,100.0,2021-07-10 11:51:15.855055
SEM Section 01,5772,6,12,No,50.0,2021-07-10 11:51:15.855064
SEM Section 01,5776,3,12,No,75.0,2021-07-10 11:51:15.855072
SEM Section 01,5778,9,12,No,25.0,2021-07-10 11:51:15.855080
Lecture Section 01,5780,0,25,No,100.0,2021-07-10 11:51:15.855088
Lecture Section 01,5790,15,20,No,25.0,2021-07-10 11:51:15.855096
SEM Section 70,5788,9,12,No,25.0,2021-07-10 11:51:15.855104
SEM Section 80,5789,4,15,No,73.33333333333333,2021-07-10 11:51:15.855111
IND Section 01,1447,0,1,No,100.0,2021-07-10 11:51:15.855119
IND Section 02,1448,1,1,No,0.0,2021-07-10 11:51:15.855126
IND Section 03,1449,1,1,No,0.0,2021-07-10 11:51:15.855133
IND Section 04,1450,1,1,No,0.0,2021-07-10 11:51:15.855140
IND Section 05,1451,1,1,No,0.0,2021-07-10 11:51:15.855148
IND Section 06,1452,1,1,No,0.0,2021-07-10 11:51:15.855155
IND Section 07,1453,1,1,No,0.0,2021-07-10 11:51:15.855162
IND Section 08,1454,1,1,No,0.0,2021-07-10 11:51:15.855169
SEM Section 01,5792,2,6,No,66.66666666666666,2021-07-10 11:51:15.855176
Lecture Section 01,5786,4,15,No,73.33333333333333,2021-07-10 11:51:15.855184
Lecture Section 01,7448,0,18,No,100.0,2021-07-10 11:59:38.214234
SEM Section 01,6657,0,13,No,100.0,2021-07-10 11:59:38.214252
SEM Section 01,5772,6,12,No,50.0,2021-07-10 11:59:38.214260
SEM Section 01,5776,3,12,No,75.0,2021-07-10 11:59:38.214268
SEM Section 01,5778,9,12,No,25.0,2021-07-10 11:59:38.214276
Lecture Section 01,5780,0,25,No,100.0,2021-07-10 11:59:38.214284
Lecture Section 01,5790,15,20,No,25.0,2021-07-10 11:59:38.214292
SEM Section 70,5788,9,12,No,25.0,2021-07-10 11:59:38.214299
SEM Section 80,5789,4,15,No,73.33333333333333,2021-07-10 11:59:38.214307
IND Section 01,1447,0,1,No,100.0,2021-07-10 11:59:38.214314
IND Section 02,1448,1,1,No,0.0,2021-07-10 11:59:38.214323
IND Section 03,1449,1,1,No,0.0,2021-07-10 11:59:38.214330
IND Section 04,1450,1,1,No,0.0,2021-07-10 11:59:38.214337
IND Section 05,1451,1,1,No,0.0,2021-07-10 11:59:38.214344
IND Section 06,1452,1,1,No,0.0,2021-07-10 11:59:38.214351
IND Section 07,1453,1,1,No,0.0,2021-07-10 11:59:38.214359
IND Section 08,1454,1,1,No,0.0,2021-07-10 11:59:38.214366
SEM Section 01,5792,2,6,No,66.66666666666666,2021-07-10 11:59:38.214373
Lecture Section 01,5786,4,15,No,73.33333333333333,2021-07-10 11:59:38.214381
