Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
Lecture Section 01,5649,17,18,No,5.555555555555555,2021-07-10 11:45:18.236841
Lecture Section 01,5693,7,18,No,61.111111111111114,2021-07-10 11:45:18.236862
SEM Section 01,5692,15,18,No,16.666666666666664,2021-07-10 11:45:18.236871
SEM Section 01,5752,7,18,No,61.111111111111114,2021-07-10 11:45:18.236878
PRC Section 01P,5756,16,18,No,11.11111111111111,2021-07-10 11:45:18.236886
IND Section 01,2135,1,1,No,0.0,2021-07-10 11:45:18.236893
IND Section 02,2136,1,1,No,0.0,2021-07-10 11:45:18.236901
SEM Section 01,5716,17,18,No,5.555555555555555,2021-07-10 11:45:18.236908
IND Section 01,2137,1,1,No,0.0,2021-07-10 11:45:18.236915
Lecture Section 01,5649,17,18,No,5.555555555555555,2021-07-10 11:52:42.841084
Lecture Section 01,5693,7,18,No,61.111111111111114,2021-07-10 11:52:42.841111
SEM Section 01,5692,15,18,No,16.666666666666664,2021-07-10 11:52:42.841124
SEM Section 01,5752,7,18,No,61.111111111111114,2021-07-10 11:52:42.841137
PRC Section 01P,5756,16,18,No,11.11111111111111,2021-07-10 11:52:42.841150
IND Section 01,2135,1,1,No,0.0,2021-07-10 11:52:42.841182
IND Section 02,2136,1,1,No,0.0,2021-07-10 11:52:42.841195
SEM Section 01,5716,17,18,No,5.555555555555555,2021-07-10 11:52:42.841204
IND Section 01,2137,1,1,No,0.0,2021-07-10 11:52:42.841212
Lecture Section 01,5649,17,18,No,5.555555555555555,2021-07-10 12:01:07.961261
Lecture Section 01,5693,7,18,No,61.111111111111114,2021-07-10 12:01:07.961330
SEM Section 01,5692,15,18,No,16.666666666666664,2021-07-10 12:01:07.961346
SEM Section 01,5752,7,18,No,61.111111111111114,2021-07-10 12:01:07.961360
PRC Section 01P,5756,16,18,No,11.11111111111111,2021-07-10 12:01:07.961374
IND Section 01,2135,1,1,No,0.0,2021-07-10 12:01:07.961390
IND Section 02,2136,1,1,No,0.0,2021-07-10 12:01:07.961404
SEM Section 01,5716,17,18,No,5.555555555555555,2021-07-10 12:01:07.961416
IND Section 01,2137,1,1,No,0.0,2021-07-10 12:01:07.961428
