Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
SEM Section 01,4510,15,15,No,0.0,2021-07-10 11:46:18.430511
Lecture Section 001,4483,300,338,No,11.242603550295858,2021-07-10 11:46:18.430532
Discussion Section 01D,4484,11,13,Yes,15.384615384615385,2021-07-10 11:46:18.430541
Discussion Section 02D,4485,10,13,Yes,23.076923076923077,2021-07-10 11:46:18.430549
Discussion Section 03D,4486,11,13,Yes,15.384615384615385,2021-07-10 11:46:18.430557
Discussion Section 04D,4487,11,13,Yes,15.384615384615385,2021-07-10 11:46:18.430565
Discussion Section 05D,4488,11,13,Yes,15.384615384615385,2021-07-10 11:46:18.430572
Discussion Section 06D,4489,11,13,Yes,15.384615384615385,2021-07-10 11:46:18.430580
Discussion Section 07D,4490,10,13,Yes,23.076923076923077,2021-07-10 11:46:18.430588
Discussion Section 08D,4491,12,13,Yes,7.6923076923076925,2021-07-10 11:46:18.430595
Discussion Section 09D,4492,11,13,Yes,15.384615384615385,2021-07-10 11:46:18.430603
Discussion Section 10D,4493,13,13,Yes,0.0,2021-07-10 11:46:18.430610
Discussion Section 11D,4494,12,13,Yes,7.6923076923076925,2021-07-10 11:46:18.430618
Discussion Section 12D,4495,13,13,Yes,0.0,2021-07-10 11:46:18.430625
Discussion Section 13D,4496,9,13,Yes,30.76923076923077,2021-07-10 11:46:18.430633
Discussion Section 14D,4497,11,13,Yes,15.384615384615385,2021-07-10 11:46:18.430640
Discussion Section 15D,4498,10,13,Yes,23.076923076923077,2021-07-10 11:46:18.430648
Discussion Section 16D,4499,13,13,Yes,0.0,2021-07-10 11:46:18.430655
Discussion Section 17D,4500,11,13,Yes,15.384615384615385,2021-07-10 11:46:18.430663
Discussion Section 18D,4501,12,13,Yes,7.6923076923076925,2021-07-10 11:46:18.430670
Discussion Section 19D,4502,13,13,Yes,0.0,2021-07-10 11:46:18.430677
Discussion Section 20D,4503,11,13,Yes,15.384615384615385,2021-07-10 11:46:18.430685
