Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
SEM Section 01,6927,18,18,No,0.0,2021-07-10 11:44:20.626488
SEM Section 04,7281,18,18,No,0.0,2021-07-10 11:44:20.626517
Lecture Section 01,7421,35,40,No,12.5,2021-07-10 11:44:20.626532
SEM Section 01,4199,5,18,No,72.22222222222221,2021-07-10 11:44:20.626546
Lecture Section 01,7021,84,100,No,16.0,2021-07-10 11:44:20.626560
Lecture Section 001,7820,140,156,No,10.256410256410255,2021-07-10 11:44:20.626574
Discussion Section 01D,7821,12,17,No,29.411764705882355,2021-07-10 11:44:20.626588
Discussion Section 02D,7822,15,17,No,11.76470588235294,2021-07-10 11:44:20.626602
Discussion Section 03D,7823,16,17,No,5.88235294117647,2021-07-10 11:44:20.626617
Discussion Section 04D,7824,15,17,No,11.76470588235294,2021-07-10 11:44:20.626630
Discussion Section 05D,7825,15,17,No,11.76470588235294,2021-07-10 11:44:20.626646
Discussion Section 06D,7826,16,17,No,5.88235294117647,2021-07-10 11:44:20.626661
Discussion Section 07D,7827,15,16,No,6.25,2021-07-10 11:44:20.626675
Discussion Section 08D,7828,16,16,No,0.0,2021-07-10 11:44:20.626688
Discussion Section 09D,7829,16,16,No,0.0,2021-07-10 11:44:20.626702
Discussion Section 10D,7830,13,15,No,13.333333333333334,2021-07-10 11:44:20.626716
Lecture Section 01,6996,23,35,No,34.285714285714285,2021-07-10 11:44:20.626729
Lecture Section 01,7909,22,45,No,51.11111111111111,2021-07-10 11:44:20.626742
Lecture Section 001,6398,48,60,No,20.0,2021-07-10 11:44:20.626759
Discussion Section 02D,6399,15,15,No,0.0,2021-07-10 11:44:20.626773
Discussion Section 03D,6400,13,15,No,13.333333333333334,2021-07-10 11:44:20.626788
Discussion Section 04D,6401,7,15,No,53.333333333333336,2021-07-10 11:44:20.626801
Discussion Section 05D,6402,13,15,No,13.333333333333334,2021-07-10 11:44:20.626813
SEM Section 01,6637,0,12,No,100.0,2021-07-10 11:44:20.626829
SEM Section 01,7287,0,18,No,100.0,2021-07-10 11:44:20.626845
SEM Section 01,4985,0,18,No,100.0,2021-07-10 11:44:20.626894
SEM Section 01,4683,0,18,No,100.0,2021-07-10 11:44:20.626909
SEM Section 01,7295,0,18,No,100.0,2021-07-10 11:44:20.626922
SEM Section 01,8017,0,18,No,100.0,2021-07-10 11:44:20.626936
SEM Section 02,7948,0,18,No,100.0,2021-07-10 11:44:20.626949
SEM Section 03,7282,0,18,No,100.0,2021-07-10 11:44:20.626962
SEM Section 01,8123,0,18,No,100.0,2021-07-10 11:44:20.626976
SEM Section 01,8127,0,18,No,100.0,2021-07-10 11:44:20.626991
Lecture Section 01,7314,19,30,No,36.666666666666664,2021-07-10 11:44:20.627005
Lecture Section 01,7320,41,50,No,18.0,2021-07-10 11:44:20.627017
SEM Section 01,6672,0,15,No,100.0,2021-07-10 11:44:20.627030
SEM Section 01,4327,7,18,No,61.111111111111114,2021-07-10 11:44:20.627045
SEM Section 01,6929,4,18,No,77.77777777777779,2021-07-10 11:44:20.627057
SEM Section 01,4377,0,18,No,100.0,2021-07-10 11:44:20.627071
Lecture Section 01,4205,0,30,No,100.0,2021-07-10 11:44:20.627086
Lecture Section 01,5459,2,12,Yes,83.33333333333334,2021-07-10 11:44:20.627103
Lecture Section 02,5460,5,12,Yes,58.333333333333336,2021-07-10 11:44:20.627118
SEM Section 01,6124,0,15,No,100.0,2021-07-10 11:44:20.627133
SEM Section 01,7855,6,18,No,66.66666666666666,2021-07-10 11:44:20.627147
SEM Section 01,8009,0,15,No,100.0,2021-07-10 11:44:20.627161
SEM Section 01,9755,18,18,No,0.0,2021-07-10 11:44:20.627177
SEM Section 01,6951,12,18,No,33.33333333333333,2021-07-10 11:44:20.627190
Lecture Section 01,9537,1,4,No,75.0,2021-07-10 11:44:20.627205
Lecture Section 01,7976,0,20,No,100.0,2021-07-10 11:44:20.627220
SEM Section 01,6459,14,18,No,22.22222222222222,2021-07-10 11:44:20.627234
Lecture Section 01,6016,5,20,No,75.0,2021-07-10 11:44:20.627263
Lecture Section 01,7858,12,20,No,40.0,2021-07-10 11:44:20.627278
Lecture Section 02,8198,34,45,No,24.444444444444443,2021-07-10 11:44:20.627291
Lecture Section 03,10105,15,18,No,16.666666666666664,2021-07-10 11:44:20.627304
SEM Section 01,7859,16,18,No,11.11111111111111,2021-07-10 11:44:20.627317
SEM Section 02,8201,13,18,No,27.77777777777778,2021-07-10 11:44:20.627330
SEM Section 03,9822,10,18,No,44.44444444444444,2021-07-10 11:44:20.627344
SEM Section 70,5768,9,12,No,25.0,2021-07-10 11:44:20.627357
SEM Section 80,5769,4,15,No,73.33333333333333,2021-07-10 11:44:20.627372
SEM Section 01,8206,13,14,No,7.142857142857142,2021-07-10 11:44:20.627387
Lecture Section 001,7839,41,45,No,8.88888888888889,2021-07-10 11:44:20.627402
Lecture Section 002,7840,34,42,No,19.047619047619047,2021-07-10 11:44:20.627416
Discussion Section 01D,7841,13,15,No,13.333333333333334,2021-07-10 11:44:20.627429
Discussion Section 02D,7842,13,15,No,13.333333333333334,2021-07-10 11:44:20.627443
Discussion Section 03D,7843,15,15,No,0.0,2021-07-10 11:44:20.627458
Discussion Section 04D,7844,8,14,No,42.857142857142854,2021-07-10 11:44:20.627473
Discussion Section 05D,7845,12,14,No,14.285714285714285,2021-07-10 11:44:20.627486
Discussion Section 06D,7846,14,14,No,0.0,2021-07-10 11:44:20.627501
Lecture Section 001,7847,29,42,No,30.952380952380953,2021-07-10 11:44:20.627516
Lecture Section 002,7848,24,42,No,42.857142857142854,2021-07-10 11:44:20.627531
Discussion Section 01D,7849,8,14,No,42.857142857142854,2021-07-10 11:44:20.627546
Discussion Section 02D,7850,11,14,No,21.428571428571427,2021-07-10 11:44:20.627561
Discussion Section 03D,7851,10,14,No,28.57142857142857,2021-07-10 11:44:20.627575
Discussion Section 04D,7852,7,15,No,53.333333333333336,2021-07-10 11:44:20.627591
Discussion Section 05D,7853,6,15,No,60.0,2021-07-10 11:44:20.627607
Discussion Section 06D,7854,14,15,No,6.666666666666667,2021-07-10 11:44:20.627621
Lecture Section 001,7911,32,42,No,23.809523809523807,2021-07-10 11:44:20.627637
Lecture Section 002,7912,9,35,No,74.28571428571429,2021-07-10 11:44:20.627652
Discussion Section 01D,7913,13,15,No,13.333333333333334,2021-07-10 11:44:20.627665
Discussion Section 02D,7914,14,15,No,6.666666666666667,2021-07-10 11:44:20.627679
Discussion Section 03D,7915,8,15,No,46.666666666666664,2021-07-10 11:44:20.627693
Discussion Section 04D,7916,0,17,No,100.0,2021-07-10 11:44:20.627708
Discussion Section 05D,7917,12,17,No,29.411764705882355,2021-07-10 11:44:20.627720
Discussion Section 06D,7918,11,15,No,26.666666666666668,2021-07-10 11:44:20.627734
Lecture Section 01,7964,0,50,No,100.0,2021-07-10 11:44:20.627749
Lecture Section 02,7965,0,42,No,100.0,2021-07-10 11:44:20.627767
SEM Section 01,6382,14,18,No,22.22222222222222,2021-07-10 11:44:20.627783
Lecture Section 01,8005,37,40,No,7.5,2021-07-10 11:44:20.627798
SEM Section 01,7380,3,15,No,80.0,2021-07-10 11:44:20.627812
Lecture Section 01,5814,19,35,No,45.714285714285715,2021-07-10 11:44:20.627826
Lecture Section 01,5791,15,20,No,25.0,2021-07-10 11:44:20.627842
