Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
Lecture Section 01,7603,37,40,No,7.5,2021-07-10 11:44:55.019754
Lecture Section 01,7605,14,20,No,30.0,2021-07-10 11:44:55.019773
Lecture Section 01,7662,46,60,No,23.333333333333332,2021-07-10 11:44:55.019781
Lecture Section 01,7004,26,30,No,13.333333333333334,2021-07-10 11:44:55.019789
SEM Section 01,7626,9,18,No,50.0,2021-07-10 11:44:55.019797
Lecture Section 01,7658,5,45,No,88.88888888888889,2021-07-10 11:44:55.019805
SEM Section 01,6624,1,18,No,94.44444444444444,2021-07-10 11:44:55.019814
Lecture Section 01,7656,20,20,No,0.0,2021-07-10 11:44:55.019821
Lecture Section 01,7676,33,40,No,17.5,2021-07-10 11:44:55.019829
Lecture Section 01,6568,12,18,No,33.33333333333333,2021-07-10 11:44:55.019837
SEM Section 01,9228,4,15,No,73.33333333333333,2021-07-10 11:44:55.019844
SEM Section 01,7669,16,18,No,11.11111111111111,2021-07-10 11:44:55.019852
Lecture Section 01,7606,38,45,No,15.555555555555555,2021-07-10 11:44:55.019860
Lecture Section 01,7311,38,99,No,61.61616161616161,2021-07-10 11:44:55.019867
Lecture Section 01,7665,44,45,No,2.2222222222222223,2021-07-10 11:44:55.019874
SEM Section 01,7661,6,18,No,66.66666666666666,2021-07-10 11:44:55.019882
Lecture Section 01,7608,0,45,No,100.0,2021-07-10 11:44:55.019890
IND Section 01,7628,1,1,No,0.0,2021-07-10 11:44:55.019898
IND Section 02,7629,1,1,No,0.0,2021-07-10 11:44:55.019905
IND Section 03,7630,1,1,No,0.0,2021-07-10 11:44:55.019912
IND Section 01,7634,1,1,No,0.0,2021-07-10 11:44:55.019919
IND Section 02,7635,1,1,No,0.0,2021-07-10 11:44:55.019927
IND Section 03,7636,1,1,No,0.0,2021-07-10 11:44:55.019933
IND Section 01,7631,1,1,No,0.0,2021-07-10 11:44:55.019940
IND Section 02,7632,1,1,No,0.0,2021-07-10 11:44:55.019948
IND Section 03,7633,1,1,No,0.0,2021-07-10 11:44:55.019955
IND Section 01,7637,1,1,No,0.0,2021-07-10 11:44:55.019962
IND Section 02,7638,1,1,No,0.0,2021-07-10 11:44:55.019969
IND Section 03,7639,1,1,No,0.0,2021-07-10 11:44:55.019976
SEM Section 01,9812,17,18,No,5.555555555555555,2021-07-10 11:44:55.019984
SEM Section 01,7649,12,18,No,33.33333333333333,2021-07-10 11:44:55.019991
SEM Section 01,6372,17,18,No,5.555555555555555,2021-07-10 11:44:55.019999
SEM Section 01,7652,15,18,No,16.666666666666664,2021-07-10 11:44:55.020006
IND Section 01,7640,1,1,No,0.0,2021-07-10 11:44:55.020014
IND Section 02,7641,1,1,No,0.0,2021-07-10 11:44:55.020021
IND Section 03,7642,1,1,No,0.0,2021-07-10 11:44:55.020028
IND Section 01,7646,1,1,No,0.0,2021-07-10 11:44:55.020035
IND Section 02,7647,1,1,No,0.0,2021-07-10 11:44:55.020043
IND Section 03,7648,1,1,No,0.0,2021-07-10 11:44:55.020050
IND Section 01,7643,1,1,No,0.0,2021-07-10 11:44:55.020057
IND Section 02,7644,1,1,No,0.0,2021-07-10 11:44:55.020064
IND Section 03,7645,1,1,No,0.0,2021-07-10 11:44:55.020070
IND Section 01,7612,0,1,No,100.0,2021-07-10 11:44:55.020077
IND Section 02,7613,1,1,No,0.0,2021-07-10 11:44:55.020084
IND Section 03,7614,1,1,No,0.0,2021-07-10 11:44:55.020092
