Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
SEM Section 01,4201,5,18,No,72.22222222222221,2021-07-10 11:45:24.395719
SEM Section 01,8857,3,18,No,83.33333333333334,2021-07-10 11:45:24.395742
SEM Section 01,6943,1,18,No,94.44444444444444,2021-07-10 11:45:24.395750
SEM Section 01,8786,0,18,No,100.0,2021-07-10 11:45:24.395759
Lecture Section 01,7316,19,30,No,36.666666666666664,2021-07-10 11:45:24.395767
Lecture Section 01,6442,26,35,No,25.71428571428571,2021-07-10 11:45:24.395775
SEM Section 01,6461,14,18,No,22.22222222222222,2021-07-10 11:45:24.395783
SEM Section 01,6456,14,18,No,22.22222222222222,2021-07-10 11:45:24.395790
Lecture Section 01,5839,14,30,No,53.333333333333336,2021-07-10 11:45:24.395799
SEM Section 01,7382,3,15,No,80.0,2021-07-10 11:45:24.395807
SEM Section 01,6412,15,18,No,16.666666666666664,2021-07-10 11:45:24.395814
SEM Section 01,5731,8,15,No,46.666666666666664,2021-07-10 11:45:24.395822
Lecture Section 01,5816,19,35,No,45.714285714285715,2021-07-10 11:45:24.395829
Lecture Section 01,7371,4,20,No,80.0,2021-07-10 11:45:24.395837
Lecture Section 01,7374,15,28,No,46.42857142857143,2021-07-10 11:45:24.395844
Lecture Section 01,6967,35,40,No,12.5,2021-07-10 11:45:24.395851
SEM Section 01,6669,5,13,No,61.53846153846154,2021-07-10 11:45:24.395859
SEM Section 01,4951,11,18,No,38.88888888888889,2021-07-10 11:45:24.395866
Lecture Section 01,5783,0,25,No,100.0,2021-07-10 11:45:24.395874
Lecture Section 01,6473,33,35,No,5.714285714285714,2021-07-10 11:45:24.395881
SEM Section 01,4956,0,18,No,100.0,2021-07-10 11:45:24.395889
Lecture Section 01,5436,13,25,No,48.0,2021-07-10 11:45:24.395896
SEM Section 01,7007,8,18,No,55.55555555555556,2021-07-10 11:45:24.395904
SEM Section 01,8204,13,18,No,27.77777777777778,2021-07-10 11:45:24.395911
Lecture Section 01,7264,21,25,No,16.0,2021-07-10 11:45:24.395918
SEM Section 01,7364,0,15,No,100.0,2021-07-10 11:45:24.395926
SEM Section 01,9506,15,18,No,16.666666666666664,2021-07-10 11:45:24.395933
SEM Section 01,7960,0,18,No,100.0,2021-07-10 11:45:24.395940
Lecture Section 01,8016,0,20,No,100.0,2021-07-10 11:45:24.395947
SEM Section 01,4201,5,18,No,72.22222222222221,2021-07-10 11:52:56.178455
