Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
Lecture Section 01,6351,20,20,No,0.0,2021-07-10 11:43:54.492877
Lecture Section 02,6352,18,20,No,10.0,2021-07-10 11:43:54.492900
Lecture Section 01,6353,15,20,No,25.0,2021-07-10 11:43:54.492909
SEM Section 01,8881,10,12,No,16.666666666666664,2021-07-10 11:43:54.492917
SEM Section 01,6388,13,18,No,27.77777777777778,2021-07-10 11:43:54.492925
SEM Section 01,7597,15,18,No,16.666666666666664,2021-07-10 11:43:54.492932
SEM Section 01,6354,13,15,No,13.333333333333334,2021-07-10 11:43:54.492940
Lecture Section 01,6369,26,30,No,13.333333333333334,2021-07-10 11:43:54.492948
SEM Section 01,6373,17,18,No,5.555555555555555,2021-07-10 11:43:54.492956
SEM Section 01,6367,10,18,No,44.44444444444444,2021-07-10 11:43:54.492963
Lecture Section 01,6358,12,12,No,0.0,2021-07-10 11:43:54.492971
Lecture Section 001,6147,0,14,No,100.0,2021-07-10 11:43:54.492980
Discussion Section 01D,6148,0,14,No,100.0,2021-07-10 11:43:54.492988
IND Section 01,6355,1,1,No,0.0,2021-07-10 11:43:54.492996
IND Section 02,6356,1,1,No,0.0,2021-07-10 11:43:54.493003
IND Section 03,6357,1,1,No,0.0,2021-07-10 11:43:54.493011
Lecture Section 01,6351,20,20,No,0.0,2021-07-10 11:51:30.746370
Lecture Section 02,6352,18,20,No,10.0,2021-07-10 11:51:30.746393
Lecture Section 01,6353,15,20,No,25.0,2021-07-10 11:51:30.746402
SEM Section 01,8881,10,12,No,16.666666666666664,2021-07-10 11:51:30.746410
SEM Section 01,6388,13,18,No,27.77777777777778,2021-07-10 11:51:30.746417
SEM Section 01,7597,15,18,No,16.666666666666664,2021-07-10 11:51:30.746425
SEM Section 01,6354,13,15,No,13.333333333333334,2021-07-10 11:51:30.746432
Lecture Section 01,6369,26,30,No,13.333333333333334,2021-07-10 11:51:30.746439
SEM Section 01,6373,17,18,No,5.555555555555555,2021-07-10 11:51:30.746447
SEM Section 01,6367,10,18,No,44.44444444444444,2021-07-10 11:51:30.746454
Lecture Section 01,6358,12,12,No,0.0,2021-07-10 11:51:30.746462
Lecture Section 001,6147,0,14,No,100.0,2021-07-10 11:51:30.746471
Discussion Section 01D,6148,0,14,No,100.0,2021-07-10 11:51:30.746479
IND Section 01,6355,1,1,No,0.0,2021-07-10 11:51:30.746486
IND Section 02,6356,1,1,No,0.0,2021-07-10 11:51:30.746493
IND Section 03,6357,1,1,No,0.0,2021-07-10 11:51:30.746500
Lecture Section 01,6351,20,20,No,0.0,2021-07-10 11:59:52.050529
Lecture Section 02,6352,18,20,No,10.0,2021-07-10 11:59:52.050555
Lecture Section 01,6353,15,20,No,25.0,2021-07-10 11:59:52.050564
SEM Section 01,8881,10,12,No,16.666666666666664,2021-07-10 11:59:52.050572
SEM Section 01,6388,13,18,No,27.77777777777778,2021-07-10 11:59:52.050583
SEM Section 01,7597,15,18,No,16.666666666666664,2021-07-10 11:59:52.050593
SEM Section 01,6354,13,15,No,13.333333333333334,2021-07-10 11:59:52.050604
Lecture Section 01,6369,26,30,No,13.333333333333334,2021-07-10 11:59:52.050616
SEM Section 01,6373,17,18,No,5.555555555555555,2021-07-10 11:59:52.050626
SEM Section 01,6367,10,18,No,44.44444444444444,2021-07-10 11:59:52.050634
Lecture Section 01,6358,12,12,No,0.0,2021-07-10 11:59:52.050642
Lecture Section 001,6147,0,14,No,100.0,2021-07-10 11:59:52.050650
Discussion Section 01D,6148,0,14,No,100.0,2021-07-10 11:59:52.050660
IND Section 01,6355,1,1,No,0.0,2021-07-10 11:59:52.050672
IND Section 02,6356,1,1,No,0.0,2021-07-10 11:59:52.050683
IND Section 03,6357,1,1,No,0.0,2021-07-10 11:59:52.050690
