Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
SEM Section 01,7575,18,18,No,0.0,2021-07-10 11:44:27.365975
Lecture Section 01,8714,89,120,No,25.833333333333336,2021-07-10 11:44:27.365996
SEM Section 01,4383,3,18,No,83.33333333333334,2021-07-10 11:44:27.366006
SEM Section 01,8784,0,18,No,100.0,2021-07-10 11:44:27.366016
SEM Section 01,4185,16,18,No,11.11111111111111,2021-07-10 11:44:27.366025
Lecture Section 01,8688,46,49,No,6.122448979591836,2021-07-10 11:44:27.366034
SEM Section 01,8124,0,18,No,100.0,2021-07-10 11:44:27.366048
SEM Section 01,8790,0,18,No,100.0,2021-07-10 11:44:27.366059
Lecture Section 01,8715,28,35,No,20.0,2021-07-10 11:44:27.366069
SEM Section 01,4963,6,18,No,66.66666666666666,2021-07-10 11:44:27.366078
Lecture Section 01,8716,20,35,No,42.857142857142854,2021-07-10 11:44:27.366087
Lecture Section 01,8794,20,35,No,42.857142857142854,2021-07-10 11:44:27.366094
Lecture Section 01,8720,0,35,No,100.0,2021-07-10 11:44:27.366102
Lecture Section 01,8767,18,35,No,48.57142857142857,2021-07-10 11:44:27.366109
Lecture Section 01,8791,0,70,No,100.0,2021-07-10 11:44:27.366117
IND Section 01,8770,10,10,No,0.0,2021-07-10 11:44:27.366124
IND Section 02,8771,10,10,No,0.0,2021-07-10 11:44:27.366132
IND Section 03,8772,10,10,No,0.0,2021-07-10 11:44:27.366139
IND Section 01,8776,10,10,No,0.0,2021-07-10 11:44:27.366147
IND Section 02,8777,10,10,No,0.0,2021-07-10 11:44:27.366154
IND Section 03,8778,10,10,No,0.0,2021-07-10 11:44:27.366161
IND Section 04,8779,10,10,No,0.0,2021-07-10 11:44:27.366168
IND Section 05,8780,10,10,No,0.0,2021-07-10 11:44:27.366175
IND Section 06,8781,10,10,No,0.0,2021-07-10 11:44:27.366182
IND Section 07,8782,10,10,No,0.0,2021-07-10 11:44:27.366190
IND Section 08,8783,10,10,No,0.0,2021-07-10 11:44:27.366197
Lecture Section 01,4946,3,18,No,83.33333333333334,2021-07-10 11:44:27.366205
Lecture Section 01,8717,11,25,No,56.00000000000001,2021-07-10 11:44:27.366212
Lecture Section 01,8775,0,25,No,100.0,2021-07-10 11:44:27.366221
Lecture Section 01,8787,8,15,No,46.666666666666664,2021-07-10 11:44:27.366228
Lecture Section 01,7370,4,20,No,80.0,2021-07-10 11:44:27.366236
Lecture Section 01,8718,17,35,No,51.42857142857142,2021-07-10 11:44:27.366243
Lecture Section 01,8719,19,35,No,45.714285714285715,2021-07-10 11:44:27.366250
SEM Section 01,6945,14,18,No,22.22222222222222,2021-07-10 11:44:27.366258
Lecture Section 01,8721,15,35,No,57.14285714285714,2021-07-10 11:44:27.366265
SEM Section 01,4183,0,18,No,100.0,2021-07-10 11:44:27.366272
Lecture Section 01,8722,22,35,No,37.142857142857146,2021-07-10 11:44:27.366280
SEM Section 01,5746,15,15,No,0.0,2021-07-10 11:44:27.366287
IND Section 01,8724,10,10,No,0.0,2021-07-10 11:44:27.366294
IND Section 02,8725,10,10,No,0.0,2021-07-10 11:44:27.366301
IND Section 03,8726,10,10,No,0.0,2021-07-10 11:44:27.366308
IND Section 04,8727,10,10,No,0.0,2021-07-10 11:44:27.366315
IND Section 05,8728,10,10,No,0.0,2021-07-10 11:44:27.366322
IND Section 06,8729,10,10,No,0.0,2021-07-10 11:44:27.366329
IND Section 07,8730,10,10,No,0.0,2021-07-10 11:44:27.366337
IND Section 08,8731,10,10,No,0.0,2021-07-10 11:44:27.366343
IND Section 01,8732,10,10,No,0.0,2021-07-10 11:44:27.366350
IND Section 02,8733,10,10,No,0.0,2021-07-10 11:44:27.366357
IND Section 03,8734,10,10,No,0.0,2021-07-10 11:44:27.366364
IND Section 04,8735,10,10,No,0.0,2021-07-10 11:44:27.366371
IND Section 05,8736,10,10,No,0.0,2021-07-10 11:44:27.366379
IND Section 06,8737,10,10,No,0.0,2021-07-10 11:44:27.366386
IND Section 07,8738,10,10,No,0.0,2021-07-10 11:44:27.366392
IND Section 08,8739,10,10,No,0.0,2021-07-10 11:44:27.366400
IND Section 09,8740,10,10,No,0.0,2021-07-10 11:44:27.366407
IND Section 10,8741,10,10,No,0.0,2021-07-10 11:44:27.366413
SEM Section 01,6925,9,18,No,50.0,2021-07-10 11:44:27.366421
Lecture Section 01,8015,0,20,No,100.0,2021-07-10 11:44:27.366428
SEM Section 01,8773,13,18,No,27.77777777777778,2021-07-10 11:44:27.366435
SEM Section 02,8774,1,18,No,94.44444444444444,2021-07-10 11:44:27.366443
WRK Section 01,8769,12,15,No,20.0,2021-07-10 11:44:27.366449
SEM Section 01,7575,18,18,No,0.0,2021-07-10 11:51:40.814823
Lecture Section 01,8714,89,120,No,25.833333333333336,2021-07-10 11:51:40.814844
SEM Section 01,4383,3,18,No,83.33333333333334,2021-07-10 11:51:40.814853
SEM Section 01,8784,0,18,No,100.0,2021-07-10 11:51:40.814863
SEM Section 01,4185,16,18,No,11.11111111111111,2021-07-10 11:51:40.814870
Lecture Section 01,8688,46,49,No,6.122448979591836,2021-07-10 11:51:40.814878
SEM Section 01,8124,0,18,No,100.0,2021-07-10 11:51:40.814886
SEM Section 01,8790,0,18,No,100.0,2021-07-10 11:51:40.814894
Lecture Section 01,8715,28,35,No,20.0,2021-07-10 11:51:40.814902
SEM Section 01,4963,6,18,No,66.66666666666666,2021-07-10 11:51:40.814909
Lecture Section 01,8716,20,35,No,42.857142857142854,2021-07-10 11:51:40.814917
Lecture Section 01,8794,20,35,No,42.857142857142854,2021-07-10 11:51:40.814925
Lecture Section 01,8720,0,35,No,100.0,2021-07-10 11:51:40.814933
Lecture Section 01,8767,18,35,No,48.57142857142857,2021-07-10 11:51:40.814940
Lecture Section 01,8791,0,70,No,100.0,2021-07-10 11:51:40.814948
IND Section 01,8770,10,10,No,0.0,2021-07-10 11:51:40.814955
