Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
Lecture Section 01,5652,13,15,No,13.333333333333334,2021-07-10 11:45:02.304046
Lecture Section 02,5653,15,15,No,0.0,2021-07-10 11:45:02.304073
Lecture Section 03,5654,15,15,No,0.0,2021-07-10 11:45:02.304082
Lecture Section 04,5655,6,15,No,60.0,2021-07-10 11:45:02.304091
Lecture Section 01,5656,15,15,No,0.0,2021-07-10 11:45:02.304099
Lecture Section 02,5657,15,15,No,0.0,2021-07-10 11:45:02.304107
Lecture Section 03,5658,11,15,No,26.666666666666668,2021-07-10 11:45:02.304115
Lecture Section 04,5659,15,15,No,0.0,2021-07-10 11:45:02.304122
Lecture Section 05,5660,12,15,No,20.0,2021-07-10 11:45:02.304131
Lecture Section 06,5661,2,15,No,86.66666666666667,2021-07-10 11:45:02.304139
Lecture Section 01,5764,13,15,No,13.333333333333334,2021-07-10 11:45:02.304147
Lecture Section 01,5662,13,15,No,13.333333333333334,2021-07-10 11:45:02.304155
Lecture Section 02,5663,7,15,No,53.333333333333336,2021-07-10 11:45:02.304163
Lecture Section 03,5664,13,15,No,13.333333333333334,2021-07-10 11:45:02.304170
Lecture Section 04,5665,8,15,No,46.666666666666664,2021-07-10 11:45:02.304178
Lecture Section 05,5666,15,15,No,0.0,2021-07-10 11:45:02.304186
Lecture Section 06,5667,11,15,No,26.666666666666668,2021-07-10 11:45:02.304193
Lecture Section 07,5668,7,15,No,53.333333333333336,2021-07-10 11:45:02.304201
Lecture Section 08,5669,10,15,No,33.33333333333333,2021-07-10 11:45:02.304209
Lecture Section 09,5670,2,15,No,86.66666666666667,2021-07-10 11:45:02.304217
Lecture Section 10,5671,12,15,No,20.0,2021-07-10 11:45:02.304224
Lecture Section 11,5672,6,15,No,60.0,2021-07-10 11:45:02.304232
Lecture Section 01,5673,13,15,No,13.333333333333334,2021-07-10 11:45:02.304240
Lecture Section 02,5674,15,15,No,0.0,2021-07-10 11:45:02.304248
Lecture Section 03,5675,13,15,No,13.333333333333334,2021-07-10 11:45:02.304256
Lecture Section 04,5676,8,15,No,46.666666666666664,2021-07-10 11:45:02.304264
Lecture Section 05,5677,15,15,No,0.0,2021-07-10 11:45:02.304272
Lecture Section 06,5678,9,15,No,40.0,2021-07-10 11:45:02.304279
Lecture Section 07,5679,6,15,No,60.0,2021-07-10 11:45:02.304287
