Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
Lecture Section 001,6279,47,90,No,47.77777777777778,2021-07-10 11:45:34.412381
Lecture Section 002,6280,70,90,No,22.22222222222222,2021-07-10 11:45:34.412406
Laboratory Section 01L,6281,12,30,No,60.0,2021-07-10 11:45:34.412415
Laboratory Section 02L,6282,11,30,No,63.33333333333333,2021-07-10 11:45:34.412423
Laboratory Section 03L,6283,24,30,No,20.0,2021-07-10 11:45:34.412431
Laboratory Section 04L,6284,18,30,No,40.0,2021-07-10 11:45:34.412439
Laboratory Section 05L,6285,24,30,No,20.0,2021-07-10 11:45:34.412446
Laboratory Section 06L,6286,28,30,No,6.666666666666667,2021-07-10 11:45:34.412454
SEM Section 01,6295,2,18,No,88.88888888888889,2021-07-10 11:45:34.412473
Lecture Section 001,6337,87,90,No,3.3333333333333335,2021-07-10 11:45:34.412514
Laboratory Section 01L,6338,-1,1,No,200.0,2021-07-10 11:45:34.412531
Laboratory Section 02L,6339,1,1,No,0.0,2021-07-10 11:45:34.412544
Laboratory Section 03L,6340,0,1,No,100.0,2021-07-10 11:45:34.412605
Lecture Section 001,6312,79,90,No,12.222222222222221,2021-07-10 11:45:34.412670
Lecture Section 002,6313,83,90,No,7.777777777777778,2021-07-10 11:45:34.412680
Lecture Section 003,6314,77,90,No,14.444444444444443,2021-07-10 11:45:34.412688
Laboratory Section 01L,6315,27,30,Yes,10.0,2021-07-10 11:45:34.412696
Laboratory Section 02L,6316,25,30,Yes,16.666666666666664,2021-07-10 11:45:34.412704
Laboratory Section 03L,6317,27,30,Yes,10.0,2021-07-10 11:45:34.412717
Laboratory Section 04L,6318,28,30,Yes,6.666666666666667,2021-07-10 11:45:34.412732
Laboratory Section 05L,6319,28,30,Yes,6.666666666666667,2021-07-10 11:45:34.412740
Laboratory Section 06L,6320,27,30,Yes,10.0,2021-07-10 11:45:34.412748
Laboratory Section 07L,6321,26,30,Yes,13.333333333333334,2021-07-10 11:45:34.412756
Laboratory Section 08L,6322,26,30,Yes,13.333333333333334,2021-07-10 11:45:34.412763
Laboratory Section 09L,6323,25,30,Yes,16.666666666666664,2021-07-10 11:45:34.412772
Lecture Section 001,6287,74,90,No,17.77777777777778,2021-07-10 11:45:34.412780
