Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
SEM Section 01,8869,13,16,No,18.75,2021-07-10 11:45:47.669890
SEM Section 01,8873,10,16,Yes,37.5,2021-07-10 11:45:47.669911
SEM Section 02,8874,11,16,Yes,31.25,2021-07-10 11:45:47.669921
SEM Section 03,8875,10,16,Yes,37.5,2021-07-10 11:45:47.669930
SEM Section 04,8876,13,16,Yes,18.75,2021-07-10 11:45:47.669938
SEM Section 05,8877,14,16,Yes,12.5,2021-07-10 11:45:47.669946
SEM Section 01,8907,15,16,No,6.25,2021-07-10 11:45:47.669955
SEM Section 01,8912,0,18,No,100.0,2021-07-10 11:45:47.669964
SEM Section 01,8902,6,16,No,62.5,2021-07-10 11:45:47.669973
WRK Section 01,8884,6,16,No,62.5,2021-07-10 11:45:47.669981
Lecture Section 01,5132,27,30,No,10.0,2021-07-10 11:45:47.669990
Lecture Section 01,5303,14,18,No,22.22222222222222,2021-07-10 11:45:47.669998
MUS Section 01,6902,8,12,No,33.33333333333333,2021-07-10 11:45:47.670006
SEM Section 01,8879,0,16,No,100.0,2021-07-10 11:45:47.670014
SEM Section 01,8880,10,12,No,16.666666666666664,2021-07-10 11:45:47.670022
SEM Section 01,8883,2,12,No,83.33333333333334,2021-07-10 11:45:47.670029
SEM Section 01,8887,13,16,No,18.75,2021-07-10 11:45:47.670037
SEM Section 01,8871,15,16,No,6.25,2021-07-10 11:45:47.670044
SEM Section 01,8898,0,16,No,100.0,2021-07-10 11:45:47.670053
SEM Section 01,8890,0,16,No,100.0,2021-07-10 11:45:47.670061
Lecture Section 01,7246,15,25,No,40.0,2021-07-10 11:45:47.670068
SEM Section 01,5317,12,18,No,33.33333333333333,2021-07-10 11:45:47.670076
SEM Section 01,8878,13,16,No,18.75,2021-07-10 11:45:47.670083
Lecture Section 01,8896,14,16,No,12.5,2021-07-10 11:45:47.670091
Lecture Section 01,10586,15,15,No,0.0,2021-07-10 11:45:47.670099
SEM Section 01,8908,13,16,No,18.75,2021-07-10 11:45:47.670106
IND Section 01,10492,1,1,No,0.0,2021-07-10 11:45:47.670114
IND Section 02,10493,1,1,No,0.0,2021-07-10 11:45:47.670121
SEM Section 01,8869,13,16,No,18.75,2021-07-10 11:54:10.294991
SEM Section 01,8873,10,16,Yes,37.5,2021-07-10 11:54:10.295011
SEM Section 02,8874,11,16,Yes,31.25,2021-07-10 11:54:10.295020
SEM Section 03,8875,10,16,Yes,37.5,2021-07-10 11:54:10.295029
SEM Section 04,8876,13,16,Yes,18.75,2021-07-10 11:54:10.295036
SEM Section 05,8877,14,16,Yes,12.5,2021-07-10 11:54:10.295045
SEM Section 01,8907,15,16,No,6.25,2021-07-10 11:54:10.295054
SEM Section 01,8912,0,18,No,100.0,2021-07-10 11:54:10.295062
SEM Section 01,8902,6,16,No,62.5,2021-07-10 11:54:10.295070
WRK Section 01,8884,6,16,No,62.5,2021-07-10 11:54:10.295078
Lecture Section 01,5132,27,30,No,10.0,2021-07-10 11:54:10.295086
Lecture Section 01,5303,14,18,No,22.22222222222222,2021-07-10 11:54:10.295094
MUS Section 01,6902,8,12,No,33.33333333333333,2021-07-10 11:54:10.295101
SEM Section 01,8879,0,16,No,100.0,2021-07-10 11:54:10.295109
SEM Section 01,8880,10,12,No,16.666666666666664,2021-07-10 11:54:10.295116
SEM Section 01,8883,2,12,No,83.33333333333334,2021-07-10 11:54:10.295124
SEM Section 01,8887,13,16,No,18.75,2021-07-10 11:54:10.295131
SEM Section 01,8871,15,16,No,6.25,2021-07-10 11:54:10.295138
SEM Section 01,8898,0,16,No,100.0,2021-07-10 11:54:10.295146
SEM Section 01,8890,0,16,No,100.0,2021-07-10 11:54:10.295154
