Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
Lecture Section 01,10496,12,12,No,0.0,2021-07-10 11:46:14.154840
Lecture Section 02,10497,12,12,No,0.0,2021-07-10 11:46:14.154872
IND Section 01,2113,4,4,No,0.0,2021-07-10 11:46:14.154887
IND Section 02,2114,4,4,No,0.0,2021-07-10 11:46:14.154899
Lecture Section 01,10496,12,12,No,0.0,2021-07-10 11:54:37.203633
Lecture Section 02,10497,12,12,No,0.0,2021-07-10 11:54:37.203652
IND Section 01,2113,4,4,No,0.0,2021-07-10 11:54:37.203661
IND Section 02,2114,4,4,No,0.0,2021-07-10 11:54:37.203669
Lecture Section 01,10496,12,12,No,0.0,2021-07-10 12:02:28.310037
Lecture Section 02,10497,12,12,No,0.0,2021-07-10 12:02:28.310054
IND Section 01,2113,4,4,No,0.0,2021-07-10 12:02:28.310063
IND Section 02,2114,4,4,No,0.0,2021-07-10 12:02:28.310071
