Section,Class Number,Open Seats,Total Seats,Reserved Seats,Percent,Timestamp
SEM Section 01,4674,15,15,No,0.0,2021-07-10 11:46:10.606334
Lecture Section 01,4616,15,15,No,0.0,2021-07-10 11:46:10.606353
Lecture Section 02,4617,15,15,No,0.0,2021-07-10 11:46:10.606361
Lecture Section 03,4618,15,15,No,0.0,2021-07-10 11:46:10.606369
Lecture Section 04,4619,15,15,Yes,0.0,2021-07-10 11:46:10.606377
Lecture Section 05,4620,15,15,Yes,0.0,2021-07-10 11:46:10.606385
Lecture Section 06,4621,15,15,Yes,0.0,2021-07-10 11:46:10.606393
Lecture Section 07,4622,15,15,No,0.0,2021-07-10 11:46:10.606400
Lecture Section 08,4623,15,15,Yes,0.0,2021-07-10 11:46:10.606408
Lecture Section 09,4624,15,15,Yes,0.0,2021-07-10 11:46:10.606415
Lecture Section 10,4625,15,15,Yes,0.0,2021-07-10 11:46:10.606423
Lecture Section 11,4626,15,15,No,0.0,2021-07-10 11:46:10.606430
Lecture Section 12,4627,15,15,No,0.0,2021-07-10 11:46:10.606438
Lecture Section 13,4628,15,15,No,0.0,2021-07-10 11:46:10.606445
Lecture Section 14,4629,15,15,No,0.0,2021-07-10 11:46:10.606452
Lecture Section 15,4630,15,15,No,0.0,2021-07-10 11:46:10.606460
Lecture Section 16,4631,15,15,No,0.0,2021-07-10 11:46:10.606467
Lecture Section 17,4632,15,15,No,0.0,2021-07-10 11:46:10.606474
Lecture Section 18,4633,15,15,No,0.0,2021-07-10 11:46:10.606482
Lecture Section 19,4634,15,15,No,0.0,2021-07-10 11:46:10.606489
Lecture Section 20,4635,14,15,No,6.666666666666667,2021-07-10 11:46:10.606497
Lecture Section 21,4636,15,15,No,0.0,2021-07-10 11:46:10.606504
Lecture Section 22,4637,15,15,No,0.0,2021-07-10 11:46:10.606511
Lecture Section 23,4638,15,15,No,0.0,2021-07-10 11:46:10.606519
Lecture Section 24,4639,15,15,Yes,0.0,2021-07-10 11:46:10.606527
Lecture Section 25,4640,15,15,No,0.0,2021-07-10 11:46:10.606534
Lecture Section 26,4641,15,15,No,0.0,2021-07-10 11:46:10.606541
Lecture Section 27,4642,15,15,No,0.0,2021-07-10 11:46:10.606548
Lecture Section 28,4643,15,15,No,0.0,2021-07-10 11:46:10.606555
Lecture Section 29,4644,15,15,No,0.0,2021-07-10 11:46:10.606563
Lecture Section 30,4645,15,15,No,0.0,2021-07-10 11:46:10.606570
Lecture Section 31,4646,15,15,No,0.0,2021-07-10 11:46:10.606577
Lecture Section 32,4647,15,15,No,0.0,2021-07-10 11:46:10.606584
Lecture Section 33,4648,15,15,No,0.0,2021-07-10 11:46:10.606591
Lecture Section 34,4649,15,15,No,0.0,2021-07-10 11:46:10.606598
Lecture Section 35,4650,15,15,No,0.0,2021-07-10 11:46:10.606605
Lecture Section 36,4651,15,15,No,0.0,2021-07-10 11:46:10.606612
Lecture Section 37,4652,15,15,No,0.0,2021-07-10 11:46:10.606619
Lecture Section 39,4654,15,15,No,0.0,2021-07-10 11:46:10.606627
Lecture Section 40,4655,15,15,No,0.0,2021-07-10 11:46:10.606634
Lecture Section 41,4656,15,15,No,0.0,2021-07-10 11:46:10.606641
Lecture Section 42,4657,15,15,No,0.0,2021-07-10 11:46:10.606648
Lecture Section 43,4658,15,15,No,0.0,2021-07-10 11:46:10.606656
Lecture Section 44,4659,15,15,No,0.0,2021-07-10 11:46:10.606663
Lecture Section 45,4660,15,15,No,0.0,2021-07-10 11:46:10.606670
Lecture Section 46,4661,15,15,No,0.0,2021-07-10 11:46:10.606677
Lecture Section 47,4662,15,15,No,0.0,2021-07-10 11:46:10.606684
Lecture Section 48,4663,15,15,No,0.0,2021-07-10 11:46:10.606691
Lecture Section 49,4664,15,15,No,0.0,2021-07-10 11:46:10.606698
Lecture Section 50,4665,15,15,No,0.0,2021-07-10 11:46:10.606705
Lecture Section 51,4666,15,15,No,0.0,2021-07-10 11:46:10.606713
Lecture Section 52,4667,15,15,Yes,0.0,2021-07-10 11:46:10.606720
Lecture Section 53,4668,15,15,Yes,0.0,2021-07-10 11:46:10.606727
Lecture Section 54,4669,15,15,No,0.0,2021-07-10 11:46:10.606735
Lecture Section 55,4670,15,15,No,0.0,2021-07-10 11:46:10.606742
Lecture Section 56,4671,15,15,No,0.0,2021-07-10 11:46:10.606749
SEM Section 01,4673,15,15,No,0.0,2021-07-10 11:46:10.606756
Lecture Section 01,4138,1,15,No,93.33333333333333,2021-07-10 11:46:10.606764
Lecture Section 02,4139,0,15,No,100.0,2021-07-10 11:46:10.606771
