Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Seminar in Gender Studies | GSF 89S,SEM Section 01,7578,18,18,0.0,No,2021-06-28 13:03:16.928112
First-Year Seminar in Gender Studies | GSF 89S,SEM Section 02,4941,18,18,0.0,No,2021-06-28 13:03:19.347241
First-Year Seminar in Gender Studies | GSF 89S,SEM Section 03,4942,18,18,0.0,No,2021-06-28 13:03:21.698320
Gateway Seminar: The Price of Sex: Gender and the Global Political Economy | GSF 188S,SEM Section 01,7017,15,15,0.0,No,2021-06-28 13:03:24.057295
Women and Gender in the Middle East | GSF 189,Lecture Section 01,6595,18,18,0.0,No,2021-06-28 13:03:26.387998
Comparative Approaches to Global Issues | GSF 195,Lecture Section 01,8689,49,49,0.0,No,2021-06-28 13:03:28.737671
LGBTQ/Queer Cinema and Cultural Production | GSF 198,Lecture Section 01,9125,18,18,0.0,No,2021-06-28 13:03:31.145234
Thinking Gender: An Introduction to Feminist Theory | GSF 199S,SEM Section 01,4947,18,18,0.0,No,2021-06-28 13:03:33.492241
"Race, Film, and Religion | GSF 201",Lecture Section 01,7660,45,45,0.0,No,2021-06-28 13:03:35.823097
Introduction to LGBTQ Studies | GSF 202S,SEM Section 01,4937,18,18,0.0,No,2021-06-28 13:03:38.182186
Gender in Dance and Theatre | GSF 212,Lecture Section 01,5302,12,12,0.0,No,2021-06-28 13:03:40.517765
Case Studies in Global Sexual and Reproductive Health | GSF 220,Lecture Section 01,5847,30,30,0.0,No,2021-06-28 13:03:42.871243
Women at Work: Gendered Experience of Corporate Life | GSF 221,Lecture Section 01,4945,18,18,0.0,No,2021-06-28 13:03:45.214371
Women in the Economy | GSF 230,Lecture Section 01,6034,40,40,0.0,No,2021-06-28 13:03:47.560249
"Women in Visual Arts, 1400-1800: Theory and History | GSF 245S",SEM Section 01,9441,11,11,0.0,No,2021-06-28 13:03:49.945746
Introduction to Digital Feminism | GSF 265S,SEM Section 01,4962,18,18,0.0,No,2021-06-28 13:03:52.288760
Selected Topics in Women's Studies | GSF 290S,SEM Section 02,7576,18,18,0.0,No,2021-06-28 13:03:54.623479
Selected Topics in Women's Studies | GSF 290S,SEM Section 03,4939,18,18,0.0,No,2021-06-28 13:03:56.962153
"Decolonization: Histories, Meanings, Struggles | GSF 335S",SEM Section 01,8699,16,16,0.0,No,2021-06-28 13:03:59.343815
