Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Research Independent Study | IMMUNOL 493,IND Section 01,1819,1,1,0.0,No,2021-06-28 13:04:42.039817
Research Independent Study | IMMUNOL 493,IND Section 02,1820,1,1,0.0,No,2021-06-28 13:04:44.478974
Research Independent Study | IMMUNOL 493,IND Section 03,1821,1,1,0.0,No,2021-06-28 13:04:46.980381
Research Independent Study | IMMUNOL 493,IND Section 04,1822,1,1,0.0,No,2021-06-28 13:04:49.395299
Research Independent Study | IMMUNOL 493,IND Section 05,1823,1,1,0.0,No,2021-06-28 13:04:51.749172
Research Independent Study | IMMUNOL 493,IND Section 06,1824,1,1,0.0,No,2021-06-28 13:04:54.165747
Research Independent Study | IMMUNOL 493,IND Section 07,1825,1,1,0.0,No,2021-06-28 13:04:56.547846
Research Independent Study | IMMUNOL 493,IND Section 08,1826,1,1,0.0,No,2021-06-28 13:04:58.882031
Research Independent Study | IMMUNOL 493,IND Section 01,1819,1,1,0.0,No,2021-06-29 19:24:55.834590
Research Independent Study | IMMUNOL 493,IND Section 02,1820,1,1,0.0,No,2021-06-29 19:24:58.353508
Research Independent Study | IMMUNOL 493,IND Section 03,1821,1,1,0.0,No,2021-06-29 19:25:00.972907
Research Independent Study | IMMUNOL 493,IND Section 04,1822,1,1,0.0,No,2021-06-29 19:25:03.430248
Research Independent Study | IMMUNOL 493,IND Section 05,1823,1,1,0.0,No,2021-06-29 19:25:05.853439
Research Independent Study | IMMUNOL 493,IND Section 06,1824,1,1,0.0,No,2021-06-29 19:25:08.220871
Research Independent Study | IMMUNOL 493,IND Section 07,1825,1,1,0.0,No,2021-06-29 19:25:10.568561
Research Independent Study | IMMUNOL 493,IND Section 08,1826,1,1,0.0,No,2021-06-29 19:25:12.953226
